row_label_raw,row_label_full,Ông Nguyễn Tuấn Vinh,Trường ban,numeric__Trường ban
Ông Nguyễn Như Khoa,Ông Nguyễn Như Khoa,Ông Nguyễn Như Khoa,Thành viên,
Ông Trần Vĩnh Thanh,Ông Trần Vĩnh Thanh,Ông Trần Vĩnh Thanh,Thành viên (Miễn nhiệm ngày 31/5/2022),
Bà Trần Thị Đoàn Thu,Bà Trần Thị Đoàn Thu,Bà Trần Thị Đoàn Thu,Thành viên (Bổ nhiệm ngày 31/5/2022),
