row_label_raw,row_label_full,STT,CHỈ TIÊU,NDTC 2019-2020(từ 01/10/2019đến 30/9/2020),NDTC 2018-2019(từ 01/10/2018đến 30/9/2019),Chênh lệch > Tuyệt đối,Chênh lệch > Tương đối,numeric__CHỈ TIÊU,numeric__NDTC 2019-2020(từ 01/10/2019đến 30/9/2020),numeric__NDTC 2018-2019(từ 01/10/2018đến 30/9/2019),numeric__Chênh lệch > Tuyệt đối,numeric__Chênh lệch > Tương đối
(1),(1),(1),(2),(3),(4),(5)=(3)-(4),(6)=(5)/(4),-2.0,-3.0,-4.0,,
1,1,1,Doanh thu thuần,27.530.749.513.834,28.034.775.118.675,(504.025.604.841),-2%,,27530749513834.0,28034775118675.0,-504025604841.0,-0.02
2,2,2,Giá vốn hàng bán,22.903.482.165.423,24.836.155.036.672,(1.932.672.871.249),-8%,,22903482165423.0,24836155036672.0,-1932672871249.0,-0.08
3,3,3,Lợi nhuận gộp,4.627.267.348.411,3.198.620.082.003,1.428.647.266.408,45%,,4627267348411.0,3198620082003.0,1428647266408.0,0.45
4,4,4,Doanh thu tài chính,77.984.494.109,63.164.230.629,14.820.263.480,23%,,77984494109.0,63164230629.0,14820263480.0,0.23
5,5,5,Chi phí tài chính,645.261.573.177,802.634.741.872,(157.373.168.695),-20%,,645261573177.0,802634741872.0,-157373168695.0,-0.2
,,,Trong đó: Chi phí lãi vay,560.086.135.926,745.960.164.920,(185.874.028.994),-25%,,560086135926.0,745960164920.0,-185874028994.0,-0.25
6,6,6,Chi phí bán hàng,2.221.083.074.110,1.748.882.841.240,472.200.232.870,27%,,2221083074110.0,1748882841240.0,472200232870.0,0.27
7,7,7,Chi phí quản lý doanh nghiệp,459.978.781.905,470.700.688.884,(10.721.906.979),-2%,,459978781905.0,470700688884.0,-10721906979.0,-0.02
8,8,8,Lợi nhuận thuần từ HĐKD,1.378.928.413.328,239.566.040.636,1.139.362.372.692,476%,,1378928413328.0,239566040636.0,1139362372692.0,4.76
9,9,9,Thu nhập khác,28.617.237.724,253.166.267.295,(224.549.029.571),-89%,,28617237724.0,253166267295.0,-224549029571.0,-0.89
10,10,10,Chi phí khác,31.902.487.528,30.663.011.810,1.239.475.718,4%,,31902487528.0,30663011810.0,1239475718.0,0.04
11,11,11,Lợi nhuận khác,(3.285.249.804),222.503.255.485,(225.788.505.289),-101%,,-3285249804.0,222503255485.0,-225788505289.0,-1.01
12,12,12,Lợi nhuận trước thuế,1.375.643.163.524,462.069.296.121,913.573.867.403,198%,,1375643163524.0,462069296121.0,913573867403.0,1.98
13,13,13,Thuế TNDN hiện hành,259.835.557.336,102.045.530.564,157.790.026.772,155%,,259835557336.0,102045530564.0,157790026772.0,1.55
14,14,14,Thuế TNDN hoãn lại,(37.206.411.121),(1.347.738.189),(35.858.672.932),-,,-37206411121.0,-1347738189.0,-35858672932.0,
15,15,15,Lợi nhuận sau thuế,1.153.014.017.309,361.371.503.746,791.642.513.563,219%,,1153014017309.0,361371503746.0,791642513563.0,2.19
