row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2020VND,30/9/2019VND,,
Công ty thuộc sở hữu của Chủ tịch Tập đoàn,Công ty thuộc sở hữu của Chủ tịch Tập đoàn,Công ty thuộc sở hữu của Chủ tịch Tập đoàn,Công ty thuộc sở hữu của Chủ tịch Tập đoàn,Công ty thuộc sở hữu của Chủ tịch Tập đoàn,,
Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,Công ty TNHH Tập đoàn Đầu tư Hoa Sen,,
Bán hàng hóa và thành phẩm,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Bán hàng hóa và thành phẩm,Bán hàng hóa và thành phẩm,3.310.303.106.066,4.260.734.635.552,3310303106066.0,4260734635552.0
Mua hàng hóa và thành phẩm,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Mua hàng hóa và thành phẩm,Mua hàng hóa và thành phẩm,-,424.424.089.519,,424424089519.0
Doanh thu cho thuê tài sản,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Doanh thu cho thuê tài sản,Doanh thu cho thuê tài sản,3.165.014.069,4.198.466.388,3165014069.0,4198466388.0
Bán khác,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Bán khác,Bán khác,348.676.081,5.333.866.590,348676081.0,5333866590.0
Lãi trả chậm,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Lãi trả chậm,Lãi trả chậm,1.783.817.982,-,1783817982.0,
Bán tài sản cố định,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Bán tài sản cố định,Bán tài sản cố định,-,32.476.307.578,,32476307578.0
Mua tài sản cố định,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Mua tài sản cố định,Mua tài sản cố định,123.636.364,202.978.077.818,123636364.0,202978077818.0
"Mua công cụ, dụng cụ","Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Mua công cụ, dụng cụ","Mua công cụ, dụng cụ",-,36.378.797.956,,36378797956.0
Chiết khấu thương mại,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Chiết khấu thương mại,Chiết khấu thương mại,59.763.907.878,3.364.556.991,59763907878.0,3364556991.0
Phí vận chuyển,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Phí vận chuyển,Phí vận chuyển,60.304.523.944,50.923.795.458,60304523944.0,50923795458.0
Chi phí thuê hoạt động,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Chi phí thuê hoạt động,Chi phí thuê hoạt động,8.897.850.106,5.977.669.234,8897850106.0,5977669234.0
Hàng bán trả lại,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Hàng bán trả lại,Hàng bán trả lại,4.324.800.079,3.014.517.004,4324800079.0,3014517004.0
Giảm giá hàng bán,Công ty TNHH Tập đoàn Đầu tư Hoa Sen > Giảm giá hàng bán,Giảm giá hàng bán,166.020.819,34.682.845,166020819.0,34682845.0
Công ty TNHH Một Thành Viên Đầu tư Hoa Sen Nghệ An,Công ty TNHH Một Thành Viên Đầu tư Hoa Sen Nghệ An,Công ty TNHH Một Thành Viên Đầu tư Hoa Sen Nghệ An,Công ty TNHH Một Thành Viên Đầu tư Hoa Sen Nghệ An,Công ty TNHH Một Thành Viên Đầu tư Hoa Sen Nghệ An,,
Phí vận chuyển,Công ty TNHH Một Thành Viên Đầu tư Hoa Sen Nghệ An > Phí vận chuyển,Phí vận chuyển,36.265.597.722,37.507.194.539,36265597722.0,37507194539.0
Doanh thu cho thuê tài sản,Công ty TNHH Một Thành Viên Đầu tư Hoa Sen Nghệ An > Doanh thu cho thuê tài sản,Doanh thu cho thuê tài sản,216.000.000,312.000.000,216000000.0,312000000.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,,
Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,Thành viên Ban Tổng Giám đốc,,
Tiền lương và thường,Thành viên Ban Tổng Giám đốc > Tiền lương và thường,Tiền lương và thường,12.502.574.352,12.037.488.915,12502574352.0,12037488915.0
Thành viên Hội đồng Quản trị và Ban Kiểm soát,Thành viên Hội đồng Quản trị và Ban Kiểm soát,Thành viên Hội đồng Quản trị và Ban Kiểm soát,Thành viên Hội đồng Quản trị và Ban Kiểm soát,Thành viên Hội đồng Quản trị và Ban Kiểm soát,,
Thù lao,Thành viên Hội đồng Quản trị và Ban Kiểm soát > Thù lao,Thù lao,2.340.000.000,2.340.000.000,2340000000.0,2340000000.0
