row_label_raw,row_label_full,Tên công ty,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Hoạt động chính,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Tỷ lệ quyền sở hữu/quyền biểu quyết30/9/2020 1/10/2019,Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Tỷ lệ quyền sở hữu/quyền biểu quyết30/9/2020 1/10/2019_1,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Hoạt động chính,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Tỷ lệ quyền sở hữu/quyền biểu quyết30/9/2020 1/10/2019,numeric__Mẫu B 09 – DN/HN(Ban hành theo Thông tư số 202/2014/TT-BTCngày 22 tháng 12 năm 2014 của Bộ Tài chính) > Tỷ lệ quyền sở hữu/quyền biểu quyết30/9/2020 1/10/2019_1
Công ty con (tiếp theo),Công ty con (tiếp theo),Công ty con (tiếp theo),Công ty con (tiếp theo),Công ty con (tiếp theo),Công ty con (tiếp theo),,,
▪ Công ty Cổ phần Hoa Sen QuyNhơn (*),Công ty con (tiếp theo) > ▪ Công ty Cổ phần Hoa Sen QuyNhơn (*),▪ Công ty Cổ phần Hoa Sen QuyNhơn (*),"Kinh doanh bất động sản vàcung cấp dịch vụ hỗ trợ chokinh doanh bất động sản.Đầu tư, xây dựng và kinh doanhkết cấu hạ tầng khu côngnghiệp.",-,99%,,,0.99
▪ Công ty Cổ phần Đầu tư Hạ tầng KhuCông nghiệp Hoa Sen Du Long,Công ty con (tiếp theo) > ▪ Công ty Cổ phần Đầu tư Hạ tầng KhuCông nghiệp Hoa Sen Du Long,▪ Công ty Cổ phần Đầu tư Hạ tầng KhuCông nghiệp Hoa Sen Du Long,"Kinh doanh bất động sản vàcung cấp dịch vụ hỗ trợ chokinh doanh bất động sản.Đầu tư, xây dựng và kinh doanhkết cấu hạ tầng khu côngnghiệp.",95%,95%,,0.95,0.95
Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,Công ty liên kết,,,
▪ Công ty Cổ phần Cảng Quốc tế HoaSen (***),Công ty liên kết > ▪ Công ty Cổ phần Cảng Quốc tế HoaSen (***),▪ Công ty Cổ phần Cảng Quốc tế HoaSen (***),Cung cấp các dịch vụ hỗ trợ liênquan đến vận tải.,49%,49%,,0.49,0.49
