row_label_raw,row_label_full,Tiền mua lại cổ phiếu đã phát hành,32,(812.000.000),(1.116.000.000),numeric__32,numeric__(812.000.000),numeric__(1.116.000.000)
Tiền thu từ đi vay,Tiền thu từ đi vay,Tiền thu từ đi vay,33,22.583.653.369.329,20.572.520.273.479,33.0,22583653369329.0,20572520273479.0
Tiền thu từ hợp đồng bán và thuê lại tài sản cổ định là thuê tài chính,Tiền thu từ hợp đồng bán và thuê lại tài sản cổ định là thuê tài chính,Tiền thu từ hợp đồng bán và thuê lại tài sản cổ định là thuê tài chính,33,-,110.741.661.833,33.0,,110741661833.0
Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,Tiền trả nợ gốc vay,34,(24.031.275.249.680),(25.197.752.754.083),34.0,-24031275249680.0,-25197752754083.0
Tiền trả nợ gốc thuê tài chính,Tiền trả nợ gốc thuê tài chính,Tiền trả nợ gốc thuê tài chính,35,(64.120.907.969),(79.783.030.658),35.0,-64120907969.0,-79783030658.0
Tiền trả cổ tức,Tiền trả cổ tức,Tiền trả cổ tức,36,(22.299.100),(225.251.900),36.0,-22299100.0,-225251900.0
Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,Lưu chuyển tiền thuần từ hoạt động tài chính,40,(1.512.577.087.420),(4.595.615.101.329),40.0,-1512577087420.0,-4595615101329.0
Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),Lưu chuyển tiền thuần trong năm\( (50 = 20 + 30 + 40) \),50,286.164.568.882,(200.912.977.616),50.0,286164568882.0,-200912977616.0
Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,60,288.707.713.172,492.079.830.667,60.0,288707713172.0,492079830667.0
Ảnh hưởng của chênh lệch tỷ giá quy đổi ngoại tệ,Ảnh hưởng của chênh lệch tỷ giá quy đổi ngoại tệ,Ảnh hưởng của chênh lệch tỷ giá quy đổi ngoại tệ,61,(105.215.350),(2.459.139.879),61.0,-105215350.0,-2459139879.0
Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60 + 61) \),Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60 + 61) \),Tiền và các khoản tương đương tiền cuối năm \( (70 = 50 + 60 + 61) \),705,574.767.066.704,288.707.713.172,705.0,574767066704.0,288707713172.0
