row_label_raw,row_label_full,col_0,Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,TổngVND,numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,151.525.727.293,66.858.442.063,18.636.363.636,237.020.532.992,151525727293.0,66858442063.0,18636363636.0,237020532992.0
Chuyển sang tài sảncố định hữu hình,Nguyên giá > Chuyển sang tài sảncố định hữu hình,Chuyển sang tài sảncố định hữu hình,(30.618.347.412),(57.298.442.063),(18.636.363.636),(106.553.153.111),-30618347412.0,-57298442063.0,-18636363636.0,-106553153111.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,120.907.379.881,9.560.000.000,-,130.467.379.881,120907379881.0,9560000000.0,,130467379881.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,6.481.723.299,14.423.003.074,2.072.976.338,22.977.702.711,6481723299.0,14423003074.0,2072976338.0,22977702711.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,16.332.666.030,5.193.673.018,1.792.349.729,23.318.688.777,16332666030.0,5193673018.0,1792349729.0,23318688777.0
Chuyển sang tài sảncố định hữu hình,Giá trị hao mòn lũy kế > Chuyển sang tài sảncố định hữu hình,Chuyển sang tài sảncố định hữu hình,(6.317.615.506),(17.798.334.682),(3.865.326.067),(27.981.276.255),-6317615506.0,-17798334682.0,-3865326067.0,-27981276255.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,16.496.773.823,1.818.341.410,-,18.315.115.233,16496773823.0,1818341410.0,,18315115233.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,145.044.003.994,52.435.438.989,16.563.387.298,214.042.830.281,145044003994.0,52435438989.0,16563387298.0,214042830281.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,104.410.606.058,7.741.658.590,-,112.152.264.648,104410606058.0,7741658590.0,,112152264648.0
