row_label_raw,row_label_full,Bên cho vay > Ngân hàng TMCP Công thương Việt Nam - Chi nhánh KCN Bình Dương > Ngân hàng TMCP Ngoại thương Việt Nam - Chi nhánh Nam Bình Dương > Ngân hàng Đầu tư và Phát triển Việt Nam - Chi nhánh Sở Giao dịch 2 > Ngân hàng TNHH MTV HSBC (Việt Nam),Thuyết minh > (i) > (ii) > (iii) > (iv),Loại tiền > VND > USD > VND > USD > VND > USD > VND,30/9/2020 VND > 1.171.017.687.810 > 531.104.907.733 > 947.943.944.130 > 413.037.687.997 > - > 472.377.287.783 > 99.439.545.965 > 608.438.856.420,1/10/2019 VND > 1.994.915.518.201 > 129.916.416.765 > 1.567.097.214.485 > 54.253.608.247 > 395.058.324.455 > 252.269.997.400 > - > 589.496.289.578,numeric__Thuyết minh > (i) > (ii) > (iii) > (iv),numeric__Loại tiền > VND > USD > VND > USD > VND > USD > VND,numeric__30/9/2020 VND > 1.171.017.687.810 > 531.104.907.733 > 947.943.944.130 > 413.037.687.997 > - > 472.377.287.783 > 99.439.545.965 > 608.438.856.420,numeric__1/10/2019 VND > 1.994.915.518.201 > 129.916.416.765 > 1.567.097.214.485 > 54.253.608.247 > 395.058.324.455 > 252.269.997.400 > - > 589.496.289.578
Ngân hàng TMCP Phát triển TP. Hồ Chí Minh,Ngân hàng TMCP Phát triển TP. Hồ Chí Minh,Ngân hàng TMCP Phát triển TP. Hồ Chí Minh,(v),USD,213.385.900.000,299.706.629.722,,,213385900000.0,299706629722.0
Ngân hàng Sinopac - Chi nhánh TP. Hồ Chí Minh,Ngân hàng Sinopac - Chi nhánh TP. Hồ Chí Minh,Ngân hàng Sinopac - Chi nhánh TP. Hồ Chí Minh,(vi),VND,-,132.961.671.917,,,,132961671917.0
Ngân hàng Sinopac - Chi nhánh TP. Hồ Chí Minh,Ngân hàng Sinopac - Chi nhánh TP. Hồ Chí Minh,Ngân hàng Sinopac - Chi nhánh TP. Hồ Chí Minh,(vi),VND,32.300.000.000,-,,,32300000000.0,
Ngân hàng TNHH MTV UOB Việt Nam,Ngân hàng TNHH MTV UOB Việt Nam,Ngân hàng TNHH MTV UOB Việt Nam,(vii),VND,101.516.310.719,114.584.761.996,,,101516310719.0,114584761996.0
Ngân hàng TNHH MTV UOB Việt Nam,Ngân hàng TNHH MTV UOB Việt Nam,Ngân hàng TNHH MTV UOB Việt Nam,(vii),USD,57.085.000.000,-,,,57085000000.0,
Ngân hàng TNHH MTV UOB Việt Nam,Ngân hàng TNHH MTV UOB Việt Nam,Ngân hàng TNHH MTV UOB Việt Nam,(viii),VND,61.832.823.335,53.513.456.332,,,61832823335.0,53513456332.0
Ngân hàng Malayan Banking Berhad Chi nhánh TP. Hồ Chí Minh,Ngân hàng Malayan Banking Berhad Chi nhánh TP. Hồ Chí Minh,Ngân hàng Malayan Banking Berhad Chi nhánh TP. Hồ Chí Minh,(ix),VND,42.323.443.406,-,,,42323443406.0,
Ngân hàng Malayan Banking Berhad Chi nhánh TP. Hồ Chí Minh,Ngân hàng Malayan Banking Berhad Chi nhánh TP. Hồ Chí Minh,Ngân hàng Malayan Banking Berhad Chi nhánh TP. Hồ Chí Minh,(ix),USD,46.084.500.000,85.446.513.628,,,46084500000.0,85446513628.0
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Nghệ An,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Nghệ An,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Nghệ An,(x),VND,145.844.804.159,266.182.861.076,,,145844804159.0,266182861076.0
Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Bà Rịa Vũng Tàu,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Bà Rịa Vũng Tàu,Ngân hàng TMCP Công thương Việt Nam - Chi nhánh Bà Rịa Vũng Tàu,(xi),VND,-,49.229.798.800,,,,49229798800.0
Ngân Hàng TMCP Hàng Hải Việt Nam - Chi nhánh TP. Hồ Chí Minh,Ngân Hàng TMCP Hàng Hải Việt Nam - Chi nhánh TP. Hồ Chí Minh,Ngân Hàng TMCP Hàng Hải Việt Nam - Chi nhánh TP. Hồ Chí Minh,(xii),VND,97.147.784.400,-,,,97147784400.0,
Ngân Hàng TMCP Sài Gòn Thương Tín - Chi Nhánh Trung Tâm,Ngân Hàng TMCP Sài Gòn Thương Tín - Chi Nhánh Trung Tâm,Ngân Hàng TMCP Sài Gòn Thương Tín - Chi Nhánh Trung Tâm,(xiii),VND,50.000.000.000,-,,,50000000000.0,
Ngân Hàng TNHH CTBC - Chi nhánh TP. Hồ Chí Minh,Ngân Hàng TNHH CTBC - Chi nhánh TP. Hồ Chí Minh,Ngân Hàng TNHH CTBC - Chi nhánh TP. Hồ Chí Minh,(xiv),VND,19.942.608.592,-,,,19942608592.0,
Ngân Hàng TNHH CTBC - Chi nhánh TP. Hồ Chí Minh,Ngân Hàng TNHH CTBC - Chi nhánh TP. Hồ Chí Minh,Ngân Hàng TNHH CTBC - Chi nhánh TP. Hồ Chí Minh,(xiv),USD,155.234.011.226,-,,,155234011226.0,
,,,,,5.266.057.103.675,5.984.633.062.602,,,5266057103675.0,5984633062602.0
