row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2020VND,30/9/2019VND,,
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,1.375.643.163.524,462.069.296.121,1375643163524.0,462069296121.0
Thuế theo thuế suất của Công ty,Thuế theo thuế suất của Công ty,Thuế theo thuế suất của Công ty,275.128.632.706,92.413.859.224,275128632706.0,92413859224.0
Ảnh hưởng của các mức thuế suất khác áp dụng cho các công ty con,Ảnh hưởng của các mức thuế suất khác áp dụng cho các công ty con,Ảnh hưởng của các mức thuế suất khác áp dụng cho các công ty con,(62.558.538.811),(10.814.897.914),-62558538811.0,-10814897914.0
Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,Chi phí không được khấu trừ thuế,71.990.972.514,19.557.409.092,71990972514.0,19557409092.0
Ưu đãi thuế,Ưu đãi thuế,Ưu đãi thuế,(63.129.542.290),(25.950.324.403),-63129542290.0,-25950324403.0
Tài sản thuế thu nhập doanh nghiệp chưa được ghi nhận,Tài sản thuế thu nhập doanh nghiệp chưa được ghi nhận,Tài sản thuế thu nhập doanh nghiệp chưa được ghi nhận,7.690.276.040,34.593.330.494,7690276040.0,34593330494.0
Lỗ tính thuế được sử dụng,Lỗ tính thuế được sử dụng,Lỗ tính thuế được sử dụng,(13.908.404.822),-,-13908404822.0,
Sử dụng tài sản thuế thu nhập hoãn lại không được ghi nhận trước đây,Sử dụng tài sản thuế thu nhập hoãn lại không được ghi nhận trước đây,Sử dụng tài sản thuế thu nhập hoãn lại không được ghi nhận trước đây,(6.437.572.425),-,-6437572425.0,
Dự phòng thiếu/(thừa) trong những năm trước,Dự phòng thiếu/(thừa) trong những năm trước,Dự phòng thiếu/(thừa) trong những năm trước,13.853.323.303,(9.101.584.118),13853323303.0,-9101584118.0
,,,222.629.146.215,100.697.792.375,222629146215.0,100697792375.0
