row_label_raw,row_label_full,col_0,1/10/2019Giá trị ghi sổ/Số cókhả năng trả nợVND,TăngVND,Biến động trong nămGiảmVND,Chênh lệchtỷ giáVND,30/9/2020Giá trị ghi sổ/Số cókhả năng trả nợVND,numeric__1/10/2019Giá trị ghi sổ/Số cókhả năng trả nợVND,numeric__TăngVND,numeric__Biến động trong nămGiảmVND,numeric__Chênh lệchtỷ giáVND,numeric__30/9/2020Giá trị ghi sổ/Số cókhả năng trả nợVND
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,5.984.633.062.602,22.583.653.369.329,(23.307.737.280.093),5.507.951.837,5.266.057.103.675,5984633062602.0,22583653369329.0,-23307737280093.0,5507951837.0,5266057103675.0
Vay dài hạn đến hạn trả (b),Vay dài hạn đến hạn trả (b),Vay dài hạn đến hạn trả (b),669.132.423.536,756.352.763.420,(700.756.215.109),-,724.728.971.847,669132423536.0,756352763420.0,-700756215109.0,,724728971847.0
Nợ gốc thuê tài chính đến hạn tràtrong vòng 12 tháng (c),Nợ gốc thuê tài chính đến hạn tràtrong vòng 12 tháng (c),Nợ gốc thuê tài chính đến hạn tràtrong vòng 12 tháng (c),52.697.686.849,39.667.081.659,(59.706.198.844),-,32.658.569.664,52697686849.0,39667081659.0,-59706198844.0,,32658569664.0
,,,6.706.463.172.987,23.379.673.214.408,(24.068.199.694.046),5.507.951.837,6.023.444.645.186,6706463172987.0,23379673214408.0,-24068199694046.0,5507951837.0,6023444645186.0
