row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2020VND,30/9/2019VND,,
Chi phí nhân viên,Chi phí nhân viên,Chi phí nhân viên,884.532.511.683,522.045.890.893,884532511683.0,522045890893.0
Chi phí xuất khẩu,Chi phí xuất khẩu,Chi phí xuất khẩu,449.890.876.255,348.900.692.741,449890876255.0,348900692741.0
Chi phí vận chuyển,Chi phí vận chuyển,Chi phí vận chuyển,219.517.108.970,173.731.390.239,219517108970.0,173731390239.0
Chi phí khấu hao và phân bổ,Chi phí khấu hao và phân bổ,Chi phí khấu hao và phân bổ,167.094.144.203,160.562.421.184,167094144203.0,160562421184.0
Chi phí thuê,Chi phí thuê,Chi phí thuê,160.274.877.997,150.613.054.991,160274877997.0,150613054991.0
Chi phí quảng cáo,Chi phí quảng cáo,Chi phí quảng cáo,81.107.806.439,104.833.777.549,81107806439.0,104833777549.0
Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,71.910.732.695,93.322.072.588,71910732695.0,93322072588.0
Chi phí khác,Chi phí khác,Chi phí khác,186.755.015.868,194.873.541.055,186755015868.0,194873541055.0
,,,2.221.083.074.110,1.748.882.841.240,2221083074110.0,1748882841240.0
