row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcVND",Máy mócvà thiết bịVND,Phương tiệnvận chuyểnVND,Thiết bịvăn phòngVND,Tài sảnkhácVND,TổngVND,"numeric__Nhà cửa,vật kiến trúcVND",numeric__Máy mócvà thiết bịVND,numeric__Phương tiệnvận chuyểnVND,numeric__Thiết bịvăn phòngVND,numeric__Tài sảnkhácVND,numeric__TổngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.446.810.631.951,10.173.108.549.352,412.675.421.363,74.566.896.721,27.050.374.923,13.134.211.874.310,2446810631951.0,10173108549352.0,412675421363.0,74566896721.0,27050374923.0,13134211874310.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,271.304.165,9.040.988.505,2.161.963.843,102.500.000,-,11.576.756.513,271304165.0,9040988505.0,2161963843.0,102500000.0,,11576756513.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,28.328.337.590,174.454.530.895,667.335.340,-,-,203.450.203.825,28328337590.0,174454530895.0,667335340.0,,,203450203825.0
Chuyển từ tài sản hữu hình thuê tài chính,Nguyên giá > Chuyển từ tài sản hữu hình thuê tài chính,Chuyển từ tài sản hữu hình thuê tài chính,-,30.618.347.412,57.298.442.063,18.636.363.636,-,106.553.153.111,,30618347412.0,57298442063.0,18636363636.0,,106553153111.0
Phân loại sang chi phí trả trước dài hạn,Nguyên giá > Phân loại sang chi phí trả trước dài hạn,Phân loại sang chi phí trả trước dài hạn,-,535.510.031,-,-,-,535.510.031,,535510031.0,,,,535510031.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,5.708.714.437,-,(5.708.714.437),-,-,,5708714437.0,,-5708714437.0,,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(69.423.521.593),(2.367.903.173),-,-,(71.791.424.766),,-69423521593.0,-2367903173.0,,,-71791424766.0
Xóa số,Nguyên giá > Xóa số,Xóa số,-,(55.905.961.343),(370.000.000),-,-,(56.275.961.343),,-55905961343.0,-370000000.0,,,-56275961343.0
Tăng/(giảm) từ quyết toán khối lượngcông trình,Nguyên giá > Tăng/(giảm) từ quyết toán khối lượngcông trình,Tăng/(giảm) từ quyết toán khối lượngcông trình,(3.995.203.849),5.173.025.679,-,-,-,1.177.821.830,-3995203849.0,5173025679.0,,,,1177821830.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.471.415.069.857,10.273.310.183.375,470.065.259.436,87.597.045.920,27.050.374.923,13.329.437.933.511,2471415069857.0,10273310183375.0,470065259436.0,87597045920.0,27050374923.0,13329437933511.0
