row_label_raw,row_label_full,col_0,Năm kết thúc ngày,Năm kết thúc ngày_1,numeric__Năm kết thúc ngày,numeric__Năm kết thúc ngày_1
,,,30/9/2020VND,30/9/2019VND,,
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,.576.452.872.180,1.512.774.341.255,576452872180.0,1512774341255.0
Tăng từ hợp nhất kinh doanh trong năm,Tăng từ hợp nhất kinh doanh trong năm,Tăng từ hợp nhất kinh doanh trong năm,-,26.839.374.200,,26839374200.0
Tăng trong năm,Tăng trong năm,Tăng trong năm,246.758.507.548,708.722.466.177,246758507548.0,708722466177.0
Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,Chuyển sang tài sản cố định hữu hình,(203.450.203.825),(1.585.009.466.653),-203450203825.0,-1585009466653.0
Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,Chuyển sang chi phí trả trước ngắn hạn,(2.419.457.088),(376.444.294),-2419457088.0,-376444294.0
Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,Chuyển sang chi phí trả trước dài hạn,(12.637.706.813),(18.860.179.511),-12637706813.0,-18860179511.0
Giảm khác (*),Giảm khác (*),Giảm khác (*),-,(60.000.000.000),,-60000000000.0
Thanh lý,Thanh lý,Thanh lý,-,(476.066.951),,-476066951.0
Giảm do giải thể/chuyển nhượng công ty con,Giảm do giải thể/chuyển nhượng công ty con,Giảm do giải thể/chuyển nhượng công ty con,(28.748.224.277),(7.161.152.043),-28748224277.0,-7161152043.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,575.955.787.725,576.452.872.180,575955787725.0,576452872180.0
