row_label_raw,row_label_full,Ông Phan Ngoc Hanh,Truong ban,Miếnh nhiém từ ngày 22/06/2021,numeric__Truong ban,numeric__Miếnh nhiém từ ngày 22/06/2021
Ông Lê Văn Minh,Ông Lê Văn Minh,Ông Lê Văn Minh,Thanh viên,,,
Ông Nguyễn Ngoc Truong Long,Ông Nguyễn Ngoc Truong Long,Ông Nguyễn Ngoc Truong Long,Thanh viên,Bổ nhiém từ ngày 22/06/2021,,
Ông Cao Hoàng Dè,Ông Cao Hoàng Dè,Ông Cao Hoàng Dè,Thanh viên,Bổ nhiém từ ngày 22/06/2021,,
