row_label_raw,row_label_full,col_0,Vốn đầu tư của Chủ sở hữu,Vốn khác của Chủ sở hữu,Chênh lệch đánh giá lại tài sản,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn đầu tư của Chủ sở hữu,numeric__Vốn khác của Chủ sở hữu,numeric__Chênh lệch đánh giá lại tài sản,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.000.000.000.000,11.949.349.305,(35.469.525.274),10.193.697.775,45.088.685.544,473.421.504.824,520.480.045.959,4.025.663.758.133,3000000000000.0,11949349305.0,-35469525274.0,10193697775.0,45088685544.0,473421504824.0,520480045959.0,4025663758133.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,-,-,236.700.815.510,27.607.766.538,264.308.582.048,,,,,,236700815510.0,27607766538.0,264308582048.0
Trích quỹ đầu tư phát triển (1),Trích quỹ đầu tư phát triển (1),Trích quỹ đầu tư phát triển (1),-,-,-,-,10.278.583.277,(10.278.583.277),-,-,,,,,10278583277.0,-10278583277.0,,
Chia cổ tức (1),Chia cổ tức (1),Chia cổ tức (1),-,-,-,-,-,(90.000.000.000),(1.852.104.240),(91.852.104.240),,,,,,-90000000000.0,-1852104240.0,-91852104240.0
Trích quỹ khen thưởng phúc lợi (1),Trích quỹ khen thưởng phúc lợi (1),Trích quỹ khen thưởng phúc lợi (1),-,-,-,-,-,(13.398.267.694),(315.701.011),(13.713.968.705),,,,,,-13398267694.0,-315701011.0,-13713968705.0
"Tạm trích thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2021 (2)","Tạm trích thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2021 (2)","Tạm trích thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2021 (2)",-,-,-,-,-,(1.296.000.000),-,(1.296.000.000),,,,,,-1296000000.0,,-1296000000.0
"Trích thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2020 (3)","Trích thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2020 (3)","Trích thù lao Hội đồng Quản trị, Ban Kiểm soát năm 2020 (3)",-,-,-,-,-,(414.720.000),-,(414.720.000),,,,,,-414720000.0,,-414720000.0
Trích quỹ thưởng ban điều hành (1),Trích quỹ thưởng ban điều hành (1),Trích quỹ thưởng ban điều hành (1),-,-,-,-,-,(405.000.000),-,(405.000.000),,,,,,-405000000.0,,-405000000.0
Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,-,-,-,(56.287.212.118),-,-,(47.891.311.781),(104.178.523.899),,,,-56287212118.0,,,-47891311781.0,-104178523899.0
Chênh lệch đánh giá lại tài sản theo giá trị hợp lý đã thực hiện,Chênh lệch đánh giá lại tài sản theo giá trị hợp lý đã thực hiện,Chênh lệch đánh giá lại tài sản theo giá trị hợp lý đã thực hiện,-,-,-,-,-,(29.789.597.240),-,(29.789.597.240),,,,,,-29789597240.0,,-29789597240.0
Điều chính thay đổi lợi ích trong các khoản đầu tư,Điều chính thay đổi lợi ích trong các khoản đầu tư,Điều chính thay đổi lợi ích trong các khoản đầu tư,-,-,-,-,-,(3.522.605.899),(15.439.854.449),(18.962.460.348),,,,,,-3522605899.0,-15439854449.0,-18962460348.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.000.000.000.000,11.949.349.305,(35.469.525.274),(46.093.514.343),55.367.268.821,561.017.546.224,482.588.841.016,4.029.359.965.749,3000000000000.0,11949349305.0,-35469525274.0,-46093514343.0,55367268821.0,561017546224.0,482588841016.0,4029359965749.0
