row_label_raw,row_label_full,col_0,Vốn đầu tư của Chủ sở hữu,Vốn khác của Chủ sở hữu,Chênh lệch đánh giá lại tài sản,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Lợi nhuận chưa phân phối,Lợi ích cổ đông không kiểm soát,Cộng,numeric__Vốn đầu tư của Chủ sở hữu,numeric__Vốn khác của Chủ sở hữu,numeric__Chênh lệch đánh giá lại tài sản,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận chưa phân phối,numeric__Lợi ích cổ đông không kiểm soát,numeric__Cộng
,,,VND,VND,VND,VND,VND,VND,VND,VND,,,,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.000.000.000.000,11.949.349.305,(35.469.525.274),33.142.773.580,19.148.979.372,114.566.630.623,19.413.171.689,3.162.751.379.295,3000000000000.0,11949349305.0,-35469525274.0,33142773580.0,19148979372.0,114566630623.0,19413171689.0,3162751379295.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,-,-,-,-,-,428.478.087.521,2.205.122.798,430.683.210.319,,,,,,428478087521.0,2205122798.0,430683210319.0
Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,-,-,-,-,25.939.706.172,(25.939.706.172),-,-,,,,,25939706172.0,-25939706172.0,,
Chia cổ tức trong năm,Chia cổ tức trong năm,Chia cổ tức trong năm,-,-,-,-,-,-,(990.960.000),(990.960.000),,,,,,,-990960000.0,-990960000.0
Trích thù lao Hội Đồng Quản Trị,Trích thù lao Hội Đồng Quản Trị,Trích thù lao Hội Đồng Quản Trị,-,-,-,-,-,(1.658.880.000),-,(1.658.880.000),,,,,,-1658880000.0,,-1658880000.0
Trích Quỹ khen thưởng Ban điều hành,Trích Quỹ khen thưởng Ban điều hành,Trích Quỹ khen thưởng Ban điều hành,-,-,-,-,-,(324.000.000),-,(324.000.000),,,,,,-324000000.0,,-324000000.0
Trích Quỹ khen thưởng phúc lợi,Trích Quỹ khen thưởng phúc lợi,Trích Quỹ khen thưởng phúc lợi,-,-,-,-,-,(11.456.420.691),(490.725.744),(11.947.146.435),,,,,,-11456420691.0,-490725744.0,-11947146435.0
Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,Chênh lệch tỷ giá do chuyển đổi báo cáo tài chính,-,-,-,(22.949.075.805),-,-,-,(22.949.075.805),,,,-22949075805.0,,,,-22949075805.0
Chênh lệch đánh giá lại tài sản theo giá trị hợp lý đã thực hiện,Chênh lệch đánh giá lại tài sản theo giá trị hợp lý đã thực hiện,Chênh lệch đánh giá lại tài sản theo giá trị hợp lý đã thực hiện,-,-,-,-,-,(16.029.099.850),-,(16.029.099.850),,,,,,-16029099850.0,,-16029099850.0
Hợp nhất kinh doanh,Hợp nhất kinh doanh,Hợp nhất kinh doanh,-,-,-,-,-,(14.215.106.607),500.343.437.216,486.128.330.609,,,,,,-14215106607.0,500343437216.0,486128330609.0
Số dư cuối năm trước,Số dư cuối năm trước,Số dư cuối năm trước,3.000.000.000.000,11.949.349.305,(35.469.525.274),10.193.697.775,45.088.685.544,473.421.504.824,520.480.045.959,4.025.663.758.133,3000000000000.0,11949349305.0,-35469525274.0,10193697775.0,45088685544.0,473421504824.0,520480045959.0,4025663758133.0
