row_label_raw,row_label_full,col_0,Dự phòng cụ thể Triệu đồng,Dự phòng chung Triệu đồng,Tổng cộng Triệu đồng,numeric__Dự phòng cụ thể Triệu đồng,numeric__Dự phòng chung Triệu đồng,numeric__Tổng cộng Triệu đồng
Ngày 1 tháng 1 năm 2021,Ngày 1 tháng 1 năm 2021,Ngày 1 tháng 1 năm 2021,208.999,642.348,851.347,208999.0,642348.0,851347.0
Số trích lập trong năm,Số trích lập trong năm,Số trích lập trong năm,409.828,119.310,529.138,409828.0,119310.0,529138.0
Sử dụng dự phòng để xử lý rủi ro trong năm,Sử dụng dự phòng để xử lý rủi ro trong năm,Sử dụng dự phòng để xử lý rủi ro trong năm,(96.883),-,(96.883),-96883.0,,-96883.0
Sử dụng dự phòng các khoản nợ được bán cho VAMC,Sử dụng dự phòng các khoản nợ được bán cho VAMC,Sử dụng dự phòng các khoản nợ được bán cho VAMC,(840),-,(840),-840.0,,-840.0
Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,521.104,761.658,1.282.762,521104.0,761658.0,1282762.0
