row_label_raw,row_label_full,Số đầu năm,Năm nayTriệu đồng > 513.440.504,Năm trướcTriệu đồng > 456.446.843,numeric__Năm nayTriệu đồng > 513.440.504,numeric__Năm trướcTriệu đồng > 456.446.843
Phát hành cổ phiếu bằng cổ tức,Phát hành cổ phiếu bằng cổ tức,Phát hành cổ phiếu bằng cổ tức,122.990.459,56.993.661,122990459.0,56993661.0
Phát hành cổ phiếu từ nguồn vốn chủ sở hữu,Phát hành cổ phiếu từ nguồn vốn chủ sở hữu,Phát hành cổ phiếu từ nguồn vốn chủ sở hữu,67.003.698,-,67003698.0,
Phát hành cổ phiếu riêng lẻ,Phát hành cổ phiếu riêng lẻ,Phát hành cổ phiếu riêng lẻ,143.000.000,-,143000000.0,
Số cuối năm,Số cuối năm,Số cuối năm,846.434.661,513.440.504,846434661.0,513440504.0
