row_label_raw,row_label_full,col_0,Quyền sử dụng đấtcó thời hạnTriệu đồng,Quyền sử dụng đấtkhông thời hạnTriệu đồng,Phần mềmmáy vi tínhTriệu đồng,Tổng cộngTriệu đồng,numeric__Quyền sử dụng đấtcó thời hạnTriệu đồng,numeric__Quyền sử dụng đấtkhông thời hạnTriệu đồng,numeric__Phần mềmmáy vi tínhTriệu đồng,numeric__Tổng cộngTriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Ngày 31 tháng 12 năm 2021,Nguyên giá > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,44.788,356.378,154.928,556.094,44788.0,356378.0,154928.0,556094.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,-,3.892,3.892,,,3892.0,3892.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,-,15.568,15.568,,,15568.0,15568.0
Ngày 31 tháng 12 năm 2022,Nguyên giá > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,44.788,356.378,174.388,575.554,44788.0,356378.0,174388.0,575554.0
Ngày 31 tháng 12 năm 2021,Nguyên giá > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,3.304,-,137.180,140.484,3304.0,,137180.0,140484.0
Hao mòn trong năm,Nguyên giá > Hao mòn trong năm,Hao mòn trong năm,1.304,-,10.142,11.446,1304.0,,10142.0,11446.0
Ngày 31 tháng 12 năm 2022,Nguyên giá > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,4.608,-,147.322,151.930,4608.0,,147322.0,151930.0
Ngày 31 tháng 12 năm 2021,Nguyên giá > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,41.484,356.378,17.748,415.610,41484.0,356378.0,17748.0,415610.0
Ngày 31 tháng 12 năm 2022,Nguyên giá > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,40.180,356.378,27.066,423.624,40180.0,356378.0,27066.0,423624.0
