row_label_raw,row_label_full,col_0,EURđược quy đổiTriệu đồng,USDđược quy đổiTriệu đồng,Giá trị vàng tiền tệđược quy đổiTriệu đồng,Các ngoại tệ khácđược quy đổiTriệu đồng,Tổng cộngTriệu đồng,numeric__EURđược quy đổiTriệu đồng,numeric__USDđược quy đổiTriệu đồng,numeric__Giá trị vàng tiền tệđược quy đổiTriệu đồng,numeric__Các ngoại tệ khácđược quy đổiTriệu đồng,numeric__Tổng cộngTriệu đồng
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,6.541,94.497,1.839,10.710,113.587,6541.0,94497.0,1839.0,10710.0,113587.0
Tiền gửi tại NHNN Việt Nam,Tài sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,99.595,-,-,99.595,,99595.0,,,99595.0
Tiền gửi tại và cho vay các TCTD khác,Tài sản > Tiền gửi tại và cho vay các TCTD khác,Tiền gửi tại và cho vay các TCTD khác,6.981,2.316.706,-,6.441,2.330.128,6981.0,2316706.0,,6441.0,2330128.0
Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,-,1.327.200,-,-,1.327.200,,1327200.0,,,1327200.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,-,776.486,-,-,776.486,,776486.0,,,776486.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,-,21.817,-,-,21.817,,21817.0,,,21817.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,13.522,4.636.301,1.839,17.151,4.668.813,13522.0,4636301.0,1839.0,17151.0,4668813.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,2.232.322,-,-,2.232.322,,2232322.0,,,2232322.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,12.096,1.009.915,-,6.690,1.028.701,12096.0,1009915.0,,6690.0,1028701.0
"Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vayTCTD chịu rủi ro",-,948.000,-,-,948.000,,948000.0,,,948000.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,91,25.641,-,-,25.732,91.0,25641.0,,,25732.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,12.187,4.215.878,-,6.690,4.234.755,12187.0,4215878.0,,6690.0,4234755.0
Trạng thái tiền tệ nội bằng,Nợ phải trả > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,1.335,420.423,1.839,10.461,434.058,1335.0,420423.0,1839.0,10461.0,434058.0
Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,-,-,-,-,-,,,,,
"Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ ngoại bằng > Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ nội, ngoại bằng",1.335,420.423,1.839,10.461,434.058,1335.0,420423.0,1839.0,10461.0,434058.0
