row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2021 > Tăng trong năm,80.800 > 38.781,numeric__80.800 > 38.781
Kết chuyển từ xây dựng cơ bản dở dang,Kết chuyển từ xây dựng cơ bản dở dang,Kết chuyển từ xây dựng cơ bản dở dang,19.154,19154.0
Chuyển sang TSCĐ hữu hình,Chuyển sang TSCĐ hữu hình,Chuyển sang TSCĐ hữu hình,(4.983),-4983.0
Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,133.752,133752.0
