row_label_raw,row_label_full,Ngày 31 tháng 12 năm 2021,Năm nayTriệu đồng > Ngày 31 tháng 12 năm 2021,Năm trướcTriệu đồng > Ngày 31 tháng 12 năm 2021,numeric__Năm nayTriệu đồng > Ngày 31 tháng 12 năm 2021,numeric__Năm trướcTriệu đồng > Ngày 31 tháng 12 năm 2021
Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,29.037,4.788,29037.0,4788.0
Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành),Chứng khoán đầu tư giữ đến ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành),1.500,1.350,1500.0,1350.0
Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,275.439,-,275439.0,
,,,305.976,6.138,305976.0,6138.0
Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,Số trích lập/(hoàn nhập) trong năm,,
Chứng khoán đầu tư sẵn sàng để bán,Số trích lập/(hoàn nhập) trong năm > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,20.588,24.249,20588.0,24249.0
"Chứng khoán đầu tư giữ đến,ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành)","Số trích lập/(hoàn nhập) trong năm > Chứng khoán đầu tư giữ đến,ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành)","Chứng khoán đầu tư giữ đến,ngày đáo hạn(không bao gồm trái phiếu đặc biệt do VAMCphát hành)",(1.500),150,-1500.0,150.0
Trái phiếu đặc biệt do VAMC phát hành,Số trích lập/(hoàn nhập) trong năm > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,362.376,275.439,362376.0,275439.0
,,,381.464,299.838,381464.0,299838.0
Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,,
Chứng khoán đầu tư sẵn sàng để bán,Ngày 31 tháng 12 năm 2022 > Chứng khoán đầu tư sẵn sàng để bán,Chứng khoán đầu tư sẵn sàng để bán,49.625,29.037,49625.0,29037.0
Chứng khoán đầu tư giữ đến ngày đáo hạn,Ngày 31 tháng 12 năm 2022 > Chứng khoán đầu tư giữ đến ngày đáo hạn,Chứng khoán đầu tư giữ đến ngày đáo hạn,-,1.500,,1500.0
Trái phiếu đặc biệt do VAMC phát hành,Ngày 31 tháng 12 năm 2022 > Trái phiếu đặc biệt do VAMC phát hành,Trái phiếu đặc biệt do VAMC phát hành,637.815,275.439,637815.0,275439.0
,,,687.440,305.976,687440.0,305976.0
