row_label_raw,row_label_full,col_0,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Thời hạn định lại lãi suất_6,Thời hạn định lại lãi suất_7,Thời hạn định lại lãi suất_8,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Thời hạn định lại lãi suất_6,numeric__Thời hạn định lại lãi suất_7,numeric__Thời hạn định lại lãi suất_8
,,,Quá hạnTriệu đồng,Khôngchiụ lãiTriệu đồng,Đến 1thángTriệu đồng,Từ 1 - 3thángTriệu đồng,Từ 3 - 6thángTriệu đồng,Từ 6 - 12thángTriệu đồng,Từ 1 - 5nămTriệu đồng,Trên 5nămTriệu đồng,Tổng cộngTriệu đồng,,,,,,,,,
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,1.062.738,-,-,-,-,-,-,1.062.738,,1062738.0,,,,,,,1062738.0
Tiền gửi tại NHNN Việt Nam,Tài sản > Tiền gửi tại NHNN Việt Nam,Tiền gửi tại NHNN Việt Nam,-,-,1.975.334,-,-,-,-,-,1.975.334,,,1975334.0,,,,,,1975334.0
Tiền gửi tại và cho vay cácTCTD khác,Tài sản > Tiền gửi tại và cho vay cácTCTD khác,Tiền gửi tại và cho vay cácTCTD khác,-,289.885,18.942.981,4.277.400,395.261,-,-,-,23.905.527,,289885.0,18942981.0,4277400.0,395261.0,,,,23905527.0
Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Tài sản > Các công cụ tài chính phải sinhvà các tài sản tài chính khác,Các công cụ tài chính phải sinhvà các tài sản tài chính khác,-,104.949,-,-,-,-,-,-,104.949,,104949.0,,,,,,,104949.0
Cho vay khách hàng - gộp,Tài sản > Cho vay khách hàng - gộp,Cho vay khách hàng - gộp,4.963.002,-,32.445.729,70.031.086,7.600.295,2.813.096,1.645.132,40.000,119.538.340,4963002.0,,32445729.0,70031086.0,7600295.0,2813096.0,1645132.0,40000.0,119538340.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,1.888.361,400.000,2.587.384,3.087.600,2.630.125,1.659.715,14.093.002,26.346.187,,1888361.0,400000.0,2587384.0,3087600.0,2630125.0,1659715.0,14093002.0,26346187.0
"Gộp vốn, đầu tư dài hạn - gộp","Tài sản > Gộp vốn, đầu tư dài hạn - gộp","Gộp vốn, đầu tư dài hạn - gộp",-,174.800,-,-,-,-,-,-,174.800,,174800.0,,,,,,,174800.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.041.788,-,-,-,-,-,-,1.041.788,,1041788.0,,,,,,,1041788.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,-,5.438.134,-,-,-,-,-,-,5.438.134,,5438134.0,,,,,,,5438134.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,4.963.002,10.000.655,53.764.044,76.895.870,11.083.156,5.443.221,3.304.847,14.133.002,179.587.797,4963002.0,10000655.0,53764044.0,76895870.0,11083156.0,5443221.0,3304847.0,14133002.0,179587797.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,
Các khoản nợ NHNN Việt Nam,Nợ phải trả > Các khoản nợ NHNN Việt Nam,Các khoản nợ NHNN Việt Nam,-,-,612,-,-,-,-,-,612,,,612.0,,,,,,612.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,16.321.973,3.977.770,41.887,1.909,1.000.060,-,21.343.599,,,16321973.0,3977770.0,41887.0,1909.0,1000060.0,,21343599.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,28.274.249,22.135.664,41.292.080,26.779.822,6.592.252,1.565,125.075.632,,,28274249.0,22135664.0,41292080.0,26779822.0,6592252.0,1565.0,125075632.0
"Vốn tài trợ, uỷ thác đầu tư, chovay chịu rủi ro","Nợ phải trả > Vốn tài trợ, uỷ thác đầu tư, chovay chịu rủi ro","Vốn tài trợ, uỷ thác đầu tư, chovay chịu rủi ro",-,-,3.230,118.500,829.500,-,-,-,951.230,,,3230.0,118500.0,829500.0,,,,951230.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,483.607,3.149.806,3.366.010,4.884.240,300.000,200.000,12.383.663,,,483607.0,3149806.0,3366010.0,4884240.0,300000.0,200000.0,12383663.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,5.253.500,-,-,-,-,-,-,5.253.500,,5253500.0,,,,,,,5253500.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,5.253.500,45.083.671,29.381.740,45.529.477,31.665.971,7.892.312,201.565,165.008.236,,5253500.0,45083671.0,29381740.0,45529477.0,31665971.0,7892312.0,201565.0,165008236.0
Mức chênh nhạy cảmvới lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảmvới lãi suất nội bảng,Mức chênh nhạy cảmvới lãi suất nội bảng,4.963.002,4.747.155,8.680.373,47.514.130,(34.446.321),(26.222.750),(4.587.465),13.931.437,14.579.561,4963002.0,4747155.0,8680373.0,47514130.0,-34446321.0,-26222750.0,-4587465.0,13931437.0,14579561.0
