row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nội dung nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Môi quan hệ,numeric__Nội dung nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,,,,
Công ty Cổ phần Vận tải Hà Tiên,Phải trả người bán ngắn hạn > Công ty Cổ phần Vận tải Hà Tiên,Công ty Cổ phần Vận tải Hà Tiên,Bên liên quan,Chi phí vận chuyển,(83.288.847.167),(64.767.843.503),,,-83288847167.0,-64767843503.0
Tổng Công ty Công nghiệp Xi măng Việt Nam,Phải trả người bán ngắn hạn > Tổng Công ty Công nghiệp Xi măng Việt Nam,Tổng Công ty Công nghiệp Xi măng Việt Nam,Công ty mẹ,Phí tư vấn,(70.203.888.650),(61.540.395.981),,,-70203888650.0,-61540395981.0
Công ty TNHH MTV Xi măng Hạ Long,Phải trả người bán ngắn hạn > Công ty TNHH MTV Xi măng Hạ Long,Công ty TNHH MTV Xi măng Hạ Long,Bên liên quan,Phí gia công,(32.427.528.252),(32.431.296.995),,,-32427528252.0,-32431296995.0
Công ty Cổ phần Xi Măng Vicem Hoàng Mai,Phải trả người bán ngắn hạn > Công ty Cổ phần Xi Măng Vicem Hoàng Mai,Công ty Cổ phần Xi Măng Vicem Hoàng Mai,Bên liên quan,Phí gia công,(9.192.000.000),-,,,-9192000000.0,
Chi nhánh Công ty TNHH Một thành viên Xi măng Vicem Hoàng Thạch – Xí nghiệp Tiêu thụ và Dịch vụ,Phải trả người bán ngắn hạn > Chi nhánh Công ty TNHH Một thành viên Xi măng Vicem Hoàng Thạch – Xí nghiệp Tiêu thụ và Dịch vụ,Chi nhánh Công ty TNHH Một thành viên Xi măng Vicem Hoàng Thạch – Xí nghiệp Tiêu thụ và Dịch vụ,Bên liên quan,"Mua clinker, phí gia công",(6.526.414.786),(3.713.502.375),,,-6526414786.0,-3713502375.0
Công ty Cổ phần Bao bì Hà Tiên,Phải trả người bán ngắn hạn > Công ty Cổ phần Bao bì Hà Tiên,Công ty Cổ phần Bao bì Hà Tiên,Bên liên quan,Mua nguyên vật liệu,(2.567.659.176),(2.523.259.867),,,-2567659176.0,-2523259867.0
Công ty Cổ phần Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,Phải trả người bán ngắn hạn > Công ty Cổ phần Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,Công ty Cổ phần Thương mại Dịch vụ Vận tải Xi măng Hải Phòng,Bên liên quan,Chi phí vận chuyển,(2.448.666.680),(3.268.615.790),,,-2448666680.0,-3268615790.0
Công ty TNHH Một thành viên Xi măng Vicem Tam Điệp,Phải trả người bán ngắn hạn > Công ty TNHH Một thành viên Xi măng Vicem Tam Điệp,Công ty TNHH Một thành viên Xi măng Vicem Tam Điệp,Bên liên quan,Phí gia công,(1.786.400.000),-,,,-1786400000.0,
Công ty Cổ phần Vicem Bao bì Bút Sơn,Phải trả người bán ngắn hạn > Công ty Cổ phần Vicem Bao bì Bút Sơn,Công ty Cổ phần Vicem Bao bì Bút Sơn,Bên liên quan,Mua vò bao,(1.112.739.195),-,,,-1112739195.0,
