row_label_raw,row_label_full,Bà Huỳnh Thị Như Trân > Ông Phạm Đức Trung,Trường ban,miễn nhiệm ngày 1 tháng 6 năm 2018 > bổ nhiệm ngày 27 tháng 4 năm 2018 > miễn nhiệm ngày 27 tháng 4 năm 2018,numeric__Trường ban,numeric__miễn nhiệm ngày 1 tháng 6 năm 2018 > bổ nhiệm ngày 27 tháng 4 năm 2018 > miễn nhiệm ngày 27 tháng 4 năm 2018
Bà Trần Thị Bích Thủy,Bà Trần Thị Bích Thủy,Bà Trần Thị Bích Thủy,Thành viên,,,
Bà Nguyễn Thị Tố Nga,Bà Nguyễn Thị Tố Nga,Bà Nguyễn Thị Tố Nga,Thành viên,,,
Ông Phạm Thế Nghĩa,Ông Phạm Thế Nghĩa,Ông Phạm Thế Nghĩa,Thành viên,miễn nhiệm ngày 1 tháng 4 năm 2018,,
