row_label_raw,row_label_full,col_0,Số cuối nămVND,Ngày đáo hạn,numeric__Số cuối nămVND,numeric__Ngày đáo hạn
BIDV – Chi nhánh Sở Giao dịch II (i),BIDV – Chi nhánh Sở Giao dịch II (i),BIDV – Chi nhánh Sở Giao dịch II (i),BIDV – Chi nhánh Sở Giao dịch II (i),BIDV – Chi nhánh Sở Giao dịch II (i),,
Khoản vay số 1,BIDV – Chi nhánh Sở Giao dịch II (i) > Khoản vay số 1,Khoản vay số 1,55.631.249.987,Ngày 15 tháng 8 năm 2021,55631249987.0,
Khoản vay số 2,BIDV – Chi nhánh Sở Giao dịch II (i) > Khoản vay số 2,Khoản vay số 2,67.368.750.000,Ngày 15 tháng 8 năm 2021,67368750000.0,
Khoản vay số 3,BIDV – Chi nhánh Sở Giao dịch II (i) > Khoản vay số 3,Khoản vay số 3,54.400.000.000,Ngày 1 tháng 4 năm 2022,54400000000.0,
Khoản vay số 4,BIDV – Chi nhánh Sở Giao dịch II (i) > Khoản vay số 4,Khoản vay số 4,75.820.589.774,Ngày 22 tháng 6 năm 2020,75820589774.0,
Vay hợp vốn của 9 chi nhánh ngân hàng thương mại do BIDV - Sở Giao dịch II làm đầu mối (ii),BIDV – Chi nhánh Sở Giao dịch II (i) > Vay hợp vốn của 9 chi nhánh ngân hàng thương mại do BIDV - Sở Giao dịch II làm đầu mối (ii),Vay hợp vốn của 9 chi nhánh ngân hàng thương mại do BIDV - Sở Giao dịch II làm đầu mối (ii),1.255.933.888.973,Ngày 26 tháng 12 năm 2021,1255933888973.0,
Ngân hàng Société Générale (iii),Ngân hàng Société Générale (iii),Ngân hàng Société Générale (iii),Ngân hàng Société Générale (iii),Ngân hàng Société Générale (iii),,
Khoản vay số 1,Ngân hàng Société Générale (iii) > Khoản vay số 1,Khoản vay số 1,37.018.409.594,Ngày 7 tháng 11 năm 2019,37018409594.0,
Khoản vay số 2,Ngân hàng Société Générale (iii) > Khoản vay số 2,Khoản vay số 2,138.455.202.372,Ngày 7 tháng 11 năm 2019,138455202372.0,
Khoản vay số 3,Ngân hàng Société Générale (iii) > Khoản vay số 3,Khoản vay số 3,103.827.134.117,Ngày 28 tháng 2 năm 2020,103827134117.0,
Khoản vay số 4,Ngân hàng Société Générale (iii) > Khoản vay số 4,Khoản vay số 4,52.942.916.019,Ngày 26 tháng 2 năm 2020,52942916019.0,
Vietinbank - Chi nhánh Kiên Giang (iv),Vietinbank - Chi nhánh Kiên Giang (iv),Vietinbank - Chi nhánh Kiên Giang (iv),Vietinbank - Chi nhánh Kiên Giang (iv),Vietinbank - Chi nhánh Kiên Giang (iv),,
Khoản vay số 1,Vietinbank - Chi nhánh Kiên Giang (iv) > Khoản vay số 1,Khoản vay số 1,153.760.701.966,Ngày 7 tháng 12 năm 2020,153760701966.0,
Khoản vay số 2,Vietinbank - Chi nhánh Kiên Giang (iv) > Khoản vay số 2,Khoản vay số 2,94.691.561.996,Ngày 7 tháng 12 năm 2020,94691561996.0,
Ngân hàng Crédit Agricole Corporate and Investment (v),Ngân hàng Crédit Agricole Corporate and Investment (v),Ngân hàng Crédit Agricole Corporate and Investment (v),Ngân hàng Crédit Agricole Corporate and Investment (v),Ngân hàng Crédit Agricole Corporate and Investment (v),,
Khoản vay số 1,Ngân hàng Crédit Agricole Corporate and Investment (v) > Khoản vay số 1,Khoản vay số 1,249.398.103.201,Ngày 30 tháng 6 năm 2021,249398103201.0,
Khoản vay số 2,Ngân hàng Crédit Agricole Corporate and Investment (v) > Khoản vay số 2,Khoản vay số 2,79.543.701.752,Ngày 30 tháng 6 năm 2021,79543701752.0,
Vay hợp vốn của 2 chi nhánh ngân hàng thương mại do BIDV - Chi nhánh Khánh Hòa làm đầu mối (vi),Vay hợp vốn của 2 chi nhánh ngân hàng thương mại do BIDV - Chi nhánh Khánh Hòa làm đầu mối (vi),Vay hợp vốn của 2 chi nhánh ngân hàng thương mại do BIDV - Chi nhánh Khánh Hòa làm đầu mối (vi),Vay hợp vốn của 2 chi nhánh ngân hàng thương mại do BIDV - Chi nhánh Khánh Hòa làm đầu mối (vi),Vay hợp vốn của 2 chi nhánh ngân hàng thương mại do BIDV - Chi nhánh Khánh Hòa làm đầu mối (vi),,
Khoản vay số 1,Vay hợp vốn của 2 chi nhánh ngân hàng thương mại do BIDV - Chi nhánh Khánh Hòa làm đầu mối (vi) > Khoản vay số 1,Khoản vay số 1,19.832.763.008,Ngày 25 tháng 4 năm 2020,19832763008.0,
Khoản vay số 2,Vay hợp vốn của 2 chi nhánh ngân hàng thương mại do BIDV - Chi nhánh Khánh Hòa làm đầu mối (vi) > Khoản vay số 2,Khoản vay số 2,22.838.608.363,Ngày 25 tháng 4 năm 2020,22838608363.0,
TỔNG CỘNG,Vay hợp vốn của 2 chi nhánh ngân hàng thương mại do BIDV - Chi nhánh Khánh Hòa làm đầu mối (vi) > TỔNG CỘNG,TỔNG CỘNG,2.461.463.581.122,,2461463581122.0,
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Vay dài hạn đến hạn trả,Trong đó: > Vay dài hạn đến hạn trả,Vay dài hạn đến hạn trả,760.027.015.264,,760027015264.0,
Vay dài hạn,Trong đó: > Vay dài hạn,Vay dài hạn,1.701.436.565.858,,1701436565858.0,
