row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,79.334.308.786,68.325.751.058,79334308786.0,68325751058.0
Tiền chỉ hỗ trợ người lao động nghĩ việc do di đời Trạm nghiền Thủ Đức,Tiền chỉ hỗ trợ người lao động nghĩ việc do di đời Trạm nghiền Thủ Đức,Tiền chỉ hỗ trợ người lao động nghĩ việc do di đời Trạm nghiền Thủ Đức,27.544.997.000,27.544.997.000,27544997000.0,27544997000.0
Cho bên liên quan mượn nguyên vật liệu (Thuyết minh số 29),Cho bên liên quan mượn nguyên vật liệu (Thuyết minh số 29),Cho bên liên quan mượn nguyên vật liệu (Thuyết minh số 29),26.788.480.235,14.037.745.400,26788480235.0,14037745400.0
Phải thu bồi thường từ công ty bảo hiểm,Phải thu bồi thường từ công ty bảo hiểm,Phải thu bồi thường từ công ty bảo hiểm,6.439.920.872,14.826.360.179,6439920872.0,14826360179.0
Phải thu khác,Phải thu khác,Phải thu khác,18.560.910.679,11.916.648.479,18560910679.0,11916648479.0
Dài hạn,Dài hạn,Dài hạn,11.739.437.393,11.049.895.574,11739437393.0,11049895574.0
"Ký quỹ, ký cược","Ký quỹ, ký cược","Ký quỹ, ký cược",11.739.437.393,11.049.895.574,11739437393.0,11049895574.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,91.073.746.179,79.375.646.632,91073746179.0,79375646632.0
Dự phòng phải thu ngắn hạn khác khó đòi,Dự phòng phải thu ngắn hạn khác khó đòi,Dự phòng phải thu ngắn hạn khác khó đòi,(1.023.695.896),(1.023.695.896),-1023695896.0,-1023695896.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,90.050.050.283,78.351.950.736,90050050283.0,78351950736.0
