row_label_raw,row_label_full,Bên liên quan,Môi quan hệ,Nôi dung nghiệp vụ,Năm nay,VNDNăm trước,numeric__Môi quan hệ,numeric__Nôi dung nghiệp vụ,numeric__Năm nay,numeric__VNDNăm trước
Công ty TNHH MTV Xí Măng Hạ Long,Công ty TNHH MTV Xí Măng Hạ Long,Công ty TNHH MTV Xí Măng Hạ Long,Bên liên quan,Phí gia công xi măng,638.320.126.858,961.829.750.013,,,638320126858.0,961829750013.0
Công ty TNHH MTV Xí Măng Hạ Long,Công ty TNHH MTV Xí Măng Hạ Long,Công ty TNHH MTV Xí Măng Hạ Long,Bên liên quan,"Bán cát, pozulan",2.259.830.591,678.411.092,,,2259830591.0,678411092.0
Công ty TNHH MTV Xí Măng Hạ Long,Công ty TNHH MTV Xí Măng Hạ Long,Công ty TNHH MTV Xí Măng Hạ Long,Bên liên quan,Bán cát,181.800.000,-,,,181800000.0,
Công ty TNHH MTV Xí Măng Hạ Long,Công ty TNHH MTV Xí Măng Hạ Long,Công ty TNHH MTV Xí Măng Hạ Long,Bên liên quan,"Thanh lý tài sản, công cụ dụng cụ",-,99.837.045,,,,99837045.0
Tổng Công ty Công nghiệp Xi măng Việt Nam,Tổng Công ty Công nghiệp Xi măng Việt Nam,Tổng Công ty Công nghiệp Xi măng Việt Nam,Công ty mẹ,Chi phí tư vấn,121.766.470.154,113.047.877.640,,,121766470154.0,113047877640.0
Tổng Công ty Công nghiệp Xi măng Việt Nam,Tổng Công ty Công nghiệp Xi măng Việt Nam,Tổng Công ty Công nghiệp Xi măng Việt Nam,Công ty mẹ,Chi phí lãi vay,1.229.800.154,1.234.011.796,,,1229800154.0,1234011796.0
Tổng Công ty Công nghiệp Xi măng Việt Nam,Tổng Công ty Công nghiệp Xi măng Việt Nam,Tổng Công ty Công nghiệp Xi măng Việt Nam,Công ty mẹ,Bán xỉ măng,280.409.091,2.652.681.820,,,280409091.0,2652681820.0
Tổng Công ty Công nghiệp Xi măng Việt Nam,Tổng Công ty Công nghiệp Xi măng Việt Nam,Tổng Công ty Công nghiệp Xi măng Việt Nam,Công ty mẹ,Mua vỏ bao,-,7.895.266.880,,,,7895266880.0
Công ty Cổ phần Vận tải Hà Tiên,Công ty Cổ phần Vận tải Hà Tiên,Công ty Cổ phần Vận tải Hà Tiên,Bên liên quan,Chi phí vận chuyển,117.572.863.776,97.774.318.238,,,117572863776.0,97774318238.0
Công ty Cổ phần Vận tải Hà Tiên,Công ty Cổ phần Vận tải Hà Tiên,Công ty Cổ phần Vận tải Hà Tiên,Bên liên quan,Bán xỉ măng,-,1.828.233.000,,,,1828233000.0
Công ty Cổ phần Vận tải Hà Tiên,Công ty Cổ phần Vận tải Hà Tiên,Công ty Cổ phần Vận tải Hà Tiên,Bên liên quan,Nhận chuyển nhượng vốn góp,-,1.500.000.000,,,,1500000000.0
Công ty Cổ phần Vận tải Hà Tiên,Công ty Cổ phần Vận tải Hà Tiên,Công ty Cổ phần Vận tải Hà Tiên,Bên liên quan,Cung cấp dịch vụ,-,5.096.320,,,,5096320.0
Chi nhánh Công ty TNHH Một thành viên Xỉ măng Vicem Hoàng Thạch – Xí nghiệp Tiêu thụ,Chi nhánh Công ty TNHH Một thành viên Xỉ măng Vicem Hoàng Thạch – Xí nghiệp Tiêu thụ,Chi nhánh Công ty TNHH Một thành viên Xỉ măng Vicem Hoàng Thạch – Xí nghiệp Tiêu thụ,Bên liên quan,Mua clinker,111.057.638.078,-,,,111057638078.0,
Chi nhánh Công ty TNHH Một thành viên Xỉ măng Vicem Hoàng Thạch – Xí nghiệp Tiêu thụ,Chi nhánh Công ty TNHH Một thành viên Xỉ măng Vicem Hoàng Thạch – Xí nghiệp Tiêu thụ,Chi nhánh Công ty TNHH Một thành viên Xỉ măng Vicem Hoàng Thạch – Xí nghiệp Tiêu thụ,Bên liên quan,Phí gia công xi măng,-,36.032.617.131,,,,36032617131.0
Công ty Cổ phần Xi Măng Hạ Long,Công ty Cổ phần Xi Măng Hạ Long,Công ty Cổ phần Xi Măng Hạ Long,Bên liên quan,Cho mượn nguyên vật liệu,38.932.874.031,14.037.745.400,,,38932874031.0,14037745400.0
Công ty Cổ phần Xi Măng Hạ Long,Công ty Cổ phần Xi Măng Hạ Long,Công ty Cổ phần Xi Măng Hạ Long,Bên liên quan,Mua clinker,541.685.200,-,,,541685200.0,
Công ty Cổ phần Xi Măng Hạ Long,Công ty Cổ phần Xi Măng Hạ Long,Công ty Cổ phần Xi Măng Hạ Long,Bên liên quan,Thanh lý tài sản,-,995.263.091,,,,995263091.0
Công ty Cổ phần Xi măng Vicem Hải Vân,Công ty Cổ phần Xi măng Vicem Hải Vân,Công ty Cổ phần Xi măng Vicem Hải Vân,Bên liên quan,Mua clinker,31.881.230.910,-,,,31881230910.0,
Công ty Cổ phần Xi măng Vicem Hải Vân,Công ty Cổ phần Xi măng Vicem Hải Vân,Công ty Cổ phần Xi măng Vicem Hải Vân,Bên liên quan,Thanh lý tài sản,-,681.818.182,,,,681818182.0
Công ty TNHH Siam City Cement Việt Nam,Công ty TNHH Siam City Cement Việt Nam,Công ty TNHH Siam City Cement Việt Nam,Bên liên quan,Bán cát và clinker,30.321.698.175,13.751.196.310,,,30321698175.0,13751196310.0
Công ty TNHH Xi Măng Siam City Nhơn Trạch,Công ty TNHH Xi Măng Siam City Nhơn Trạch,Công ty TNHH Xi Măng Siam City Nhơn Trạch,Bên liên quan,Bán clinker,26.120.323.000,14.445.968.000,,,26120323000.0,14445968000.0
Công ty TNHH Xi Măng Siam City Nhơn Trạch,Công ty TNHH Xi Măng Siam City Nhơn Trạch,Công ty TNHH Xi Măng Siam City Nhơn Trạch,Bên liên quan,Bán cát,303.000.000,-,,,303000000.0,
