row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Vốn khác thuộc chủ sở hữu,Cổ phiếu quỹ,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,VND Tổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác thuộc chủ sở hữu,numeric__Cổ phiếu quỹ,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__VND Tổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,3.815.899.110.000,70.790.410.045,5.517.214.120,(902.752.100),231.918.495.008,1.071.335.074.900,5.194.557.551.973,3815899110000.0,70790410045.0,5517214120.0,-902752100.0,231918495008.0,1071335074900.0,5194557551973.0
Cổ tức công bố,Năm trước > Cổ tức công bố,Cổ tức công bố,,,,,,(381.541.911.000),(381.541.911.000),,,,,,-381541911000.0,-381541911000.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,,,,,,487.592.188.619,487.592.188.619,,,,,,487592188619.0,487592188619.0
Phân phối,Năm trước > Phân phối,Phân phối,,,,,134.788.000.000,(254.470.000.000),(119.682.000.000),,,,,134788000000.0,-254470000000.0,-119682000000.0
Lợi nhuận,Lợi nhuận,Lợi nhuận,,,,,,,,,,,,,,
Số cuối năm,Lợi nhuận > Số cuối năm,Số cuối năm,3.815.899.110.000,70.790.410.045,5.517.214.120,(902.752.100),366.706.495.008,922.915.352.519,5.180.925.829.592,3815899110000.0,70790410045.0,5517214120.0,-902752100.0,366706495008.0,922915352519.0,5180925829592.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.815.899.110.000,70.790.410.045,5.517.214.120,(902.752.100),366.706.495.008,922.915.352.519,5.180.925.829.592,3815899110000.0,70790410045.0,5517214120.0,-902752100.0,366706495008.0,922915352519.0,5180925829592.0
Cổ tức công bố (*),Năm nay > Cổ tức công bố (*),Cổ tức công bố (*),,,,,,(572.312.866.500),(572.312.866.500),,,,,,-572312866500.0,-572312866500.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,,,,,,641.396.790.128,641.396.790.128,,,,,,641396790128.0,641396790128.0
Phân phối,Năm nay > Phân phối,Phân phối,,,,,147.459.000.000,(228.649.000.000),(81.190.000.000),,,,,147459000000.0,-228649000000.0,-81190000000.0
Lợi nhuận,Năm nay > Lợi nhuận,Lợi nhuận,,,,,5.517.214.120,,,,,,,5517214120.0,,
Điều chuyển quỹ,Năm nay > Điều chuyển quỹ,Điều chuyển quỹ,,,(5.517.214.120),,,,,,,-5517214120.0,,,,
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.815.899.110.000,70.790.410.045,,(902.752.100),519.682.709.128,763.350.276.147,5.168.819.753.220,3815899110000.0,70790410045.0,,-902752100.0,519682709128.0,763350276147.0,5168819753220.0
