row_label_raw,row_label_full,Mã số,NGUỒN VỐN,Thuyết minh,31/12/2019,01/01/2019,numeric__NGUỒN VỐN,numeric__Thuyết minh,numeric__31/12/2019,numeric__01/01/2019
300,300,300,C. NỘ PHẢI TRẢ,,4.059.372.491.932,2.187.429.428.399,,,4059372491932.0,2187429428399.0
310,310,310,I. Nợ ngắn hạn,,2.211.935.451.843,1.783.771.224.970,,,2211935451843.0,1783771224970.0
311,311,311,1. Phải trả người bán ngắn hạn,V.14,445.129.618.876,331.819.918.936,,,445129618876.0,331819918936.0
312,312,312,2. Người mua trả tiền trước ngắn hạn,,489.361.640.930,531.573.465.824,,,489361640930.0,531573465824.0
313,313,313,3. Thuế và các khoản phải nộp Nhà nước,V.15,24.642.705.328,53.685.279.087,,,24642705328.0,53685279087.0
314,314,314,4. Phải trả người lao động,,729.350.161,4.193.902.982,,,729350161.0,4193902982.0
315,315,315,5. Chi phí phải trả ngắn hạn,V.16,14.956.081.018,13.393.845.271,,,14956081018.0,13393845271.0
316,316,316,6. Phải trả nội bộ ngắn hạn,,,,,,,
317,317,317,7. Phải trả theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,
318,317 > 318,318,8. Doanh thu chưa thực hiện ngắn hạn,V.18,6.859.596.744,12.171.070.427,,,6859596744.0,12171070427.0
319,317 > 319,319,9. Phải trả ngắn hạn khác,V.17,186.229.189.914,34.851.311.758,,,186229189914.0,34851311758.0
320,317 > 320,320,10. Vay và nợ thuê tài chính ngắn hạn,V.13,1.024.004.183.898,783.977.245.711,,,1024004183898.0,783977245711.0
321,321,321,11. Dự phòng phải trả ngắn hạn,,,,,,,
322,321 > 322,322,"12. Quỹ khen thưởng, phúc lợi",,20.023.084.974,18.105.184.974,,,20023084974.0,18105184974.0
323,323,323,13. Quỹ bình ổn giá,,,,,,,
324,324,324,14. Giao dịch mua bán lại trái phiếu Chính phủ,,,,,,,
330,324 > 330,330,II. Nợ dài hạn,,1.847.437.040.089,403.658.203.429,,,1847437040089.0,403658203429.0
331,331,331,1. Phải trả người bán dài hạn,,,,,,,
332,332,332,2. Người mua trả tiền trước dài hạn,,,,,,,
333,333,333,3. Chi phí phải trả dài hạn,,,,,,,
334,334,334,4. Phải trả nội bộ về vốn kinh doanh,,,,,,,
335,335,335,5. Phải trả nội bộ dài hạn,,,,,,,
336,336,336,6. Doanh thu chưa thực hiện dài hạn,,,,,,,
337,337,337,7. Phải trả dài hạn khác,,,,,,,
338,337 > 338,338,8. Vay và nợ thuê tài chính dài hạn,V.13,1.847.437.040.089,403.658.203.429,,,1847437040089.0,403658203429.0
339,339,339,9. Trái phiếu chuyển đổi,,,,,,,
340,340,340,10. Cổ phiếu ưu đãi,,,,,,,
341,341,341,11. Thuế thu nhập hoãn lại phải trả,,,,,,,
342,342,342,12. Dự phòng phải trả dài hạn,,,,,,,
343,343,343,13. Quỹ phát triển khoa học và công nghệ,,,,,,,
