row_label_raw,row_label_full,col_0,31/12/2019 > Giá trị,31/12/2019 > Số có khả năng trảnợ,31/12/2019 > Giá trị_1,31/12/2019 > Số có khả năng trảnợ_1,Đơn vị tính: VND01/01/2019,Đơn vị tính: VND01/01/2019_1,numeric__31/12/2019 > Giá trị,numeric__31/12/2019 > Số có khả năng trảnợ,numeric__31/12/2019 > Giá trị_1,numeric__31/12/2019 > Số có khả năng trảnợ_1,numeric__Đơn vị tính: VND01/01/2019,numeric__Đơn vị tính: VND01/01/2019_1
a) Ngắn hạn,a) Ngắn hạn,a) Ngắn hạn,,,,,,,,,,,,
+ Công ty TNHH Jiangsu Muayang Holdings,a) Ngắn hạn > + Công ty TNHH Jiangsu Muayang Holdings,+ Công ty TNHH Jiangsu Muayang Holdings,,,,38.941.210.000,38.941.210.000,,,,,38941210000.0,38941210000.0,
+ Lâm Đệ ( Quyền sử dụng đất Q8. TP.HCM),a) Ngắn hạn > + Lâm Đệ ( Quyền sử dụng đất Q8. TP.HCM),+ Lâm Đệ ( Quyền sử dụng đất Q8. TP.HCM),,65.000.000.000,65.000.000.000,,,,,65000000000.0,65000000000.0,,,
+ Công ty STERLING AND WILSON PRIVATE LIMITED,a) Ngắn hạn > + Công ty STERLING AND WILSON PRIVATE LIMITED,+ Công ty STERLING AND WILSON PRIVATE LIMITED,,81.881.738.726,81.881.738.726,,,,,81881738726.0,81881738726.0,,,
+ Khách hàng khác,a) Ngắn hạn > + Khách hàng khác,+ Khách hàng khác,,119.222.442.371,119.222.442.371,113.253.958.041,113.253.958.041,,,119222442371.0,119222442371.0,113253958041.0,113253958041.0,
b) Dải hạn,b) Dải hạn,b) Dải hạn,,,,,,,,,,,,
Cộng,b) Dải hạn > Cộng,Cộng,,445.129.618.876,445.129.618.876,331.819.918.936,331.819.918.936,,,445129618876.0,445129618876.0,331819918936.0,331819918936.0,
c) Số nợ quá hạn chưa thanh toán: không cód) Phải trả người bán là các bên liên quan xem thuyết minh VIII.03,c) Số nợ quá hạn chưa thanh toán: không cód) Phải trả người bán là các bên liên quan xem thuyết minh VIII.03,c) Số nợ quá hạn chưa thanh toán: không cód) Phải trả người bán là các bên liên quan xem thuyết minh VIII.03,c) Số nợ quá hạn chưa thanh toán: không cód) Phải trả người bán là các bên liên quan xem thuyết minh VIII.03,c) Số nợ quá hạn chưa thanh toán: không cód) Phải trả người bán là các bên liên quan xem thuyết minh VIII.03,c) Số nợ quá hạn chưa thanh toán: không cód) Phải trả người bán là các bên liên quan xem thuyết minh VIII.03,c) Số nợ quá hạn chưa thanh toán: không cód) Phải trả người bán là các bên liên quan xem thuyết minh VIII.03,c) Số nợ quá hạn chưa thanh toán: không cód) Phải trả người bán là các bên liên quan xem thuyết minh VIII.03,c) Số nợ quá hạn chưa thanh toán: không cód) Phải trả người bán là các bên liên quan xem thuyết minh VIII.03,,,,,,
15. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,15. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,15. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,15. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,15. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,15. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,15. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,15. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,15. THUẾ VÀ CÁC KHOẢN PHẢI NỘP NHÀ NƯỚC,,,,,,
,,,01/01/2019,01/01/2019,Trong năm,Trong năm,31/12/2019,31/12/2019,,,,,,
