row_label_raw,row_label_full,a) Ngoại tệ các loại,31/12/2019,01/01/2019,numeric__31/12/2019,numeric__01/01/2019
- Dollar Mỹ (USD),- Dollar Mỹ (USD),- Dollar Mỹ (USD),"59.927,21","7.536,84",59927.21,7536.84
- Bảng Anh (EUR),- Bảng Anh (EUR),- Bảng Anh (EUR),,,,
b) Nợ khó đòi đã xử lý,b) Nợ khó đòi đã xử lý,b) Nợ khó đòi đã xử lý,b) Nợ khó đòi đã xử lý,b) Nợ khó đòi đã xử lý,,
