row_label_raw,row_label_full,Bên liên quan ( tiếp theo),Nội dung nghiệp vụ,Các khoản phải trả(VND),numeric__Nội dung nghiệp vụ,numeric__Các khoản phải trả(VND)
+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,,
,,,Ứng tiền xây kho thành phẩm,40.000.000.000,,40000000000.0
,,,Ứng tiền xây nhà máy tính luyện đầu 2,45.000.000.000,,45000000000.0
+ Công ty Du Lịch An Giang,+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản > + Công ty Du Lịch An Giang,+ Công ty Du Lịch An Giang,Lãi vay,272.146.500,,272146500.0
+ Công ty Du Lịch An Giang,+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản > + Công ty Du Lịch An Giang,+ Công ty Du Lịch An Giang,Tiếp khách + Vế máy bay,79.798.000,,79798000.0
+ Công ty Du Lịch An Giang,+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản > + Công ty Du Lịch An Giang,+ Công ty Du Lịch An Giang,Cho vay,32.000.000.000,,32000000000.0
+ Công ty Cổ phần Nhựt Hồng,+ Công ty Cổ phần Nhựt Hồng,+ Công ty Cổ phần Nhựt Hồng,+ Công ty Cổ phần Nhựt Hồng,+ Công ty Cổ phần Nhựt Hồng,,
,,,Tổng thầu XD KDC Cà Mau,88.936.863.961,,88936863961.0
+ Công ty Cổ phần Du Lịch Đồng Tháp,+ Công ty Cổ phần Du Lịch Đồng Tháp,+ Công ty Cổ phần Du Lịch Đồng Tháp,+ Công ty Cổ phần Du Lịch Đồng Tháp,+ Công ty Cổ phần Du Lịch Đồng Tháp,,
,,,"Bột, son",47.907.200,,47907200.0
+ Công ty Sao Mai Super Feed,+ Công ty Cổ phần Du Lịch Đồng Tháp > + Công ty Sao Mai Super Feed,+ Công ty Sao Mai Super Feed,Bảo hiểm,13.440.000,,13440000.0
+ Công ty Cổ phần Tư vấn và Đầu tư Tài chính,+ Công ty Cổ phần Tư vấn và Đầu tư Tài chính,+ Công ty Cổ phần Tư vấn và Đầu tư Tài chính,+ Công ty Cổ phần Tư vấn và Đầu tư Tài chính,+ Công ty Cổ phần Tư vấn và Đầu tư Tài chính,,
,,,Tiền nền BX Châu Đốc,11.395.197.926,,11395197926.0
