row_label_raw,row_label_full,Chỉ tiêu,Số đầu năm,Tăng trong năm,Giảm trong năm,Số cuối kỳ,numeric__Số đầu năm,numeric__Tăng trong năm,numeric__Giảm trong năm,numeric__Số cuối kỳ
I. Nguyên giá BĐS đầu tư cho thuê,I. Nguyên giá BĐS đầu tư cho thuê,I. Nguyên giá BĐS đầu tư cho thuê,169.887.380.330,,,169.887.380.330,169887380330.0,,,169887380330.0
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,47.985.863.178,,,47.985.863.178,47985863178.0,,,47985863178.0
- Nhà,- Nhà,- Nhà,121.901.517.152,,,121.901.517.152,121901517152.0,,,121901517152.0
II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,II. Giá trị hao mòn luỹ kế,33.436.410.029,4.257.384.036,,37.693.794.065,33436410029.0,4257384036.0,,37693794065.0
- Quyền sử dụng đất,- Quyền sử dụng đất,- Quyền sử dụng đất,,,,,,,,
- Nhà,- Quyền sử dụng đất > - Nhà,- Nhà,33.436.410.029,4.257.384.036,,37.693.794.065,33436410029.0,4257384036.0,,37693794065.0
III. Giá trị còn lại,- Quyền sử dụng đất > III. Giá trị còn lại,III. Giá trị còn lại,136.450.970.301,,,132.193.586.265,136450970301.0,,,132193586265.0
- Quyền sử dụng đất,- Quyền sử dụng đất > - Quyền sử dụng đất,- Quyền sử dụng đất,47.985.863.178,,,47.985.863.178,47985863178.0,,,47985863178.0
- Nhà,- Quyền sử dụng đất > - Nhà,- Nhà,88.465.107.123,,,84.207.723.087,88465107123.0,,,84207723087.0
"- Giá trị còn lại cuối kỳ của BĐSDT dùng để thế chấp, cầm cố đảm bảo khoản vay: 111.121.923.327 VND","- Giá trị còn lại cuối kỳ của BĐSDT dùng để thế chấp, cầm cố đảm bảo khoản vay: 111.121.923.327 VND","- Giá trị còn lại cuối kỳ của BĐSDT dùng để thế chấp, cầm cố đảm bảo khoản vay: 111.121.923.327 VND","- Giá trị còn lại cuối kỳ của BĐSDT dùng để thế chấp, cầm cố đảm bảo khoản vay: 111.121.923.327 VND","- Giá trị còn lại cuối kỳ của BĐSDT dùng để thế chấp, cầm cố đảm bảo khoản vay: 111.121.923.327 VND","- Giá trị còn lại cuối kỳ của BĐSDT dùng để thế chấp, cầm cố đảm bảo khoản vay: 111.121.923.327 VND","- Giá trị còn lại cuối kỳ của BĐSDT dùng để thế chấp, cầm cố đảm bảo khoản vay: 111.121.923.327 VND",,,,
- Nguyên giá BĐSDT đã khấu hao hết nhưng vấn cho thuê hoặc nấm giữ chờ tăng giá: 0 VND,- Nguyên giá BĐSDT đã khấu hao hết nhưng vấn cho thuê hoặc nấm giữ chờ tăng giá: 0 VND,- Nguyên giá BĐSDT đã khấu hao hết nhưng vấn cho thuê hoặc nấm giữ chờ tăng giá: 0 VND,- Nguyên giá BĐSDT đã khấu hao hết nhưng vấn cho thuê hoặc nấm giữ chờ tăng giá: 0 VND,- Nguyên giá BĐSDT đã khấu hao hết nhưng vấn cho thuê hoặc nấm giữ chờ tăng giá: 0 VND,- Nguyên giá BĐSDT đã khấu hao hết nhưng vấn cho thuê hoặc nấm giữ chờ tăng giá: 0 VND,- Nguyên giá BĐSDT đã khấu hao hết nhưng vấn cho thuê hoặc nấm giữ chờ tăng giá: 0 VND,,,,
