row_label_raw,row_label_full,VAY VÀ NỘ THUẾ TÀI CHÍNHa) Vay ngắn hạn,31/12/2019 > Giá trị,31/12/2019 > Số có khả năng trả nợ,Trong năm > Tăng,Trong năm > Giảm,01/01/2019 > Giá trị,01/01/2019 > Số có khả năng trả nợ,numeric__31/12/2019 > Giá trị,numeric__31/12/2019 > Số có khả năng trả nợ,numeric__Trong năm > Tăng,numeric__Trong năm > Giảm,numeric__01/01/2019 > Giá trị,numeric__01/01/2019 > Số có khả năng trả nợ
Vay ngắn hạn - VND,Vay ngắn hạn - VND,Vay ngắn hạn - VND,1.018.828.178.980,1.018.828.178.980,2.994.761.334.222,2.752.243.339.819,776.310.184.577,776.310.184.577,1018828178980.0,1018828178980.0,2994761334222.0,2752243339819.0,776310184577.0,776310184577.0
- Ngân hàng BIDV-KG,- Ngân hàng BIDV-KG,- Ngân hàng BIDV-KG,199.923.029.920,199.923.029.920,615.046.458.437,561.976.806.606,146.853.378.089,146.853.378.089,199923029920.0,199923029920.0,615046458437.0,561976806606.0,146853378089.0,146853378089.0
- Ngân hàng An Bình - CN Cần Thơ,- Ngân hàng An Bình - CN Cần Thơ,- Ngân hàng An Bình - CN Cần Thơ,10.000.000.000,10.000.000.000,85.131.091.622,151.897.525.685,76.766.434.063,76.766.434.063,10000000000.0,10000000000.0,85131091622.0,151897525685.0,76766434063.0,76766434063.0
- Ngân hàng Tiên Phong,- Ngân hàng Tiên Phong,- Ngân hàng Tiên Phong,198.787.239.890,198.787.239.890,391.459.242.106,358.054.438.293,165.382.436.077,165.382.436.077,198787239890.0,198787239890.0,391459242106.0,358054438293.0,165382436077.0,165382436077.0
- Ngân hàng VPBank Tp.HCM,- Ngân hàng VPBank Tp.HCM,- Ngân hàng VPBank Tp.HCM,402.056.733.627,402.056.733.627,1.149.647.770.145,994.369.752.680,246.778.716.162,246.778.716.162,402056733627.0,402056733627.0,1149647770145.0,994369752680.0,246778716162.0,246778716162.0
- Ngân hàng SCB - CN An Giang,- Ngân hàng SCB - CN An Giang,- Ngân hàng SCB - CN An Giang,,,71.540.000.000,71.540.000.000,,,,,71540000000.0,71540000000.0,,
- Ngân hàng Phát Tiến Tp.HCM,- Ngân hàng Phát Tiến Tp.HCM,- Ngân hàng Phát Tiến Tp.HCM,67.883.183.927,67.883.183.927,82.913.547.275,37.141.443.257,22.111.079.909,22.111.079.909,67883183927.0,67883183927.0,82913547275.0,37141443257.0,22111079909.0,22111079909.0
- Ngân hàng VCB - Kiên Giang,- Ngân hàng VCB - Kiên Giang,- Ngân hàng VCB - Kiên Giang,,,,14.577.943.000,14.577.943.000,14.577.943.000,,,,14577943000.0,14577943000.0,14577943000.0
- Ngân hàng Nam Á - Cần Thơ,- Ngân hàng Nam Á - Cần Thơ,- Ngân hàng Nam Á - Cần Thơ,65.763.079.993,65.763.079.993,187.532.011.863,134.741.012.380,12.972.080.510,12.972.080.510,65763079993.0,65763079993.0,187532011863.0,134741012380.0,12972080510.0,12972080510.0
- Ngân hàng Xăng Dầu - An Giang,- Ngân hàng Xăng Dầu - An Giang,- Ngân hàng Xăng Dầu - An Giang,49.914.911.623,49.914.911.623,99.641.801.514,49.726.889.891,,,49914911623.0,49914911623.0,99641801514.0,49726889891.0,,
