row_label_raw,row_label_full,Bên cho vay > - Ngân hàng TMCP Liên Việt An Giang > - Ngân hàng Ngoại thương An Giang > - Ngân hàng LD Việt Nga Tp HCM > - Ngân hàng TMCP Tiên Phong An Giang,Hợp đồng > 015/2015/AG > 130/2012 > 04/2017 > 119/2017 > 58/2016,Han mức/Số tiền vay > 100.000.000.000 > 75.000.000.000 > 14.000.000.000 > 10.000.000.000 > 100.000.000.000,Thời hạn vay > 60 > 120 > 96 > 36 > 60,Mục đích vay > DA Bình Khánh > KDC Ngọc Hầu > DA Cà Mau > DA Thanh Hoá,Hình thức đảm bảo > Thế chấp bằng tài sản hình thành từ dự án,numeric__Hợp đồng > 015/2015/AG > 130/2012 > 04/2017 > 119/2017 > 58/2016,numeric__Han mức/Số tiền vay > 100.000.000.000 > 75.000.000.000 > 14.000.000.000 > 10.000.000.000 > 100.000.000.000,numeric__Thời hạn vay > 60 > 120 > 96 > 36 > 60,numeric__Mục đích vay > DA Bình Khánh > KDC Ngọc Hầu > DA Cà Mau > DA Thanh Hoá,numeric__Hình thức đảm bảo > Thế chấp bằng tài sản hình thành từ dự án
- Ngân hàng TMCP Quốc Dân An Giang,- Ngân hàng TMCP Quốc Dân An Giang,- Ngân hàng TMCP Quốc Dân An Giang,063/16,23.200.000.000,84,KS Bảo Giang,Thế chấp bằng tài sản hình thành từ dự án,,23200000000.0,84.0,,
- Ngân hàng TMCP Đại Chủng An Giang,- Ngân hàng TMCP Đại Chủng An Giang,- Ngân hàng TMCP Đại Chủng An Giang,3110-PVB,40.000.000.000,60,Thuê đất Sa Đéc,Thế chấp bằng tài sản hình thành từ dự án,,40000000000.0,60.0,,
- Ngân hàng TMCP Phát Triển Tp HCM,- Ngân hàng TMCP Phát Triển Tp HCM,- Ngân hàng TMCP Phát Triển Tp HCM,23179/18MN,1.400.000.000.000,120,DA điện mặt trời,Thế chấp bằng tài sản hình thành từ dự án,,1400000000000.0,120.0,,
