row_label_raw,row_label_full,col_0,Vốn góp của CSH,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận chưa phân phối,Tổng Cộng,numeric__Vốn góp của CSH,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận chưa phân phối,numeric__Tổng Cộng
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,2.419.338.530.000,45.056.200.000,48.162.734.708,4.971.647.795,185.453.986.527,2.702.983.099.030,2419338530000.0,45056200000.0,48162734708.0,4971647795.0,185453986527.0,2702983099030.0
Tăng vốn trong năm trước,Tăng vốn trong năm trước,Tăng vốn trong năm trước,,,,,253.448.794.929,253.448.794.929,,,,,253448794929.0,253448794929.0
Lãi trong năm trước,Lãi trong năm trước,Lãi trong năm trước,,,13.936.949.940,,,13.936.949.940,,,13936949940.0,,,13936949940.0
Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,Tăng do trích lập từ lợi nhuận,,,,,(17.421.187.425),(17.421.187.425),,,,,-17421187425.0,-17421187425.0
Giảm vốn trong năm trước,Giảm vốn trong năm trước,Giảm vốn trong năm trước,,,,,,,,,,,,
Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,,,,,,,,,
Chia cổ tức,Chia cổ tức,Chia cổ tức,,,,,,,,,,,,
Thù lao hội đồng quản trị,Thù lao hội đồng quản trị,Thù lao hội đồng quản trị,,,,,,,,,,,,
Giảm khác,Giảm khác,Giảm khác,,,,,,,,,,,,
Số dư đầu năm nay,Giảm khác > Số dư đầu năm nay,Số dư đầu năm nay,2.419.338.530.000,45.056.200.000,62.099.684.648,4.971.647.795,421.481.594.031,2.952.947.656.474,2419338530000.0,45056200000.0,62099684648.0,4971647795.0,421481594031.0,2952947656474.0
Tăng vốn trong năm nay,Giảm khác > Tăng vốn trong năm nay,Tăng vốn trong năm nay,169.339.960.000,,,,,169.339.960.000,169339960000.0,,,,,169339960000.0
Lãi trong năm nay,Giảm khác > Lãi trong năm nay,Lãi trong năm nay,,,,,374.398.326.724,374.398.326.724,,,,,374398326724.0,374398326724.0
Tăng do trích từ lợi nhuận,Giảm khác > Tăng do trích từ lợi nhuận,Tăng do trích từ lợi nhuận,,,8.000.000.000,,,8.000.000.000,,,8000000000.0,,,8000000000.0
Tăng khác,Giảm khác > Tăng khác,Tăng khác,,,,,(10.000.000.000),(10.000.000.000),,,,,-10000000000.0,-10000000000.0
Trích quỹ từ lợi nhuận,Giảm khác > Trích quỹ từ lợi nhuận,Trích quỹ từ lợi nhuận,,,,,(428.207.809.000),(428.207.809.000),,,,,-428207809000.0,-428207809000.0
Chia cổ tức,Chia cổ tức,Chia cổ tức,,,,,,,,,,,,
Lỗ trong năm nay,Lỗ trong năm nay,Lỗ trong năm nay,,,,,,,,,,,,
Giảm khác,Giảm khác,Giảm khác,,,,,,,,,,,,
Số dư cuối năm nay,Giảm khác > Số dư cuối năm nay,Số dư cuối năm nay,2.588.678.490.000,45.056.200.000,70.099.684.648,4.971.647.795,357.672.111.755,3.066.478.134.198,2588678490000.0,45056200000.0,70099684648.0,4971647795.0,357672111755.0,3066478134198.0
