row_label_raw,row_label_full,Đầu tư nằm giữ đến ngày đáo hạn,31/12/2019 > 185.000.000.000,01/01/2019 > 187.200.000.000,numeric__31/12/2019 > 185.000.000.000,numeric__01/01/2019 > 187.200.000.000
Hàng tồn kho,Hàng tồn kho,Hàng tồn kho,934.764.247.744,672.002.368.902,934764247744.0,672002368902.0
Tài sản cố định hữu hình,Tài sản cố định hữu hình,Tài sản cố định hữu hình,1.471.343.000.000,31.790.000.000,1471343000000.0,31790000000.0
Quyền sử dụng đất,Quyền sử dụng đất,Quyền sử dụng đất,371.965.786.391,94.316.518.420,371965786391.0,94316518420.0
Cổ phiếu,Cổ phiếu,Cổ phiếu,288.384.503.650,197.000.000.000,288384503650.0,197000000000.0
Bất động sản đầu tư,Bất động sản đầu tư,Bất động sản đầu tư,111.121.923.327,,111121923327.0,
