row_label_raw,row_label_full,col_0,Tổng khoản thanh toán tiền thuê tài chính,Trả tiền lãi thuê,Trả nợ gốc,Tổng khoản thanh toán tiền thuê tài chính_1,Trả tiền lãi thuê_1,Trả nợ gốc_1,numeric__Tổng khoản thanh toán tiền thuê tài chính,numeric__Trả tiền lãi thuê,numeric__Trả nợ gốc,numeric__Tổng khoản thanh toán tiền thuê tài chính_1,numeric__Trả tiền lãi thuê_1,numeric__Trả nợ gốc_1
Thời hạn,Thời hạn,Thời hạn,,,,,,,,,,,,
Từ 1 năm trở xuống,Thời hạn > Từ 1 năm trở xuống,Từ 1 năm trở xuống,3.078.638.736,587.582.520,2.491.056.216,5.874.237.738,617.766.285,5.256.471.453,3078638736.0,587582520.0,2491056216.0,5874237738.0,617766285.0,5256471453.0
Trên 1 năm đến 5 năm,Trên 1 năm đến 5 năm,Trên 1 năm đến 5 năm,,,,,,,,,,,,
Trên 5 năm,Trên 5 năm,Trên 5 năm,,,,,,,,,,,,
Cộng,Trên 5 năm > Cộng,Cộng,3.078.638.736,587.582.520,2.491.056.216,5.874.237.738,617.766.285,5.256.471.453,3078638736.0,587582520.0,2491056216.0,5874237738.0,617766285.0,5256471453.0
d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính,,,31/12/2019,31/12/2019,01/01/2019,01/01/2019,,,,,,
d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính,d) Giá trị nợ thuê tài chính,,,Giá đánh giá lại,Giá gốc,Giá đánh giá lại,Giá gốc,,,,,,
Ngắn hạn,d) Giá trị nợ thuê tài chính > Ngắn hạn,Ngắn hạn,,,5.176.004.918,5.176.004.918,7.667.061.134,7.667.061.134,,,5176004918.0,5176004918.0,7667061134.0,7667061134.0
Gốc nợ thuê tài chính,d) Giá trị nợ thuê tài chính > Gốc nợ thuê tài chính,Gốc nợ thuê tài chính,,,5.176.004.918,5.176.004.918,7.667.061.134,7.667.061.134,,,5176004918.0,5176004918.0,7667061134.0,7667061134.0
Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,Lãi thuê tài chính phải trả,,,,,,,,,,,,
Dài hạn,Lãi thuê tài chính phải trả > Dài hạn,Dài hạn,,,5.176.004.918,5.176.004.918,7.667.061.134,7.667.061.134,,,5176004918.0,5176004918.0,7667061134.0,7667061134.0
Cộng,Cộng,Cộng,,,31/12/2019,31/12/2019,01/01/2019,01/01/2019,,,,,,
Cộng,Cộng,Cộng,,,Giá trị,Số có khả năng trả nợ,Giá trị,Số có khả năng trả nợ,,,,,,
14 . PHẢI TRẢ NGƯỜI BÁN,Cộng > 14 . PHẢI TRẢ NGƯỜI BÁN,14 . PHẢI TRẢ NGƯỜI BÁN,,,445.129.618.876,445.129.618.876,331.819.918.936,331.819.918.936,,,445129618876.0,445129618876.0,331819918936.0,331819918936.0
a) Ngắn hạn,Cộng > a) Ngắn hạn,a) Ngắn hạn,,,29.355.856.400,29.355.856.400,52.258.348.000,52.258.348.000,,,29355856400.0,29355856400.0,52258348000.0,52258348000.0
+ Công ty TNHH MTV Chế Biển Bột Cá Kim Son,Cộng > + Công ty TNHH MTV Chế Biển Bột Cá Kim Son,+ Công ty TNHH MTV Chế Biển Bột Cá Kim Son,,,41.394.107.452,41.394.107.452,39.863.646.890,39.863.646.890,,,41394107452.0,41394107452.0,39863646890.0,39863646890.0
+ Công ty TNHH TM Xuất Nhập Khẩu Khai Anh - Bình Thuận,Cộng > + Công ty TNHH TM Xuất Nhập Khẩu Khai Anh - Bình Thuận,+ Công ty TNHH TM Xuất Nhập Khẩu Khai Anh - Bình Thuận,,,39.581.174.733,39.581.174.733,27.223.603.969,27.223.603.969,,,39581174733.0,39581174733.0,27223603969.0,27223603969.0
+ Công ty Cổ phần Hum,Cộng > + Công ty Cổ phần Hum,+ Công ty Cổ phần Hum,,,21.370.732.445,21.370.732.445,19.853.929.184,19.853.929.184,,,21370732445.0,21370732445.0,19853929184.0,19853929184.0
+ Công ty TNHH TM DV Sông Hậu,Cộng > + Công ty TNHH TM DV Sông Hậu,+ Công ty TNHH TM DV Sông Hậu,,,,,17.765.295.000,17.765.295.000,,,,,17765295000.0,17765295000.0
+ Công ty Andritz Feed & Biofuel A/S,Cộng > + Công ty Andritz Feed & Biofuel A/S,+ Công ty Andritz Feed & Biofuel A/S,,,2.362.998.100,2.362.998.100,12.347.964.500,12.347.964.500,,,2362998100.0,2362998100.0,12347964500.0,12347964500.0
+ Công ty TNHH Trường Thắng,Cộng > + Công ty TNHH Trường Thắng,+ Công ty TNHH Trường Thắng,,,311.963.352,311.963.352,10.311.963.352,10.311.963.352,,,311963352.0,311963352.0,10311963352.0,10311963352.0
+ Công ty CP Đầu Tư Xây Dương Số 10 IDICO,Cộng > + Công ty CP Đầu Tư Xây Dương Số 10 IDICO,+ Công ty CP Đầu Tư Xây Dương Số 10 IDICO,,,44.648.605.297,44.648.605.297,,,,,44648605297.0,44648605297.0,,
+ Công ty TNHH MTV Kiểm Định Và Đầu Tư Toàn Cầu,+ Công ty TNHH MTV Kiểm Định Và Đầu Tư Toàn Cầu,+ Công ty TNHH MTV Kiểm Định Và Đầu Tư Toàn Cầu,,,,,,,,,,,,
