row_label_raw,row_label_full,"TÀNG, GIẢM TÀI SẢN CÓ ĐỊNH HỮU HÌNH","TÀNG, GIẢM TÀI SẢN CÓ ĐỊNH HỮU HÌNH_1","TÀNG, GIẢM TÀI SẢN CÓ ĐỊNH HỮU HÌNH_2","TÀNG, GIẢM TÀI SẢN CÓ ĐỊNH HỮU HÌNH_3","TÀNG, GIẢM TÀI SẢN CÓ ĐỊNH HỮU HÌNH_4","TÀNG, GIẢM TÀI SẢN CÓ ĐỊNH HỮU HÌNH_5","TÀNG, GIẢM TÀI SẢN CÓ ĐỊNH HỮU HÌNH_6","numeric__TÀNG, GIẢM TÀI SẢN CÓ ĐỊNH HỮU HÌNH_1","numeric__TÀNG, GIẢM TÀI SẢN CÓ ĐỊNH HỮU HÌNH_2","numeric__TÀNG, GIẢM TÀI SẢN CÓ ĐỊNH HỮU HÌNH_3","numeric__TÀNG, GIẢM TÀI SẢN CÓ ĐỊNH HỮU HÌNH_4","numeric__TÀNG, GIẢM TÀI SẢN CÓ ĐỊNH HỮU HÌNH_5","numeric__TÀNG, GIẢM TÀI SẢN CÓ ĐỊNH HỮU HÌNH_6"
Chỉ tiêu,Chỉ tiêu,Chỉ tiêu,"Nhà cửa, vật kiến trúc","Máy móc, thiết bị","Phương tiện vận tải, truyền dẫn",Thiết bị quản lý,TSCĐ khác,Cộng,,,,,,
I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,I. Nguyên giá,,,,,,
1. Số dư đầu kỳ,I. Nguyên giá > 1. Số dư đầu kỳ,1. Số dư đầu kỳ,32.613.537.062,652.467.882,23.254.330.817,3.992.085.225,,60.512.420.986,32613537062.0,652467882.0,23254330817.0,3992085225.0,,60512420986.0
2. Số tăng trong kỳ,I. Nguyên giá > 2. Số tăng trong kỳ,2. Số tăng trong kỳ,260.043.442.904,1.586.921.999.828,6.013.062.236,86.363.636,,1.853.064.868.604,260043442904.0,1586921999828.0,6013062236.0,86363636.0,,1853064868604.0
- Mua trong kỳ,I. Nguyên giá > - Mua trong kỳ,- Mua trong kỳ,,,6.013.062.236,86.363.636,,6.099.425.872,,,6013062236.0,86363636.0,,6099425872.0
- Đầu tư XDCB hoàn thành,I. Nguyên giá > - Đầu tư XDCB hoàn thành,- Đầu tư XDCB hoàn thành,260.043.442.904,1.586.921.999.828,,,,1.846.965.442.732,260043442904.0,1586921999828.0,,,,1846965442732.0
- Tăng khác,- Tăng khác,- Tăng khác,,,,,,,,,,,,
3. Số giảm trong kỳ,- Tăng khác > 3. Số giảm trong kỳ,3. Số giảm trong kỳ,,,408.530.000,,,408.530.000,,,408530000.0,,,408530000.0
- Chuyển sang BDS đầu tư,- Chuyển sang BDS đầu tư,- Chuyển sang BDS đầu tư,,,,,,,,,,,,
"- Thanh lý, nhượng bán","- Chuyển sang BDS đầu tư > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,,408.530.000,,,408.530.000,,,408530000.0,,,408530000.0
- Giảm khác,- Giảm khác,- Giảm khác,,,,,,,,,,,,
4. Số dư cuối kỳ,- Giảm khác > 4. Số dư cuối kỳ,4. Số dư cuối kỳ,292.656.979.966,1.587.574.467.710,28.858.863.053,4.078.448.861,,1.913.168.759.590,292656979966.0,1587574467710.0,28858863053.0,4078448861.0,,1913168759590.0
II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,II. Giá trị hao mòn lũy kế,,,,,,
1. Số dư đầu năm,II. Giá trị hao mòn lũy kế > 1. Số dư đầu năm,1. Số dư đầu năm,6.756.150.156,361.124.267,8.447.687.285,1.442.859.072,,17.007.820.780,6756150156.0,361124267.0,8447687285.0,1442859072.0,,17007820780.0
2. Khấu hao trong kỳ,II. Giá trị hao mòn lũy kế > 2. Khấu hao trong kỳ,2. Khấu hao trong kỳ,5.073.424.904,32.847.185.750,4.343.814.110,632.183.240,,42.896.608.004,5073424904.0,32847185750.0,4343814110.0,632183240.0,,42896608004.0
- Khấu hao trong kỳ,II. Giá trị hao mòn lũy kế > - Khấu hao trong kỳ,- Khấu hao trong kỳ,5.073.424.904,32.847.185.750,4.343.814.110,632.183.240,,42.896.608.004,5073424904.0,32847185750.0,4343814110.0,632183240.0,,42896608004.0
3. Giảm trong kỳ,II. Giá trị hao mòn lũy kế > 3. Giảm trong kỳ,3. Giảm trong kỳ,,,111.092.761,,,111.092.761,,,111092761.0,,,111092761.0
- Chuyển sang BDS đầu tư,- Chuyển sang BDS đầu tư,- Chuyển sang BDS đầu tư,,,,,,,,,,,,
"- Thanh lý, nhượng bán","- Chuyển sang BDS đầu tư > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",,,111.092.761,,,111.092.761,,,111092761.0,,,111092761.0
4. Số dư cuối kỳ,- Chuyển sang BDS đầu tư > 4. Số dư cuối kỳ,4. Số dư cuối kỳ,11.829.575.060,33.208.310.017,12.680.408.634,2.075.042.312,,59.793.336.023,11829575060.0,33208310017.0,12680408634.0,2075042312.0,,59793336023.0
III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,III. Giá trị còn lại,,,,,,
1. Tại ngày đầu năm,III. Giá trị còn lại > 1. Tại ngày đầu năm,1. Tại ngày đầu năm,25.857.386.906,291.343.615,14.806.643.532,2.549.226.153,,43.504.600.206,25857386906.0,291343615.0,14806643532.0,2549226153.0,,43504600206.0
2. Tại ngày cuối kỳ,III. Giá trị còn lại > 2. Tại ngày cuối kỳ,2. Tại ngày cuối kỳ,280.827.404.908,1.554.366.157.693,16.178.454.419,2.003.406.547,,1.853.375.423.567,280827404908.0,1554366157693.0,16178454419.0,2003406547.0,,1853375423567.0
