row_label_raw,row_label_full,col_0,31/12/2019 > Giá trị,31/12/2019 > Dư phòng,01/01/2019 > Giá trị,01/01/2019 > Dư phòng,31/12/2019 > Giá trị_1,01/01/2019 > Giá trị_1,numeric__31/12/2019 > Giá trị,numeric__31/12/2019 > Dư phòng,numeric__01/01/2019 > Giá trị,numeric__01/01/2019 > Dư phòng,numeric__31/12/2019 > Giá trị_1,numeric__01/01/2019 > Giá trị_1
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,
Tiền và các khoản tương đương tiền,Tài sản tài chính > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,136.693.001.410,,130.030.200.092,,136.693.001.410,130.030.200.092,136693001410.0,,130030200092.0,,136693001410.0,130030200092.0
Phải thu khách hàng,Tài sản tài chính > Phải thu khách hàng,Phải thu khách hàng,374.171.006.613,"(9.874.620.468,00)",425.245.697.680,,364.296.386.145,425.245.697.680,374171006613.0,-9874620468.0,425245697680.0,,364296386145.0,425245697680.0
Trả trước cho người bán,Tài sản tài chính > Trả trước cho người bán,Trả trước cho người bán,356.150.413.709,,857.999.201.034,,356.150.413.709,857.999.201.034,356150413709.0,,857999201034.0,,356150413709.0,857999201034.0
Các khoản phải thu khác,Tài sản tài chính > Các khoản phải thu khác,Các khoản phải thu khác,186.199.471.140,,231.596.733.610,,186.199.471.140,231.596.733.610,186199471140.0,,231596733610.0,,186199471140.0,231596733610.0
Đầu tư tài chính ngắn hạn,Tài sản tài chính > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,233.454.610.033,,497.600.000.000,,233.454.610.033,497.600.000.000,233454610033.0,,497600000000.0,,233454610033.0,497600000000.0
Đầu tư tài chính dài hạn,Tài sản tài chính > Đầu tư tài chính dài hạn,Đầu tư tài chính dài hạn,2.277.408.873.712,(5.192.076.921),1.553.408.873.712,(5.976.122.399),2.272.216.796.791,1.547.432.751.313,2277408873712.0,-5192076921.0,1553408873712.0,-5976122399.0,2272216796791.0,1547432751313.0
Cộng,Tài sản tài chính > Cộng,Cộng,3.564.077.376.617,(15.066.697.389),3.695.880.706.128,(5.976.122.399),3.549.010.679.228,3.689.904.583.729,3564077376617.0,-15066697389.0,3695880706128.0,-5976122399.0,3549010679228.0,3689904583729.0
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,
Phải trả cho người bán,Nợ phải trả tài chính > Phải trả cho người bán,Phải trả cho người bán,445.129.618.876,,331.819.918.936,,445.129.618.876,331.819.918.936,445129618876.0,,331819918936.0,,445129618876.0,331819918936.0
Người mua trả tiền trước,Nợ phải trả tài chính > Người mua trả tiền trước,Người mua trả tiền trước,489.361.640.930,,531.573.465.824,,489.361.640.930,531.573.465.824,489361640930.0,,531573465824.0,,489361640930.0,531573465824.0
Vay và nợ,Nợ phải trả tài chính > Vay và nợ,Vay và nợ,2.871.441.223.987,,1.187.635.449.140,,2.871.441.223.987,1.187.635.449.140,2871441223987.0,,1187635449140.0,,2871441223987.0,1187635449140.0
Các khoản phải trả khác,Nợ phải trả tài chính > Các khoản phải trả khác,Các khoản phải trả khác,186.229.189.914,,34.851.311.758,,186.229.189.914,34.851.311.758,186229189914.0,,34851311758.0,,186229189914.0,34851311758.0
Cộng,Nợ phải trả tài chính > Cộng,Cộng,3.992.891.023.868,-,2.090.074.048.640,-,3.992.891.023.868,2.090.074.048.640,3992891023868.0,,2090074048640.0,,3992891023868.0,2090074048640.0
