row_label_raw,row_label_full,Bên liên quan,Nội dung nghiệp vụ,Giá trị giao dịch (VND),numeric__Nội dung nghiệp vụ,numeric__Giá trị giao dịch (VND)
+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,+ Công ty Cổ phần Đầu tư và phát triển Đa Quốc Gia,,
,,,Phải trả tiền GPMB,10.348.386.432,,10348386432.0
,,,Phải trả phí uy thác xuất khẩu,658.000.000,,658000000.0
,,,Phải trả phí vận chuyển,1.204.346.816,,1204346816.0
,,,Mua Cả tra Fillet,102.255.900.664,,102255900664.0
,,,Trụ sở văn phòng 12 tầng IDI,28.487.900.000,,28487900000.0
,,,Uỷ thác xuất khẩu (cá fillet),81.860.791.643,,81860791643.0
,,,CN QSĐĐ kdc Lắp Vò,61.913.206.205,,61913206205.0
,,,"Cho thuê 06 ao cá tại Xã Tân Long, H.Thanh Bình.",238.195.455,,238195455.0
,,,Bảo hiểm,1.120.000,,1120000.0
+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,+ Công ty Cổ phần Đầu tư Du lịch và Phát triển Thủy sản,,
,,,Ứng tiền xây kho thành phẩm,40.000.000.000,,40000000000.0
,,,Ứng tiền xây nhà máy tinh luyện đầu 2,45.000.000.000,,45000000000.0
+ Công ty Cổ phần Du Lịch An Giang,+ Công ty Cổ phần Du Lịch An Giang,+ Công ty Cổ phần Du Lịch An Giang,+ Công ty Cổ phần Du Lịch An Giang,+ Công ty Cổ phần Du Lịch An Giang,,
,,,Vay huy động vốn,35.000.000.000,,35000000000.0
,,,"Dịch vụ nhà hàng, khách sạn",10.054.064.547,,10054064547.0
,,,Lãi vay,2.114.613.000,,2114613000.0
,,,Thi công công trình,6.312.238.727,,6312238727.0
