row_label_raw,row_label_full,col_0,Cho năm tài chính kết thúc ngày31/12/2022VND,Cho năm tài chính kết thúc ngày31/12/2021VND,numeric__Cho năm tài chính kết thúc ngày31/12/2022VND,numeric__Cho năm tài chính kết thúc ngày31/12/2021VND
Lãi tiền gửi,Lãi tiền gửi,Lãi tiền gửi,5.455.672.102.452,4.742.324.964.852,5455672102452.0,4742324964852.0
"Lãi đầu tư trái phiếu, kỳ phiếu, tín phiếu","Lãi đầu tư trái phiếu, kỳ phiếu, tín phiếu","Lãi đầu tư trái phiếu, kỳ phiếu, tín phiếu",3.466.408.455.403,2.851.722.219.325,3466408455403.0,2851722219325.0
Thu nhập từ tạm ứng giá trị hoàn lại,Thu nhập từ tạm ứng giá trị hoàn lại,Thu nhập từ tạm ứng giá trị hoàn lại,281.878.326.579,244.768.821.632,281878326579.0,244768821632.0
Cổ tức được chia,Cổ tức được chia,Cổ tức được chia,123.646.234.921,136.813.671.447,123646234921.0,136813671447.0
Lãi chênh lệch tỷ giá,Lãi chênh lệch tỷ giá,Lãi chênh lệch tỷ giá,23.647.096.765,19.159.625.947,23647096765.0,19159625947.0
"Lãi đầu tư, kinh doanh chứng khoán","Lãi đầu tư, kinh doanh chứng khoán","Lãi đầu tư, kinh doanh chứng khoán",244.217.942.287,552.428.758.106,244217942287.0,552428758106.0
Doanh thu hoạt động tài chính khác,Doanh thu hoạt động tài chính khác,Doanh thu hoạt động tài chính khác,326.914.358.342,364.394.181.615,326914358342.0,364394181615.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,9.922.384.516.749,8.911.612.242.924,9922384516749.0,8911612242924.0
