row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2022,Chưa quá hạn và không giảm giá trị,Quá hạn nhưng không giảm giá trị riêng lẻ,Bị giảm giá trị riêng lẻ (*),Đơn vị: triệu VND Tổng,numeric__Chưa quá hạn và không giảm giá trị,numeric__Quá hạn nhưng không giảm giá trị riêng lẻ,numeric__Bị giảm giá trị riêng lẻ (*),numeric__Đơn vị: triệu VND Tổng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,2.206.498,-,-,2.206.498,2206498.0,,,2206498.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,571.437,30.502,2.107,604.046,571437.0,30502.0,2107.0,604046.0
Phải thu tái bảo hiểm,TÀI SẢN > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,346.523,20.161,2.238,368.922,346523.0,20161.0,2238.0,368922.0
Tài sản tái bảo hiểm,TÀI SẢN > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,2.949.831,-,-,2.949.831,2949831.0,,,2949831.0
Các khoản phải thu khác,TÀI SẢN > Các khoản phải thu khác,Các khoản phải thu khác,91.297,-,-,91.297,91297.0,,,91297.0
"- Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN > - Các khoản cầm cố, ký quỹ, ký cược","- Các khoản cầm cố, ký quỹ, ký cược",84.252,-,-,84.252,84252.0,,,84252.0
- Phải thu cổ tức,TÀI SẢN > - Phải thu cổ tức,- Phải thu cổ tức,7.045,-,-,7.045,7045.0,,,7045.0
Đầu tư nằm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,179.324.763,-,124.163,179.448.926,179324763.0,,124163.0,179448926.0
- Hợp đồng tiền gửi có kỳ hạn,TÀI SẢN > - Hợp đồng tiền gửi có kỳ hạn,- Hợp đồng tiền gửi có kỳ hạn,115.060.896,-,-,115.060.896,115060896.0,,,115060896.0
- Trái phiếu,TÀI SẢN > - Trái phiếu,- Trái phiếu,64.263.867,-,124.163,64.388.030,64263867.0,,124163.0,64388030.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,186.928,-,-,186.928,186928.0,,,186928.0
- Trái phiếu,TÀI SẢN > - Trái phiếu,- Trái phiếu,186.928,-,-,186.928,186928.0,,,186928.0
Các khoản cho vay và tạm ứng cho khách hàng,TÀI SẢN > Các khoản cho vay và tạm ứng cho khách hàng,Các khoản cho vay và tạm ứng cho khách hàng,5.758.943,623,792,5.760.358,5758943.0,623.0,792.0,5760358.0
Các tài sản khác,TÀI SẢN > Các tài sản khác,Các tài sản khác,350.227,5.853,1.366,357.446,350227.0,5853.0,1366.0,357446.0
TỔNG CỘNG,TÀI SẢN > TỔNG CỘNG,TỔNG CỘNG,191.786.447,57.139,130.666,191.974.252,191786447.0,57139.0,130666.0,191974252.0
