row_label_raw,row_label_full,col_0,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 VND,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 (trình bày lại) VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022 VND,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 (trình bày lại) VND
Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,Lợi nhuận kế toán trước thuế,2.010.163.563.631,2.398.034.325.409,2010163563631.0,2398034325409.0
Các điều chỉnh lợi nhuận theo kế toán,Các điều chỉnh lợi nhuận theo kế toán,Các điều chỉnh lợi nhuận theo kế toán,Các điều chỉnh lợi nhuận theo kế toán,Các điều chỉnh lợi nhuận theo kế toán,,
Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,Các khoản điều chỉnh tăng,,
- Hoa hồng dự trả ước tính năm nay,Các khoản điều chỉnh tăng > - Hoa hồng dự trả ước tính năm nay,- Hoa hồng dự trả ước tính năm nay,34.284.073.191,37.475.252.532,34284073191.0,37475252532.0
- Hoàn nhập lãi do đánh giá chênh lệch tỷ giá năm trước,Các khoản điều chỉnh tăng > - Hoàn nhập lãi do đánh giá chênh lệch tỷ giá năm trước,- Hoàn nhập lãi do đánh giá chênh lệch tỷ giá năm trước,19.818.693.075,25.506.325.369,19818693075.0,25506325369.0
- Lỗ chênh lệch tỷ giá do đánh giá chênh lệch tỷ giá cuối năm,Các khoản điều chỉnh tăng > - Lỗ chênh lệch tỷ giá do đánh giá chênh lệch tỷ giá cuối năm,- Lỗ chênh lệch tỷ giá do đánh giá chênh lệch tỷ giá cuối năm,-,3.709.422,,3709422.0
- Chi phí không hợp lệ cho mục đích tính thuế,Các khoản điều chỉnh tăng > - Chi phí không hợp lệ cho mục đích tính thuế,- Chi phí không hợp lệ cho mục đích tính thuế,26.946.347.286,23.246.444.083,26946347286.0,23246444083.0
Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,Các khoản điều chỉnh giảm,,
"- Thu nhập không chịu thuế từ cổ tức, lợi nhuận được chia","Các khoản điều chỉnh giảm > - Thu nhập không chịu thuế từ cổ tức, lợi nhuận được chia","- Thu nhập không chịu thuế từ cổ tức, lợi nhuận được chia",(123.646.234.921),(96.492.323.447),-123646234921.0,-96492323447.0
- Hoàn nhập hoa hồng dự trả ước tính năm trước,Các khoản điều chỉnh giảm > - Hoàn nhập hoa hồng dự trả ước tính năm trước,- Hoàn nhập hoa hồng dự trả ước tính năm trước,(37.475.252.532),(23.221.445.863),-37475252532.0,-23221445863.0
- Lãi chênh lệch tỷ giá do đánh giá chênh lệch tỷ giá cuối năm,Các khoản điều chỉnh giảm > - Lãi chênh lệch tỷ giá do đánh giá chênh lệch tỷ giá cuối năm,- Lãi chênh lệch tỷ giá do đánh giá chênh lệch tỷ giá cuối năm,(24.211.395.151),(19.818.693.075),-24211395151.0,-19818693075.0
- Các khoản hoàn nhập dự phòng sử dụng phương pháp đánh giá nội bộ,Các khoản điều chỉnh giảm > - Các khoản hoàn nhập dự phòng sử dụng phương pháp đánh giá nội bộ,- Các khoản hoàn nhập dự phòng sử dụng phương pháp đánh giá nội bộ,(6.672.328.191),-,-6672328191.0,
- Hoàn nhập chi phí chưa được khấu trừ năm trước,Các khoản điều chỉnh giảm > - Hoàn nhập chi phí chưa được khấu trừ năm trước,- Hoàn nhập chi phí chưa được khấu trừ năm trước,-,(2.519.264.161),,-2519264161.0
Các khoản không chịu thuế phát sinh từ các bút toán điều chỉnh hợp nhất,Các khoản điều chỉnh giảm > Các khoản không chịu thuế phát sinh từ các bút toán điều chỉnh hợp nhất,Các khoản không chịu thuế phát sinh từ các bút toán điều chỉnh hợp nhất,(208.570.726.049),(63.532.735.082),-208570726049.0,-63532735082.0
Các khoản không chịu thuế,Các khoản điều chỉnh giảm > Các khoản không chịu thuế,Các khoản không chịu thuế,224.925.771.502,(328.301.004.188),224925771502.0,-328301004188.0
Tổng điều chỉnh đối với lợi nhuận trước thuế,Các khoản điều chỉnh giảm > Tổng điều chỉnh đối với lợi nhuận trước thuế,Tổng điều chỉnh đối với lợi nhuận trước thuế,(94.601.051.790),(447.653.734.410),-94601051790.0,-447653734410.0
Thu nhập chịu thuế (“TNCT”) ước tính,Các khoản điều chỉnh giảm > Thu nhập chịu thuế (“TNCT”) ước tính,Thu nhập chịu thuế (“TNCT”) ước tính,1.915.562.511.841,1.950.380.590.999,1915562511841.0,1950380590999.0
- TNCT chịu thuế suất 10%,Các khoản điều chỉnh giảm > - TNCT chịu thuế suất 10%,- TNCT chịu thuế suất 10%,704.245.951,582.509.183,704245951.0,582509183.0
- TNCT chịu thuế suất 20%,Các khoản điều chỉnh giảm > - TNCT chịu thuế suất 20%,- TNCT chịu thuế suất 20%,1.914.858.265.890,1.949.798.081.816,1914858265890.0,1949798081816.0
Thuế TNDN hiện hành ước tính,Các khoản điều chỉnh giảm > Thuế TNDN hiện hành ước tính,Thuế TNDN hiện hành ước tính,383.042.077.773,390.017.867.281,383042077773.0,390017867281.0
Điều chỉnh số thuế phải nộp của các năm trước theo quyết định của cơ quan thuế,Các khoản điều chỉnh giảm > Điều chỉnh số thuế phải nộp của các năm trước theo quyết định của cơ quan thuế,Điều chỉnh số thuế phải nộp của các năm trước theo quyết định của cơ quan thuế,-,(2.982.951.299),,-2982951299.0
Thuế TNDN ước tính trong năm,Các khoản điều chỉnh giảm > Thuế TNDN ước tính trong năm,Thuế TNDN ước tính trong năm,383.042.077.773,387.034.915.982,383042077773.0,387034915982.0
Thuế TNDN phải trả đầu năm,Các khoản điều chỉnh giảm > Thuế TNDN phải trả đầu năm,Thuế TNDN phải trả đầu năm,131.489.194.220,83.104.245.506,131489194220.0,83104245506.0
Điều chỉnh số thuế phải nộp của các năm trước theo quyết định của cơ quan thuế,Các khoản điều chỉnh giảm > Điều chỉnh số thuế phải nộp của các năm trước theo quyết định của cơ quan thuế,Điều chỉnh số thuế phải nộp của các năm trước theo quyết định của cơ quan thuế,-,84.786.168,,84786168.0
Thuế TNDN đã trả trong năm,Các khoản điều chỉnh giảm > Thuế TNDN đã trả trong năm,Thuế TNDN đã trả trong năm,(426.509.931.095),(338.734.753.436),-426509931095.0,-338734753436.0
Thuế TNDN phải trả cuối năm,Các khoản điều chỉnh giảm > Thuế TNDN phải trả cuối năm,Thuế TNDN phải trả cuối năm,88.021.340.898,131.489.194.220,88021340898.0,131489194220.0
