row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2022,Giá trị ghi sổ > Nguyên giá,Giá trị ghi sổ > Dự phòng giảm giá trị,Giá trị ghi sổ > Giá trị thuần,Đơn vị: triệu VND > Giá trị hợp lý,numeric__Giá trị ghi sổ > Nguyên giá,numeric__Giá trị ghi sổ > Dự phòng giảm giá trị,numeric__Giá trị ghi sổ > Giá trị thuần,numeric__Đơn vị: triệu VND > Giá trị hợp lý
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,
Đầu tư nằm giữ đến ngày đáo hạn,TÀI SẢN TÀI CHÍNH > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,180.811.279,(1.362.352),179.448.927,182.320.636,180811279.0,-1362352.0,179448927.0,182320636.0
- Hợp đồng tiền gửi có kỳ hạn,TÀI SẢN TÀI CHÍNH > - Hợp đồng tiền gửi có kỳ hạn,- Hợp đồng tiền gửi có kỳ hạn,115.503.496,(442.600),115.060.896,115.043.901,115503496.0,-442600.0,115060896.0,115043901.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,65.307.783,(919.752),64.388.031,67.276.735,65307783.0,-919752.0,64388031.0,67276735.0
Chứng khoán kinh doanh,TÀI SẢN TÀI CHÍNH > Chứng khoán kinh doanh,Chứng khoán kinh doanh,2.925.305,(300.021),2.625.284,3.602.325,2925305.0,-300021.0,2625284.0,3602325.0
- Cổ phiếu niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,2.394.116,(252.989),2.141.127,2.960.397,2394116.0,-252989.0,2141127.0,2960397.0
- Cổ phiếu chưa niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,78.882,(41.471),37.411,38.496,78882.0,-41471.0,37411.0,38496.0
- Chứng chỉ quỹ,TÀI SẢN TÀI CHÍNH > - Chứng chỉ quỹ,- Chứng chỉ quỹ,265.379,(5.561),259.818,414.904,265379.0,-5561.0,259818.0,414904.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,186.928,-,186.928,188.528,186928.0,,186928.0,188528.0
Đầu tư tài chính khác,TÀI SẢN TÀI CHÍNH > Đầu tư tài chính khác,Đầu tư tài chính khác,1.020.225,(59.664),960.561,1.365.210,1020225.0,-59664.0,960561.0,1365210.0
Cho vay và tạm ứng cho khách hàng,TÀI SẢN TÀI CHÍNH > Cho vay và tạm ứng cho khách hàng,Cho vay và tạm ứng cho khách hàng,5.772.077,(65.935),5.706.142,5.706.142,5772077.0,-65935.0,5706142.0,5706142.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN TÀI CHÍNH > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,866.309,(262.263),604.046,607.426,866309.0,-262263.0,604046.0,607426.0
Phải thu tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,378.818,(9.896),368.922,368.922,378818.0,-9896.0,368922.0,368922.0
Tài sản tài bảo hiểm,TÀI SẢN TÀI CHÍNH > Tài sản tài bảo hiểm,Tài sản tài bảo hiểm,2.949.831,-,2.949.831,2.949.831,2949831.0,,2949831.0,2949831.0
Phải thu khác,TÀI SẢN TÀI CHÍNH > Phải thu khác,Phải thu khác,540.828,(92.085),448.743,448.743,540828.0,-92085.0,448743.0,448743.0
"- Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN TÀI CHÍNH > - Các khoản cầm cố, ký quỹ, ký cược","- Các khoản cầm cố, ký quỹ, ký cược",84.252,-,84.252,84.252,84252.0,,84252.0,84252.0
- Phải thu cổ tức,TÀI SẢN TÀI CHÍNH > - Phải thu cổ tức,- Phải thu cổ tức,7.045,-,7.045,7.045,7045.0,,7045.0,7045.0
- Khác,TÀI SẢN TÀI CHÍNH > - Khác,- Khác,449.531,(92.085),357.446,357.446,449531.0,-92085.0,357446.0,357446.0
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,2.206.498,-,2.206.498,2.206.498,2206498.0,,2206498.0,2206498.0
TỔNG CỘNG,TÀI SẢN TÀI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,197.471.170,(2.152.216),195.318.954,199.575.733,197471170.0,-2152216.0,195318954.0,199575733.0
