row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2022,Quá hạn,Không xác định ký hạn,Đến 01 năm,Từ 01 - 05 năm,Trên 05 năm,Đơn vị: triệu VND > Tổng cộng,numeric__Quá hạn,numeric__Không xác định ký hạn,numeric__Đến 01 năm,numeric__Từ 01 - 05 năm,numeric__Trên 05 năm,numeric__Đơn vị: triệu VND > Tổng cộng
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,-,2.206.498,-,-,2.206.498,,,2206498.0,,,2206498.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN TÀI CHÍNH > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,32.609,-,571.437,-,-,604.046,32609.0,,571437.0,,,604046.0
Phải thu tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,22.400,-,346.522,-,-,368.922,22400.0,,346522.0,,,368922.0
Tài sản tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,-,-,2.949.831,-,-,2.949.831,,,2949831.0,,,2949831.0
Các khoản phải thu khác,TÀI SẢN TÀI CHÍNH > Các khoản phải thu khác,Các khoản phải thu khác,-,-,91.297,-,-,91.297,,,91297.0,,,91297.0
"- Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN TÀI CHÍNH > - Các khoản cầm cố, ký quỹ, ký cược","- Các khoản cầm cố, ký quỹ, ký cược",-,-,84.252,-,-,84.252,,,84252.0,,,84252.0
- Phải thu cổ tức,TÀI SẢN TÀI CHÍNH > - Phải thu cổ tức,- Phải thu cổ tức,-,-,7.045,-,-,7.045,,,7045.0,,,7045.0
Đầu tư tài chính,TÀI SẢN TÀI CHÍNH > Đầu tư tài chính,Đầu tư tài chính,-,3.398.917,106.201.319,34.381.772,98.283.493,242.265.501,,3398917.0,106201319.0,34381772.0,98283493.0,242265501.0
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN TÀI CHÍNH > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,-,-,106.012.791,34.381.772,98.283.493,238.678.056,,,106012791.0,34381772.0,98283493.0,238678056.0
- Hợp đồng tiền gửi có kỳ hạn,TÀI SẢN TÀI CHÍNH > - Hợp đồng tiền gửi có kỳ hạn,- Hợp đồng tiền gửi có kỳ hạn,-,-,101.395.568,18.264.812,-,119.660.380,,,101395568.0,18264812.0,,119660380.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,-,-,4.617.223,16.116.960,98.283.493,119.017.676,,,4617223.0,16116960.0,98283493.0,119017676.0
Chứng khoán kinh doanh,TÀI SẢN TÀI CHÍNH > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,2.438.356,188.528,-,-,2.626.884,,2438356.0,188528.0,,,2626884.0
- Cổ phiếu niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,-,2.141.127,-,-,-,2.141.127,,2141127.0,,,,2141127.0
- Cổ phiếu chưa niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,-,37.411,-,-,-,37.411,,37411.0,,,,37411.0
- Chứng chỉ quỹ,TÀI SẢN TÀI CHÍNH > - Chứng chỉ quỹ,- Chứng chỉ quỹ,-,259.818,-,-,-,259.818,,259818.0,,,,259818.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,-,-,188.528,-,-,188.528,,,188528.0,,,188528.0
Đầu tư tài chính khác,TÀI SẢN TÀI CHÍNH > Đầu tư tài chính khác,Đầu tư tài chính khác,-,960.561,-,-,-,960.561,,960561.0,,,,960561.0
Cho vay và tạm ứng khách hàng,TÀI SẢN TÀI CHÍNH > Cho vay và tạm ứng khách hàng,Cho vay và tạm ứng khách hàng,1.415,-,5.758.943,-,-,5.760.358,1415.0,,5758943.0,,,5760358.0
Các tài sản khác,TÀI SẢN TÀI CHÍNH > Các tài sản khác,Các tài sản khác,7.219,-,350.227,-,-,357.446,7219.0,,350227.0,,,357446.0
TỔNG CỘNG,TÀI SẢN TÀI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,63.643,3.398.917,118.476.074,34.381.772,98.283.493,254.603.899,63643.0,3398917.0,118476074.0,34381772.0,98283493.0,254603899.0
