row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2022,Hoạt độngbảo hiểm,Hoạt độngtài chính,Hoạt động bấtđộng sản và hoạtđộng khác,Các bút toánđiều chỉnhhợp nhất,Đơn vị: triệu đồngTổng,numeric__Hoạt độngbảo hiểm,numeric__Hoạt độngtài chính,numeric__Hoạt động bấtđộng sản và hoạtđộng khác,numeric__Các bút toánđiều chỉnhhợp nhất,numeric__Đơn vị: triệu đồngTổng
TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,695.849,1.480.650,25.730,4.269,2.206.498,695849.0,1480650.0,25730.0,4269.0,2206498.0
Các khoản phải thu từ hoạt động tái bảo hiểm,TÀI SẢN > Các khoản phải thu từ hoạt động tái bảo hiểm,Các khoản phải thu từ hoạt động tái bảo hiểm,378.818,-,-,-,378.818,378818.0,,,,378818.0
Các khoản phải thu từ hoạt động bảo hiểm,TÀI SẢN > Các khoản phải thu từ hoạt động bảo hiểm,Các khoản phải thu từ hoạt động bảo hiểm,866.310,-,-,-,866.310,866310.0,,,,866310.0
Tài sản tái bảo hiểm,TÀI SẢN > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,2.949.831,-,-,-,2.949.831,2949831.0,,,,2949831.0
Các khoản phải thu khác,TÀI SẢN > Các khoản phải thu khác,Các khoản phải thu khác,5.393.168,1.348.473,80.892,(1.258.039),5.564.494,5393168.0,1348473.0,80892.0,-1258039.0,5564494.0
Đầu tư tài chính,TÀI SẢN > Đầu tư tài chính,Đầu tư tài chính,177.570.256,16.996.712,87.300,(10.609.006),184.045.262,177570256.0,16996712.0,87300.0,-10609006.0,184045262.0
Phải thu về cho vay,TÀI SẢN > Phải thu về cho vay,Phải thu về cho vay,-,2.270.649,-,17.445,2.288.094,,2270649.0,,17445.0,2288094.0
Tài sản cố định hữu hình,TÀI SẢN > Tài sản cố định hữu hình,Tài sản cố định hữu hình,599.765,304.528,53.596,24.263,982.152,599765.0,304528.0,53596.0,24263.0,982152.0
Tài sản cố định vô hình,TÀI SẢN > Tài sản cố định vô hình,Tài sản cố định vô hình,600.936,288.730,14.639,-,904.305,600936.0,288730.0,14639.0,,904305.0
Các tài sản khác,TÀI SẢN > Các tài sản khác,Các tài sản khác,1.067.579,345.165,109.733,(44.265),1.478.212,1067579.0,345165.0,109733.0,-44265.0,1478212.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,190.122.512,23.034.907,371.890,(11.865.333),201.663.976,190122512.0,23034907.0,371890.0,-11865333.0,201663976.0
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,,,,,,,,
Nợ ngắn hạn,NỘ PHẢI TRẢ > Nợ ngắn hạn,Nợ ngắn hạn,30.750.236,1.917.303,76.630,(240.312),32.503.857,30750236.0,1917303.0,76630.0,-240312.0,32503857.0
Nợ dài hạn,NỘ PHẢI TRẢ > Nợ dài hạn,Nợ dài hạn,147.778.218,109.175,20.682,(18.913),147.889.162,147778218.0,109175.0,20682.0,-18913.0,147889162.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,178.528.454,2.026.478,97.312,(259.225),180.393.019,178528454.0,2026478.0,97312.0,-259225.0,180393019.0
NGUỒN VỐN CHỦ SỞ HỮU,NỘ PHẢI TRẢ > NGUỒN VỐN CHỦ SỞ HỮU,NGUỒN VỐN CHỦ SỞ HỮU,11.594.058,21.008.429,274.578,(11.606.108),21.270.957,11594058.0,21008429.0,274578.0,-11606108.0,21270957.0
TỔNG NGUỒN VỐN,NỘ PHẢI TRẢ > TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,190.122.512,23.034.907,371.890,(11.865.333),201.663.976,190122512.0,23034907.0,371890.0,-11865333.0,201663976.0
