row_label_raw,row_label_full,col_0,Cho năm tài chính kết thúc ngày 31/12/2022 VND,Cho năm tài chính kết thúc ngày 31/12/2021 VND,numeric__Cho năm tài chính kết thúc ngày 31/12/2022 VND,numeric__Cho năm tài chính kết thúc ngày 31/12/2021 VND
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,
Bảo hiểm hỗn hợp,Bảo hiểm nhân thọ > Bảo hiểm hỗn hợp,Bảo hiểm hỗn hợp,6.524.719.830.686,7.352.960.463.594,6524719830686.0,7352960463594.0
Bảo hiểm liên kết chung,Bảo hiểm nhân thọ > Bảo hiểm liên kết chung,Bảo hiểm liên kết chung,25.286.861.909.636,21.858.697.627.025,25286861909636.0,21858697627025.0
Các sản phẩm bảo hiểm nhân thọ khác,Bảo hiểm nhân thọ > Các sản phẩm bảo hiểm nhân thọ khác,Các sản phẩm bảo hiểm nhân thọ khác,1.390.202.046.573,1.345.903.254.996,1390202046573.0,1345903254996.0
Tổng doanh thu bảo hiểm nhân thọ,Bảo hiểm nhân thọ > Tổng doanh thu bảo hiểm nhân thọ,Tổng doanh thu bảo hiểm nhân thọ,33.201.783.786.895,30.557.561.345.615,33201783786895.0,30557561345615.0
Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,,
Bảo hiểm trách nhiệm,Bảo hiểm phi nhân thọ > Bảo hiểm trách nhiệm,Bảo hiểm trách nhiệm,1.015.506.581.875,955.331.731.670,1015506581875.0,955331731670.0
Bảo hiểm tài sản,Bảo hiểm phi nhân thọ > Bảo hiểm tài sản,Bảo hiểm tài sản,4.309.656.997.262,3.885.994.748.915,4309656997262.0,3885994748915.0
Bảo hiểm con người,Bảo hiểm phi nhân thọ > Bảo hiểm con người,Bảo hiểm con người,4.434.370.390.175,4.104.720.313.670,4434370390175.0,4104720313670.0
Tổng doanh thu bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ > Tổng doanh thu bảo hiểm phi nhân thọ,Tổng doanh thu bảo hiểm phi nhân thọ,9.759.533.969.312,8.946.046.794.255,9759533969312.0,8946046794255.0
Tổng doanh thu bảo hiểm,Bảo hiểm phi nhân thọ > Tổng doanh thu bảo hiểm,Tổng doanh thu bảo hiểm,42.961.317.756.207,39.503.608.139.870,42961317756207.0,39503608139870.0
