row_label_raw,row_label_full,Hợp đồng repo (*),Ngày 31 tháng 12năm 2021VND,Bán trong nămVND,Mua lại trong nămVND,Chi phí repo đãphân bổ trong nămVND,Ngày 31 tháng 12năm 2022VND,Giá trị ghi sõtrái phiếu repoVND,numeric__Ngày 31 tháng 12năm 2021VND,numeric__Bán trong nămVND,numeric__Mua lại trong nămVND,numeric__Chi phí repo đãphân bổ trong nămVND,numeric__Ngày 31 tháng 12năm 2022VND,numeric__Giá trị ghi sõtrái phiếu repoVND
Ngân hàng TMCP Bảo Việt,Ngân hàng TMCP Bảo Việt,Ngân hàng TMCP Bảo Việt,2.686.537.623.188,25.464.547.195.000,(17.708.807.280.000),215.713.431.956,10.657.990.970.144,10.444.152.016.682,2686537623188.0,25464547195000.0,-17708807280000.0,215713431956.0,10657990970144.0,10444152016682.0
Ngân hàng TMCP Đông Nam Á,Ngân hàng TMCP Đông Nam Á,Ngân hàng TMCP Đông Nam Á,7.333.059.854.056,17.823.432.950.000,(22.228.698.420.000),212.968.676.894,3.140.763.060.950,2.648.233.558.544,7333059854056.0,17823432950000.0,-22228698420000.0,212968676894.0,3140763060950.0,2648233558544.0
Ngân hàng TMCP Hàng Hải Việt Nam,Ngân hàng TMCP Hàng Hải Việt Nam,Ngân hàng TMCP Hàng Hải Việt Nam,3.140.818.916.183,25.036.677.360.000,(18.263.074.260.000),136.265.485.882,10.050.687.502.065,9.898.641.947.805,3140818916183.0,25036677360000.0,-18263074260000.0,136265485882.0,10050687502065.0,9898641947805.0
Khác,Khác,Khác,61.911.582.873,5.713.927.820.000,(3.950.401.760.000),18.300.258.331,1.843.737.901.204,2.140.441.842.128,61911582873.0,5713927820000.0,-3950401760000.0,18300258331.0,1843737901204.0,2140441842128.0
