row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày31/12/2022VND,Cho năm tài chínhkết thúc ngày31/12/2021VND,numeric__Cho năm tài chínhkết thúc ngày31/12/2022VND,numeric__Cho năm tài chínhkết thúc ngày31/12/2021VND
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,
Chi trả đáo hạn,Bảo hiểm nhân thọ > Chi trả đáo hạn,Chi trả đáo hạn,2.122.150.520.903,2.271.480.012.204,2122150520903.0,2271480012204.0
Chi giá trị hoàn lại,Bảo hiểm nhân thọ > Chi giá trị hoàn lại,Chi giá trị hoàn lại,6.377.670.530.912,4.606.142.065.759,6377670530912.0,4606142065759.0
Chi trả quyền lợi bảo hiểm rủi ro và chi trả khác theo hợp đồng bảo hiểm,Bảo hiểm nhân thọ > Chi trả quyền lợi bảo hiểm rủi ro và chi trả khác theo hợp đồng bảo hiểm,Chi trả quyền lợi bảo hiểm rủi ro và chi trả khác theo hợp đồng bảo hiểm,2.482.692.066.306,1.957.500.616.094,2482692066306.0,1957500616094.0
,,,10.982.513.118.121,8.835.122.694.057,10982513118121.0,8835122694057.0
Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,,
Bảo hiểm trách nhiệm,Bảo hiểm phi nhân thọ > Bảo hiểm trách nhiệm,Bảo hiểm trách nhiệm,287.712.279.760,212.068.718.291,287712279760.0,212068718291.0
Bảo hiểm tài sản,Bảo hiểm phi nhân thọ > Bảo hiểm tài sản,Bảo hiểm tài sản,1.623.655.987.991,1.811.032.556.817,1623655987991.0,1811032556817.0
Bảo hiểm con người,Bảo hiểm phi nhân thọ > Bảo hiểm con người,Bảo hiểm con người,2.494.108.297.994,1.889.620.453.303,2494108297994.0,1889620453303.0
,,,4.405.476.565.745,3.912.721.728.411,4405476565745.0,3912721728411.0
TỔNG CỘNG,Bảo hiểm phi nhân thọ > TỔNG CỘNG,TỔNG CỘNG,15.387.989.683.866,12.747.844.422.468,15387989683866.0,12747844422468.0
