row_label_raw,row_label_full,col_0,Đơn vị: triệu VND,numeric__Đơn vị: triệu VND
Biến động,Biến động,Biến động,Ảnh hưởng lên lợi nhuận trước thuế,
Năm nay,Năm nay,Năm nay,,
+10%,Năm nay > +10%,+10%,3.687.719.045,3687719045.0
- 10%,Năm nay > - 10%,- 10%,(3.687.719.045),-3687719045.0
Năm trước,Năm trước,Năm trước,,
+10%,Năm trước > +10%,+10%,20.469.200.474,20469200474.0
- 10%,Năm trước > - 10%,- 10%,(20.469.200.474),-20469200474.0
