row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 (trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2022,numeric__Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021 (trình bày lại)
,,,I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,,,,,
01,01,01,1. Lợi nhuận trước thuế,,2.010.163.563.631,2.398.034.325.409,,,2010163563631.0,2398034325409.0
01,01,01,2. Điều chỉnh cho các khoản,,13.539.093.296.433,11.304.103.720.083,,,13539093296433.0,11304103720083.0
02,02,02,- Khấu hao tài sản cố định hữu hình và bắt động sản đầu tư và hao mòn tài sản cố định vô hình,"10, 11",211.803.973.840,226.311.777.789,,,211803973840.0,226311777789.0
03,03,03,- Các khoản dự phòng,,22.567.116.332.600,19.751.386.296.114,,,22567116332600.0,19751386296114.0
04,04,04,- Lãi chênh lệch tỉ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,,16.219.103.087,(7.612.658.011),,,16219103087.0,-7612658011.0
05,05,05,- Lãi từ hoạt động đầu tư,,(9.987.399.223.459),(8.987.183.374.694),,,-9987399223459.0,-8987183374694.0
06,06,06,"- Chi phí repo, lãi vay",,732.426.110.365,321.201.678.885,,,732426110365.0,321201678885.0
07,07,07,- Các khoản điều chỉnh khác,,(1.073.000.000),-,,,-1073000000.0,
08,08,08,3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,15.549.256.860.064,13.702.138.045.492,,,15549256860064.0,13702138045492.0
09,09,09,- Tăng các khoản phải thu,,(4.346.443.102.143),(1.065.508.541.724),,,-4346443102143.0,-1065508541724.0
10,10,10,- Giảm/(Tăng) hàng tổn kho,,10.995.923.821,(17.220.136.054),,,10995923821.0,-17220136054.0
11,11,11,"- (Giảm)/tăng các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",,(133.150.830.544),700.525.423.660,,,-133150830544.0,700525423660.0
12,12,12,- (Tăng)/Giảm chi phí trả trước (bao gồm tài sản tài bảo hiểm),,(665.529.008.941),212.589.276.761,,,-665529008941.0,212589276761.0
13,13,13,- Tăng chứng khoán kinh doanh,,(82.855.958.817),(392.804.254.833),,,-82855958817.0,-392804254833.0
14,14,14,- Tiền lãi vay đã trả,,(688.972.800.896),(420.996.995.370),,,-688972800896.0,-420996995370.0
15,15,15,- Thuế thu nhập doanh nghiệp đã nộp,16,(426.509.931.095),(338.734.753.436),,16.0,-426509931095.0,-338734753436.0
17,17,17,- Tiền chi khác cho hoạt động kinh doanh,,(115.074.831.227),(58.336.039.784),,,-115074831227.0,-58336039784.0
20,20,20,Lưu chuyển tiền thuần từ hoạt động kinh doanh,,9.101.716.320.222,12.321.652.024.712,,,9101716320222.0,12321652024712.0
,,,II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ,,,,,,,
21,21,21,"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",,(163.378.387.443),(237.768.613.970),,,-163378387443.0,-237768613970.0
22,22,22,"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",,2.489.490.635,1.585.989.110,,,2489490635.0,1585989110.0
23,23,23,"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,(157.948.793.058.181),(94.785.369.046.052),,,-157948793058181.0,-94785369046052.0
24,24,24,"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,128.988.459.811.387,72.177.863.032.366,,,128988459811387.0,72177863032366.0
25,25,25,5. Tiền chi đầu tư góp vốn vào đơn vị khác,,(250.000.000),(4.425.975.843),,,-250000000.0,-4425975843.0
26,26,26,6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,6.559.843.455,207.297.671.249,,,6559843455.0,207297671249.0
27,27,27,"7. Tiền thu lãi cho vay, cổ tức, lợi nhuận được chia và lãi bán các khoản đầu tư nắm giữ đến ngày đáo hạn",,8.370.940.521.353,8.354.119.919.729,,,8370940521353.0,8354119919729.0
30,30,30,Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,,(20.743.971.778.794),(14.286.697.023.411),,,-20743971778794.0,-14286697023411.0
