row_label_raw,row_label_full,col_0,Dự phòng toán học(trình bày lại)VND,Dự phòng phí chưađược hưởng(trình bày lại)VND,Dự phòng bồi thường(trình bày lại)VND,Dự phòng chia lãiVND,Dự phòng lãi camkết đầu tư tối thiểuVND,Dự phòng đảm bảocân đốiVND,Dự phòng daođộng lớnVND,Tổng cộngVND,numeric__Dự phòng toán học(trình bày lại)VND,numeric__Dự phòng phí chưađược hưởng(trình bày lại)VND,numeric__Dự phòng bồi thường(trình bày lại)VND,numeric__Dự phòng chia lãiVND,numeric__Dự phòng lãi camkết đầu tư tối thiểuVND,numeric__Dự phòng đảm bảocân đốiVND,numeric__Dự phòng daođộng lớnVND,numeric__Tổng cộngVND
Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,,,,,,,,
Ngày 31/12/2021,Bảo hiểm nhân thọ > Ngày 31/12/2021,Ngày 31/12/2021,112.065.987.896.834,211.146.082.653,83.527.564.523,2.157.438.745.997,3.688.335.309.663,117.497.309.449,-,118.323.932.909.119,112065987896834.0,211146082653.0,83527564523.0,2157438745997.0,3688335309663.0,117497309449.0,,118323932909119.0
Thay đổi trong năm,Bảo hiểm nhân thọ > Thay đổi trong năm,Thay đổi trong năm,17.184.723.982.124,19.494.084.170,6.064.489.294,412.164.790.238,3.837.424.516.996,12.162.669.737,-,21.472.034.532.559,17184723982124.0,19494084170.0,6064489294.0,412164790238.0,3837424516996.0,12162669737.0,,21472034532559.0
Ngày 31/12/2022,Bảo hiểm nhân thọ > Ngày 31/12/2022,Ngày 31/12/2022,129.250.711.878.958,230.640.166.823,89.592.053.817,2.569.603.536.235,7.525.759.826.659,129.659.979.186,-,139.795.967.441.678,129250711878958.0,230640166823.0,89592053817.0,2569603536235.0,7525759826659.0,129659979186.0,,139795967441678.0
Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,,,,,,,,
Ngày 31/12/2021,Bảo hiểm phi nhân thọ > Ngày 31/12/2021,Ngày 31/12/2021,-,4.427.923.674.911,2.321.025.720.214,-,-,89.803.517.089,54.636.096.362,6.893.389.008.576,,4427923674911.0,2321025720214.0,,,89803517089.0,54636096362.0,6893389008576.0
Thay đổi trong năm,Bảo hiểm phi nhân thọ > Thay đổi trong năm,Thay đổi trong năm,-,451.055.541.210,303.093.360.371,-,-,81.390.288.428,(28.293.816.250),807.245.373.759,,451055541210.0,303093360371.0,,,81390288428.0,-28293816250.0,807245373759.0
Ngày 31/12/2022,Bảo hiểm phi nhân thọ > Ngày 31/12/2022,Ngày 31/12/2022,-,4.878.979.216.121,2.624.119.080.585,-,-,171.193.805.517,26.342.280.112,7.700.634.382.335,,4878979216121.0,2624119080585.0,,,171193805517.0,26342280112.0,7700634382335.0
Ngày 31/12/2021,Bảo hiểm phi nhân thọ > Ngày 31/12/2021,Ngày 31/12/2021,112.065.987.896.834,4.639.069.757.564,2.404.553.284.737,2.157.438.745.997,3.688.335.309.663,207.300.826.538,54.636.096.362,125.217.321.917.695,112065987896834.0,4639069757564.0,2404553284737.0,2157438745997.0,3688335309663.0,207300826538.0,54636096362.0,125217321917695.0
Thay đổi trong năm,Bảo hiểm phi nhân thọ > Thay đổi trong năm,Thay đổi trong năm,17.184.723.982.124,470.549.625.380,309.157.849.665,412.164.790.238,3.837.424.516.996,93.552.958.165,(28.293.816.250),22.279.279.906.318,17184723982124.0,470549625380.0,309157849665.0,412164790238.0,3837424516996.0,93552958165.0,-28293816250.0,22279279906318.0
Ngày 31/12/2022,Bảo hiểm phi nhân thọ > Ngày 31/12/2022,Ngày 31/12/2022,129.250.711.878.958,5.109.619.382.944,2.713.711.134.402,2.569.603.536.235,7.525.759.826.659,300.853.784.703,26.342.280.112,147.496.601.824.013,129250711878958.0,5109619382944.0,2713711134402.0,2569603536235.0,7525759826659.0,300853784703.0,26342280112.0,147496601824013.0
