row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021(trình bày lại),Quá hạn,Không xác định ký hạn,Đến 01 năm,Từ 01 - 05 năm,Trên 05 năm,Đơn vị: triệu VNDTổng cộng,numeric__Quá hạn,numeric__Không xác định ký hạn,numeric__Đến 01 năm,numeric__Từ 01 - 05 năm,numeric__Trên 05 năm,numeric__Đơn vị: triệu VNDTổng cộng
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,,,,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,-,5.354.092,-,-,5.354.092,,,5354092.0,,,5354092.0
Phải thu hoạt động bảo hiểm gốc,TÀI SẢN TÀI CHÍNH > Phải thu hoạt động bảo hiểm gốc,Phải thu hoạt động bảo hiểm gốc,66.520,-,594.968,-,-,661.488,66520.0,,594968.0,,,661488.0
Phải thu tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Phải thu tái bảo hiểm,Phải thu tái bảo hiểm,-,-,293.997,-,-,293.997,,,293997.0,,,293997.0
Tài sản tái bảo hiểm,TÀI SẢN TÀI CHÍNH > Tài sản tái bảo hiểm,Tài sản tái bảo hiểm,-,-,2.147.871,-,-,2.147.871,,,2147871.0,,,2147871.0
Các khoản phải thu khác,TÀI SẢN TÀI CHÍNH > Các khoản phải thu khác,Các khoản phải thu khác,-,-,86.438,-,-,86.438,,,86438.0,,,86438.0
"- Các khoản cầm cố, ký quỹ, ký cược","TÀI SẢN TÀI CHÍNH > - Các khoản cầm cố, ký quỹ, ký cược","- Các khoản cầm cố, ký quỹ, ký cược",-,-,77.772,-,-,77.772,,,77772.0,,,77772.0
- Phải thu cổ tức,TÀI SẢN TÀI CHÍNH > - Phải thu cổ tức,- Phải thu cổ tức,-,-,8.666,-,-,8.666,,,8666.0,,,8666.0
Đầu tư tài chính,TÀI SẢN TÀI CHÍNH > Đầu tư tài chính,Đầu tư tài chính,-,2.914.580,84.447.202,28.913.664,83.683.337,199.958.783,,2914580.0,84447202.0,28913664.0,83683337.0,199958783.0
Đầu tư nắm giữ đến ngày đáo hạn,TÀI SẢN TÀI CHÍNH > Đầu tư nắm giữ đến ngày đáo hạn,Đầu tư nắm giữ đến ngày đáo hạn,-,-,83.991.775,28.913.664,83.683.337,196.588.776,,,83991775.0,28913664.0,83683337.0,196588776.0
- Hợp đồng tiền gửi có kỳ hạn,TÀI SẢN TÀI CHÍNH > - Hợp đồng tiền gửi có kỳ hạn,- Hợp đồng tiền gửi có kỳ hạn,-,-,78.886.612,13.552.428,-,92.439.040,,,78886612.0,13552428.0,,92439040.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,-,-,5.105.163,15.361.236,83.683.337,104.149.736,,,5105163.0,15361236.0,83683337.0,104149736.0
Chứng khoán kinh doanh,TÀI SẢN TÀI CHÍNH > Chứng khoán kinh doanh,Chứng khoán kinh doanh,-,2.196.111,455.427,-,-,2.651.538,,2196111.0,455427.0,,,2651538.0
- Cổ phiếu niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu niêm yết,- Cổ phiếu niêm yết,-,1.907.026,-,-,-,1.907.026,,1907026.0,,,,1907026.0
- Cổ phiếu chưa niêm yết,TÀI SẢN TÀI CHÍNH > - Cổ phiếu chưa niêm yết,- Cổ phiếu chưa niêm yết,-,41.732,-,-,-,41.732,,41732.0,,,,41732.0
- Chứng chỉ quỹ,TÀI SẢN TÀI CHÍNH > - Chứng chỉ quỹ,- Chứng chỉ quỹ,-,247.353,-,-,-,247.353,,247353.0,,,,247353.0
- Trái phiếu,TÀI SẢN TÀI CHÍNH > - Trái phiếu,- Trái phiếu,-,-,455.427,-,-,455.427,,,455427.0,,,455427.0
Đầu tư tài chính khác,TÀI SẢN TÀI CHÍNH > Đầu tư tài chính khác,Đầu tư tài chính khác,-,718.469,-,-,-,718.469,,718469.0,,,,718469.0
Cho vay và tạm ứng khách hàng,TÀI SẢN TÀI CHÍNH > Cho vay và tạm ứng khách hàng,Cho vay và tạm ứng khách hàng,2.240,-,6.130.245,-,-,6.132.485,2240.0,,6130245.0,,,6132485.0
Các tài sản khác,TÀI SẢN TÀI CHÍNH > Các tài sản khác,Các tài sản khác,5.487,-,425.781,-,-,431.268,5487.0,,425781.0,,,431268.0
TỔNG CỘNG,TÀI SẢN TÀI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,74.247,2.914.580,99.480.594,28.913.664,83.683.337,215.066.422,74247.0,2914580.0,99480594.0,28913664.0,83683337.0,215066422.0
