row_label_raw,row_label_full,col_0,Ngày 31 tháng 12 năm 2022 > Giá gốc,Ngày 31 tháng 12 năm 2022 > Giá trị ghi sổ,Ngày 31 tháng 12 năm 2021 > Giá gốc,Ngày 31 tháng 12 năm 2021 > Giá trị ghi sổ,numeric__Ngày 31 tháng 12 năm 2022 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2022 > Giá trị ghi sổ,numeric__Ngày 31 tháng 12 năm 2021 > Giá gốc,numeric__Ngày 31 tháng 12 năm 2021 > Giá trị ghi sổ
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,,,,
Tiền gửi (i),Ngắn hạn > Tiền gửi (i),Tiền gửi (i),95.975.131.601.224,95.532.531.601.223,75.240.714.071.362,74.798.114.071.362,95975131601224.0,95532531601223.0,75240714071362.0,74798114071362.0
Trái phiếu,Ngắn hạn > Trái phiếu,Trái phiếu,2.104.752.316.500,1.185.000.000.000,2.924.731.065.160,2.074.978.748.657,2104752316500.0,1185000000000.0,2924731065160.0,2074978748657.0
- Trái phiếu doanh nghiệp (iii),Ngắn hạn > - Trái phiếu doanh nghiệp (iii),- Trái phiếu doanh nghiệp (iii),1.224.752.316.500,305.000.000.000,2.924.731.065.160,2.074.978.748.657,1224752316500.0,305000000000.0,2924731065160.0,2074978748657.0
- Trái phiếu Chính phủ (iv),Ngắn hạn > - Trái phiếu Chính phủ (iv),- Trái phiếu Chính phủ (iv),880.000.000.000,880.000.000.000,-,-,880000000000.0,880000000000.0,,
Tạm ứng từ giá trị hoàn lại (v),Ngắn hạn > Tạm ứng từ giá trị hoàn lại (v),Tạm ứng từ giá trị hoàn lại (v),3.064.870.205.978,3.064.870.205.978,2.337.818.015.311,2.337.818.015.311,3064870205978.0,3064870205978.0,2337818015311.0,2337818015311.0
,,,101.144.754.123.702,99.782.401.807.201,80.503.263.151.833,79.210.910.835.330,101144754123702.0,99782401807201.0,80503263151833.0,79210910835330.0
Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,Dài hạn,,,,
Tiền gửi (ii),Dài hạn > Tiền gửi (ii),Tiền gửi (ii),16.252.431.774.720,16.252.431.774.720,12.505.120.574.205,12.505.120.574.205,16252431774720.0,16252431774720.0,12505120574205.0,12505120574205.0
Trái phiếu (iv),Dài hạn > Trái phiếu (iv),Trái phiếu (iv),61.458.913.631.308,61.458.913.631.308,50.903.263.727.990,50.903.263.727.990,61458913631308.0,61458913631308.0,50903263727990.0,50903263727990.0
- Trái phiếu doanh nghiệp,Dài hạn > - Trái phiếu doanh nghiệp,- Trái phiếu doanh nghiệp,9.844.706.000.000,9.844.706.000.000,7.534.881.072.845,7.534.881.072.845,9844706000000.0,9844706000000.0,7534881072845.0,7534881072845.0
- Trái phiếu Chính phủ,Dài hạn > - Trái phiếu Chính phủ,- Trái phiếu Chính phủ,51.614.207.631.308,51.614.207.631.308,43.368.382.655.145,43.368.382.655.145,51614207631308.0,51614207631308.0,43368382655145.0,43368382655145.0
,,,77.711.345.406.028,77.711.345.406.028,63.408.384.302.195,63.408.384.302.195,77711345406028.0,77711345406028.0,63408384302195.0,63408384302195.0
TỔNG CỘNG,Dài hạn > TỔNG CỘNG,TỔNG CỘNG,178.856.099.529.730,177.493.747.213.229,143.911.647.454.028,142.619.295.137.525,178856099529730.0,177493747213229.0,143911647454028.0,142619295137525.0
(i),(i),(i),"Ngoài các hợp đồng tiền gửi tại ALCII, VFC đã quá hạn, các hợp đồng tiền gửi có kỳ hạn bằng đồng Việt Nam tại các tổ chức tín dụng có thời hạn gốc trên ba (03) tháng và thời gian đảo hạn không quá một (01) năm và có mức lãi suất đến 9,10%/năm.","Ngoài các hợp đồng tiền gửi tại ALCII, VFC đã quá hạn, các hợp đồng tiền gửi có kỳ hạn bằng đồng Việt Nam tại các tổ chức tín dụng có thời hạn gốc trên ba (03) tháng và thời gian đảo hạn không quá một (01) năm và có mức lãi suất đến 9,10%/năm.","Ngoài các hợp đồng tiền gửi tại ALCII, VFC đã quá hạn, các hợp đồng tiền gửi có kỳ hạn bằng đồng Việt Nam tại các tổ chức tín dụng có thời hạn gốc trên ba (03) tháng và thời gian đảo hạn không quá một (01) năm và có mức lãi suất đến 9,10%/năm.","Ngoài các hợp đồng tiền gửi tại ALCII, VFC đã quá hạn, các hợp đồng tiền gửi có kỳ hạn bằng đồng Việt Nam tại các tổ chức tín dụng có thời hạn gốc trên ba (03) tháng và thời gian đảo hạn không quá một (01) năm và có mức lãi suất đến 9,10%/năm.",,,,
(ii),(ii),(ii),"Các hợp đồng tiền gửi có kỳ hạn bằng đồng Việt Nam tại các tổ chức tín dụng có thời gian đảo hạn trên một (01) năm và được hưởng lãi suất đến 10,50%/năm.","Các hợp đồng tiền gửi có kỳ hạn bằng đồng Việt Nam tại các tổ chức tín dụng có thời gian đảo hạn trên một (01) năm và được hưởng lãi suất đến 10,50%/năm.","Các hợp đồng tiền gửi có kỳ hạn bằng đồng Việt Nam tại các tổ chức tín dụng có thời gian đảo hạn trên một (01) năm và được hưởng lãi suất đến 10,50%/năm.","Các hợp đồng tiền gửi có kỳ hạn bằng đồng Việt Nam tại các tổ chức tín dụng có thời gian đảo hạn trên một (01) năm và được hưởng lãi suất đến 10,50%/năm.",,,,
