row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2021(trình bày lại),Hoạt độngbảo hiểm,Hoạt độngtài chính,Hoạt động bấtđộng sản và hoạtđộng khác,Các bút toánđiều chỉnhhợp nhất,Đơn vị: triệu đồngTổng,numeric__Hoạt độngbảo hiểm,numeric__Hoạt độngtài chính,numeric__Hoạt động bấtđộng sản và hoạtđộng khác,numeric__Các bút toánđiều chỉnhhợp nhất,numeric__Đơn vị: triệu đồngTổng
TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,,,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,544.261,250.549,34.559,4.524.723,5.354.092,544261.0,250549.0,34559.0,4524723.0,5354092.0
Các khoản phải thu từ hoạt động táibảo hiểm,TÀI SẢN > Các khoản phải thu từ hoạt động táibảo hiểm,Các khoản phải thu từ hoạt động táibảo hiểm,305.090,-,-,-,305.090,305090.0,,,,305090.0
Các khoản phải thu từ hoạt động bảo hiểm,TÀI SẢN > Các khoản phải thu từ hoạt động bảo hiểm,Các khoản phải thu từ hoạt động bảo hiểm,918.787,-,-,-,918.787,918787.0,,,,918787.0
Tài sân tái bảo hiểm,TÀI SẢN > Tài sân tái bảo hiểm,Tài sân tái bảo hiểm,2.147.871,-,-,-,2.147.871,2147871.0,,,,2147871.0
Các khoản phải thu khác,TÀI SẢN > Các khoản phải thu khác,Các khoản phải thu khác,4.356.224,1.124.036,85.614,(902.807),4.663.067,4356224.0,1124036.0,85614.0,-902807.0,4663067.0
Đầu tư tài chính,TÀI SẢN > Đầu tư tài chính,Đầu tư tài chính,144.032.291,20.638.240,100.800,(15.380.686),149.390.645,144032291.0,20638240.0,100800.0,-15380686.0,149390645.0
Phải thu về cho vay,TÀI SẢN > Phải thu về cho vay,Phải thu về cho vay,-,3.395.803,-,20.602,3.416.405,,3395803.0,,20602.0,3416405.0
Tài sân cố định hữu hình,TÀI SẢN > Tài sân cố định hữu hình,Tài sân cố định hữu hình,590.365,335.421,23.664,24.815,974.265,590365.0,335421.0,23664.0,24815.0,974265.0
Tài sân cố định vô hình,TÀI SẢN > Tài sân cố định vô hình,Tài sân cố định vô hình,614.060,331.515,14.640,-,960.215,614060.0,331515.0,14640.0,,960215.0
Các tài sân khác,TÀI SẢN > Các tài sân khác,Các tài sân khác,950.497,330.152,125.768,(32.255),1.374.162,950497.0,330152.0,125768.0,-32255.0,1374162.0
TỔNG TÀI SẢN,TÀI SẢN > TỔNG TÀI SẢN,TỔNG TÀI SẢN,154.459.446,26.405.716,385.045,(11.745.608),169.504.599,154459446.0,26405716.0,385045.0,-11745608.0,169504599.0
Nợ PHẢI TRẢ,Nợ PHẢI TRẢ,Nợ PHẢI TRẢ,,,,,,,,,,
Nợ ngắn hạn,Nợ PHẢI TRẢ > Nợ ngắn hạn,Nợ ngắn hạn,18.116.554,3.674.422,84.723,(161.392),21.714.307,18116554.0,3674422.0,84723.0,-161392.0,21714307.0
Nợ dài hạn,Nợ PHẢI TRẢ > Nợ dài hạn,Nợ dài hạn,125.482.385,305.314,21.512,(50.240),125.758.971,125482385.0,305314.0,21512.0,-50240.0,125758971.0
TỔNG Nợ PHẢI TRẢ,Nợ PHẢI TRẢ > TỔNG Nợ PHẢI TRẢ,TỔNG Nợ PHẢI TRẢ,143.598.939,3.979.736,106.235,(211.632),147.473.278,143598939.0,3979736.0,106235.0,-211632.0,147473278.0
NGUỒN VỐN CHỦ SỞ HỮU,Nợ PHẢI TRẢ > NGUỒN VỐN CHỦ SỞ HỮU,NGUỒN VỐN CHỦ SỞ HỮU,10.860.507,22.425.980,278.810,(11.533.976),22.031.321,10860507.0,22425980.0,278810.0,-11533976.0,22031321.0
TỔNG NGUỒN VỐN,Nợ PHẢI TRẢ > TỔNG NGUỒN VỐN,TỔNG NGUỒN VỐN,154.459.446,26.405.716,385.045,(11.745.608),169.504.599,154459446.0,26405716.0,385045.0,-11745608.0,169504599.0
