row_label_raw,row_label_full,Tại Ngày 31 tháng 12 năm 2022,Quá hạn,Không xác định kỳ hạn,Đến 01 năm,Từ 01 - 05 năm,Trên 05 năm,Đơn vị: triệu VND Tổng cộng,numeric__Quá hạn,numeric__Không xác định kỳ hạn,numeric__Đến 01 năm,numeric__Từ 01 - 05 năm,numeric__Trên 05 năm,numeric__Đơn vị: triệu VND Tổng cộng
NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,,,,,,
Nghĩa vụ nợ theo hợp đồng bảo hiểm,NỘ TÀI CHÍNH > Nghĩa vụ nợ theo hợp đồng bảo hiểm,Nghĩa vụ nợ theo hợp đồng bảo hiểm,5.506,-,(12.590.743),(18.447.411),198.235.679,167.203.031,5506.0,,-12590743.0,-18447411.0,198235679.0,167203031.0
Phải trả hoạt động bảo hiểm gốc,NỘ TÀI CHÍNH > Phải trả hoạt động bảo hiểm gốc,Phải trả hoạt động bảo hiểm gốc,-,-,1.245.446,-,-,1.245.446,,,1245446.0,,,1245446.0
Phải trả tái bảo hiểm,NỘ TÀI CHÍNH > Phải trả tái bảo hiểm,Phải trả tái bảo hiểm,-,-,1.154.141,-,-,1.154.141,,,1154141.0,,,1154141.0
Các nghĩa vụ nợ tài chính khác,NỘ TÀI CHÍNH > Các nghĩa vụ nợ tài chính khác,Các nghĩa vụ nợ tài chính khác,-,-,27.258.470,-,-,27.258.470,,,27258470.0,,,27258470.0
- Nhận ký quỹ,NỘ TÀI CHÍNH > - Nhận ký quỹ,- Nhận ký quỹ,-,-,290.402,-,-,290.402,,,290402.0,,,290402.0
- Khác,NỘ TÀI CHÍNH > - Khác,- Khác,-,-,26.968.068,-,-,26.968.068,,,26968068.0,,,26968068.0
TỔNG CỘNG,NỘ TÀI CHÍNH > TỔNG CỘNG,TỔNG CỘNG,5.506,-,17.067.314,(18.447.411),198.235.679,196.861.088,5506.0,,17067314.0,-18447411.0,198235679.0,196861088.0
