row_label_raw,row_label_full,Dự phòngbảo hiểm gốc và nhận tái(trình bày lại)VND,Dự phòng nhượng tái bảo hiểm(tài sản tái bảo hiểm)(trình bày lại)VND,Dự phòngbảo hiểm thuần(trình bày lại)VND,numeric__Dự phòng nhượng tái bảo hiểm(tài sản tái bảo hiểm)(trình bày lại)VND,numeric__Dự phòngbảo hiểm thuần(trình bày lại)VND
4.427.923.674.911,4.427.923.674.911,4.427.923.674.911,(1.032.058.644.245),3.395.865.030.666,-1032058644245.0,3395865030666.0
2.321.025.720.214,2.321.025.720.214,2.321.025.720.214,(1.115.812.326.778),1.205.213.393.436,-1115812326778.0,1205213393436.0
54.636.096.362,54.636.096.362,54.636.096.362,-,54.636.096.362,,54636096362.0
89.803.517.089,89.803.517.089,89.803.517.089,-,89.803.517.089,,89803517089.0
6.893.389.008.576,6.893.389.008.576,6.893.389.008.576,(2.147.870.971.023),4.745.518.037.553,-2147870971023.0,4745518037553.0
4.878.979.216.121,4.878.979.216.121,4.878.979.216.121,(1.563.289.264.476),3.315.689.951.645,-1563289264476.0,3315689951645.0
2.624.119.080.585,2.624.119.080.585,2.624.119.080.585,(1.386.541.330.416),1.237.577.750.169,-1386541330416.0,1237577750169.0
26.342.280.112,26.342.280.112,26.342.280.112,-,26.342.280.112,,26342280112.0
171.193.805.517,171.193.805.517,171.193.805.517,-,171.193.805.517,,171193805517.0
7.700.634.382.335,7.700.634.382.335,7.700.634.382.335,(2.949.830.594.892),4.750.803.787.443,-2949830594892.0,4750803787443.0
