row_label_raw,row_label_full,Mã số,CHỈ TIÊU,Thuyết minh,Cho năm tài chính kết thúc ngày 31/12/2022,Cho năm tài chính kết thúc ngày 31/12/2021 (trình bày lại),numeric__CHỈ TIÊU,numeric__Thuyết minh,numeric__Cho năm tài chính kết thúc ngày 31/12/2022,numeric__Cho năm tài chính kết thúc ngày 31/12/2021 (trình bày lại)
31,31,31,Chỉ khác hoạt động bảo hiểm gốc(31 = 32 + 33),,(4.434.930.976.748),(4.725.472.773.449),,,-4434930976748.0,-4725472773449.0
32,32,32,Chỉ hoa hồng,,(2.811.768.411.406),(2.928.815.553.658),,,-2811768411406.0,-2928815553658.0
33,33,33,Chỉ khác hoạt động kinh doanh bảo hiểm,29,(1.623.162.565.342),(1.796.657.219.791),,29.0,-1623162565342.0,-1796657219791.0
41,41,41,Tổng chi trực tiếp hoạt động kinh doanh bảo hiểm (41 = 29 + 30 + 31),,(40.583.395.891.170),(36.216.631.933.024),,,-40583395891170.0,-36216631933024.0
42,42,42,Lợi nhuận gộp hoạt động kinh doanh bảo hiểm (42 = 15 + 41),,104.851.183.757,613.506.546.839,,,104851183757.0,613506546839.0
43.1,43.1,43.1,Doanh thu hoạt động khác,,607.101.964.174,750.298.675.797,,,607101964174.0,750298675797.0
43.2,43.2,43.2,Chỉ phí hoạt động khác,,(588.173.106.926),(676.872.151.022),,,-588173106926.0,-676872151022.0
43,43,43,Thu nhập thuần từ các hoạt động khác(43 = 43.1 + 43.2),30,18.928.857.248,73.426.524.775,,30.0,18928857248.0,73426524775.0
44.1,44.1,44.1,Doanh thu hoạt động tài chính,31.1,9.922.384.516.749,8.911.612.242.924,,311.0,9922384516749.0,8911612242924.0
44.2,44.2,44.2,Chỉ phí hoạt động tài chính,31.2,(1.840.260.685.326),(1.059.722.118.833),,312.0,-1840260685326.0,-1059722118833.0
44,44,44,Lợi nhuận hoạt động tài chính(44 = 44.1 + 44.2),,8.082.123.831.423,7.851.890.124.091,,,8082123831423.0,7851890124091.0
45,45,45,"Phần lợi nhuận trong công ty liên kết, đơn vị kinh doanh đồng kiểm soát",14.3.1,86.451.708.165,92.993.746.827,,1431.0,86451708165.0,92993746827.0
46,46,46,Chỉ phí bán hàng,32,(2.281.905.372.173),(2.266.015.074.428),,32.0,-2281905372173.0,-2266015074428.0
47,47,47,Chỉ phí quản lý doanh nghiệp,33,(4.019.572.408.261),(3.996.411.660.861),,33.0,-4019572408261.0,-3996411660861.0
48.1,48.1,48.1,Thu nhập khác,,22.160.700.664,30.723.977.395,,,22160700664.0,30723977395.0
48.2,48.2,48.2,Chỉ phí khác,,(2.874.937.192),(2.079.859.229),,,-2874937192.0,-2079859229.0
48,48,48,Lợi nhuận khác (48 = 48.1 + 48.2),34,19.285.763.472,28.644.118.166,,34.0,19285763472.0,28644118166.0
50,50,50,TỔNG LỢI NHUẬN KẾ TOÁN TRƯỚC THUẾ(50 = 42 + 43 + 44 + 45 + 46 + 47 + 48),,2.010.163.563.631,2.398.034.325.409,,,2010163563631.0,2398034325409.0
51,51,51,Chỉ phí thuế thu nhập doanh nghiệp hiện hành,16.1,(383.042.077.773),(387.034.915.982),,161.0,-383042077773.0,-387034915982.0
52,52,52,(Chỉ phí)/Thu nhập thuế thu nhập doanh nghiệp hoãn lại,16.2,(1.515.105.473),7.414.599.023,,162.0,-1515105473.0,7414599023.0
