row_label_raw,row_label_full,col_0,Vốn góp củachủ sở hữuVND,Thặng dưvốn cổ phầnVND,Chênh lệchtỷ giá hối đoái (°)VND,Quỹ đầu tưphát triển vàdự phòng tải chínhVND,Quỹ khác thuộcvốn chủ sở hữu (**)VND,Lợi nhuậnsau thuếchưa phân phốiVND,Quỹ dự trữbắt buộc hoạt độngbảo hiểmVND,Lợi ích cổ đôngkhông kiểm soátVND,Tổng cộngVND,numeric__Vốn góp củachủ sở hữuVND,numeric__Thặng dưvốn cổ phầnVND,numeric__Chênh lệchtỷ giá hối đoái (°)VND,numeric__Quỹ đầu tưphát triển vàdự phòng tải chínhVND,numeric__Quỹ khác thuộcvốn chủ sở hữu (**)VND,numeric__Lợi nhuậnsau thuếchưa phân phốiVND,numeric__Quỹ dự trữbắt buộc hoạt độngbảo hiểmVND,numeric__Lợi ích cổ đôngkhông kiểm soátVND,numeric__Tổng cộngVND
Tại ngày 01/01/2022(trình bày lại),Tại ngày 01/01/2022(trình bày lại),Tại ngày 01/01/2022(trình bày lại),7.423.227.640.000,7.310.458.742.807,15.445.192.000,1.284.786.140.295,103.568.802.818,4.480.031.128.008(2.246.342.913.736),577.618.921.373,836.184.565.455,22.031.321.132.756(2.246.342.913.736),7423227640000.0,7310458742807.0,15445192000.0,1284786140295.0,103568802818.0,,577618921373.0,836184565455.0,
Chi trả cổ tức cho cổ đôngTrích quỹ khen thưởngphúc lợi (***),Chi trả cổ tức cho cổ đôngTrích quỹ khen thưởngphúc lợi (***),Chi trả cổ tức cho cổ đôngTrích quỹ khen thưởngphúc lợi (***),-,-,-,-,-,(105.591.465.615),-,(5.025.826.998),(110.617.292.613),,,,,,-105591465615.0,,-5025826998.0,-110617292613.0
Của công ty mẹ,Của công ty mẹ,Của công ty mẹ,-,-,-,-,-,(36.586.014.124),-,-,(36.586.014.124),,,,,,-36586014124.0,,,-36586014124.0
Của các công ty conTrích lập quỹ đầu tư pháttriển (***),Của các công ty conTrích lập quỹ đầu tư pháttriển (***),Của các công ty conTrích lập quỹ đầu tư pháttriển (***),-,-,-,-,-,(69.005.451.491),-,(5.025.826.998),(74.031.278.489),,,,,,-69005451491.0,,-5025826998.0,-74031278489.0
Của công ty mẹ,Của công ty mẹ,Của công ty mẹ,-,-,-,309.168.928.127,-,(309.168.928.127),-,-,-,,,,309168928127.0,,-309168928127.0,,,
Lợi nhuận tăng trong nămChi thưởng Hội đồngthành viên và Kiểm soátviên của các Công ty conTrích lập các quỹ dự trữChi trả cổ tức cho cổ đôngkhông kiểm soátGiảm khác,Lợi nhuận tăng trong nămChi thưởng Hội đồngthành viên và Kiểm soátviên của các Công ty conTrích lập các quỹ dự trữChi trả cổ tức cho cổ đôngkhông kiểm soátGiảm khác,Lợi nhuận tăng trong nămChi thưởng Hội đồngthành viên và Kiểm soátviên của các Công ty conTrích lập các quỹ dự trữChi trả cổ tức cho cổ đôngkhông kiểm soátGiảm khác,-,-,-,309.168.928.127,-,(309.168.928.127),-,-,-,,,,309168928127.0,,-309168928127.0,,,
Lợi nhuận tăng trong nămChi thưởng Hội đồngthành viên và Kiểm soátviên của các Công ty conTrích lập các quỹ dự trữChi trả cổ tức cho cổ đôngkhông kiểm soátGiảm khác,Lợi nhuận tăng trong nămChi thưởng Hội đồngthành viên và Kiểm soátviên của các Công ty conTrích lập các quỹ dự trữChi trả cổ tức cho cổ đôngkhông kiểm soátGiảm khác,Lợi nhuận tăng trong nămChi thưởng Hội đồngthành viên và Kiểm soátviên của các Công ty conTrích lập các quỹ dự trữChi trả cổ tức cho cổ đôngkhông kiểm soátGiảm khác,-,-,-,-,-,1.550.994.189.019,-,74.612.191.366,1.625.606.380.385,,,,,,1550994189019.0,,74612191366.0,1625606380385.0
Lợi nhuận tăng trong nămChi thưởng Hội đồngthành viên và Kiểm soátviên của các Công ty conTrích lập các quỹ dự trữChi trả cổ tức cho cổ đôngkhông kiểm soátGiảm khác,Lợi nhuận tăng trong nămChi thưởng Hội đồngthành viên và Kiểm soátviên của các Công ty conTrích lập các quỹ dự trữChi trả cổ tức cho cổ đôngkhông kiểm soátGiảm khác,Lợi nhuận tăng trong nămChi thưởng Hội đồngthành viên và Kiểm soátviên của các Công ty conTrích lập các quỹ dự trữChi trả cổ tức cho cổ đôngkhông kiểm soátGiảm khác,-,-,-,-,-,(1.150.000.000),-,-,(1.150.000.000),,,,,,-1150000000.0,,,-1150000000.0
Lợi nhuận tăng trong nămChi thưởng Hội đồngthành viên và Kiểm soátviên của các Công ty conTrích lập các quỹ dự trữChi trả cổ tức cho cổ đôngkhông kiểm soátGiảm khác,Lợi nhuận tăng trong nămChi thưởng Hội đồngthành viên và Kiểm soátviên của các Công ty conTrích lập các quỹ dự trữChi trả cổ tức cho cổ đôngkhông kiểm soátGiảm khác,Lợi nhuận tăng trong nămChi thưởng Hội đồngthành viên và Kiểm soátviên của các Công ty conTrích lập các quỹ dự trữChi trả cổ tức cho cổ đôngkhông kiểm soátGiảm khác,-,-,-,-,-,(61.039.795.670),61.039.795.670,-,-,,,,,,-61039795670.0,61039795670.0,,
Lợi nhuận tăng trong nămChi thưởng Hội đồngthành viên và Kiểm soátviên của các Công ty conTrích lập các quỹ dự trữChi trả cổ tức cho cổ đôngkhông kiểm soátGiảm khác,Lợi nhuận tăng trong nămChi thưởng Hội đồngthành viên và Kiểm soátviên của các Công ty conTrích lập các quỹ dự trữChi trả cổ tức cho cổ đôngkhông kiểm soátGiảm khác,Lợi nhuận tăng trong nămChi thưởng Hội đồngthành viên và Kiểm soátviên của các Công ty conTrích lập các quỹ dự trữChi trả cổ tức cho cổ đôngkhông kiểm soátGiảm khác,-,-,-,-,-,-,-,(24.738.438.132),(24.738.438.132),,,,,,,,-24738438132.0,-24738438132.0
