row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2022VND,Ngày 31 tháng 12năm 2021(trình bày lại)VND,numeric__Ngày 31 tháng 12năm 2022VND,numeric__Ngày 31 tháng 12năm 2021(trình bày lại)VND
Phải trả hoạt động bảo hiểm,Phải trả hoạt động bảo hiểm,Phải trả hoạt động bảo hiểm,Phải trả hoạt động bảo hiểm,Phải trả hoạt động bảo hiểm,,
Bảo hiểm nhân thọ,Phải trả hoạt động bảo hiểm > Bảo hiểm nhân thọ,Bảo hiểm nhân thọ,892.734.060.388,915.806.289.635,892734060388.0,915806289635.0
Phải trả bồi thường và trả tiền bảo hiểm,Phải trả hoạt động bảo hiểm > Phải trả bồi thường và trả tiền bảo hiểm,Phải trả bồi thường và trả tiền bảo hiểm,192.672.819.238,105.584.479.881,192672819238.0,105584479881.0
Phải trả thu nhập đại lý,Phải trả hoạt động bảo hiểm > Phải trả thu nhập đại lý,Phải trả thu nhập đại lý,699.166.954.468,806.454.635.942,699166954468.0,806454635942.0
Lãi phải trả cho chủ hợp đồng,Phải trả hoạt động bảo hiểm > Lãi phải trả cho chủ hợp đồng,Lãi phải trả cho chủ hợp đồng,-,15.728.100,,15728100.0
Phải trả phí nhượng tái bảo hiểm nhân thọ,Phải trả hoạt động bảo hiểm > Phải trả phí nhượng tái bảo hiểm nhân thọ,Phải trả phí nhượng tái bảo hiểm nhân thọ,894.286.682,3.751.445.712,894286682.0,3751445712.0
Bảo hiểm phi nhân thọ,Phải trả hoạt động bảo hiểm > Bảo hiểm phi nhân thọ,Bảo hiểm phi nhân thọ,1.506.853.008.190,1.416.715.251.677,1506853008190.0,1416715251677.0
Phải trả hoa hồng bảo hiểm,Phải trả hoạt động bảo hiểm > Phải trả hoa hồng bảo hiểm,Phải trả hoa hồng bảo hiểm,91.715.194.080,91.953.917.624,91715194080.0,91953917624.0
Phải trả hoạt động bảo hiểm gốc phi nhân thọ,Phải trả hoạt động bảo hiểm > Phải trả hoạt động bảo hiểm gốc phi nhân thọ,Phải trả hoạt động bảo hiểm gốc phi nhân thọ,155.474.229.871,228.328.537.296,155474229871.0,228328537296.0
Phải trả nhận tái bảo hiểm phi nhân thọ,Phải trả hoạt động bảo hiểm > Phải trả nhận tái bảo hiểm phi nhân thọ,Phải trả nhận tái bảo hiểm phi nhân thọ,76.609.043.820,81.231.857.247,76609043820.0,81231857247.0
Phải trả nhượng tái bảo hiểm phi nhân thọ,Phải trả hoạt động bảo hiểm > Phải trả nhượng tái bảo hiểm phi nhân thọ,Phải trả nhượng tái bảo hiểm phi nhân thọ,1.076.637.499.787,908.508.679.072,1076637499787.0,908508679072.0
Phải trả đồng bảo hiểm,Phải trả hoạt động bảo hiểm > Phải trả đồng bảo hiểm,Phải trả đồng bảo hiểm,106.417.040.632,106.692.260.438,106417040632.0,106692260438.0
,,,2.399.587.068.578,2.332.521.541.312,2399587068578.0,2332521541312.0
Phải trả hoạt động tài chính,Phải trả hoạt động tài chính,Phải trả hoạt động tài chính,Phải trả hoạt động tài chính,Phải trả hoạt động tài chính,,
Phải trả nhận đặt cọc chuyển nhượng đầu tư,Phải trả hoạt động tài chính > Phải trả nhận đặt cọc chuyển nhượng đầu tư,Phải trả nhận đặt cọc chuyển nhượng đầu tư,-,20.000.000.000,,20000000000.0
Phải trả mua chứng khoán,Phải trả hoạt động tài chính > Phải trả mua chứng khoán,Phải trả mua chứng khoán,-,4.042.025.826,,4042025826.0
,,,-,24.042.025.826,,24042025826.0
Phải trả người bán và nhà cung cấp dịch vụ,Phải trả người bán và nhà cung cấp dịch vụ,Phải trả người bán và nhà cung cấp dịch vụ,Phải trả người bán và nhà cung cấp dịch vụ,Phải trả người bán và nhà cung cấp dịch vụ,,
"Phải trả người bán, nhà cung cấp","Phải trả người bán và nhà cung cấp dịch vụ > Phải trả người bán, nhà cung cấp","Phải trả người bán, nhà cung cấp",56.410.786.169,63.494.247.268,56410786169.0,63494247268.0
Phải trả khác,Phải trả người bán và nhà cung cấp dịch vụ > Phải trả khác,Phải trả khác,751.588.924,720.493.393,751588924.0,720493393.0
,,,57.162.375.093,64.214.740.661,57162375093.0,64214740661.0
TỔNG CỘNG,Phải trả người bán và nhà cung cấp dịch vụ > TỔNG CỘNG,TỔNG CỘNG,2.456.749.443.671,2.420.778.307.799,2456749443671.0,2420778307799.0
