row_label_raw,row_label_full,Nghĩa vụ nợ theo hợp đồng bảo hiểm,120.370.951,120.370.951_1,numeric__120.370.951,numeric__120.370.951_1
Phải trả hoạt động bảo hiểm gốc,Phải trả hoạt động bảo hiểm gốc,Phải trả hoạt động bảo hiểm gốc,1.339.030,1.339.030,1339030.0,1339030.0
Phải trả tái bảo hiểm,Phải trả tái bảo hiểm,Phải trả tái bảo hiểm,993.492,993.492,993492.0,993492.0
Các nghĩa vụ nợ tài chính khác,Các nghĩa vụ nợ tài chính khác,Các nghĩa vụ nợ tài chính khác,16.439.488,16.439.488,16439488.0,16439488.0
- Nhận ký quỹ,- Nhận ký quỹ,- Nhận ký quỹ,263.474,263.474,263474.0,263474.0
- Khác,- Khác,- Khác,16.176.014,16.176.014,16176014.0,16176014.0
Tổng cộng,Tổng cộng,Tổng cộng,139.142.961,139.142.961,139142961.0,139142961.0
