row_label_raw,row_label_full,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2021(trình bày lại),Hoạt độngbảo hiểm,Hoạt độngtài chính,Hoạt động bấtđộng sản và hoạtđộng khác,Các bút toán điềuchính hợp nhất,Đơn vị: triệu đồngTổng,numeric__Hoạt độngbảo hiểm,numeric__Hoạt độngtài chính,numeric__Hoạt động bấtđộng sản và hoạtđộng khác,numeric__Các bút toán điềuchính hợp nhất,numeric__Đơn vị: triệu đồngTổng
Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,Doanh thu phí bảo hiểm,40.002.951,-,-,(3.158),39.999.793,40002951.0,,,-3158.0,39999793.0
Phí nhượng tái bảo hiểm,Phí nhượng tái bảo hiểm,Phí nhượng tái bảo hiểm,(4.105.309),-,-,-,(4.105.309),-4105309.0,,,,-4105309.0
Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạtđộng kinh doanh bảo hiểm,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạtđộng kinh doanh bảo hiểm,Hoa hồng nhượng tái bảo hiểm và doanh thu khác hoạtđộng kinh doanh bảo hiểm,935.654,-,-,-,935.654,935654.0,,,,935654.0
Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,Doanh thu thuần hoạt động kinh doanh bảo hiểm,36.833.296,-,-,(3.158),36.830.138,36833296.0,,,-3158.0,36830138.0
Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,Chi bồi thường bảo hiểm gốc và chi trả đáo hạn,(12.747.844),-,-,-,(12.747.844),-12747844.0,,,,-12747844.0
Chi bồi thường nhận tái bảo hiểm,Chi bồi thường nhận tái bảo hiểm,Chi bồi thường nhận tái bảo hiểm,(119.411),-,-,-,(119.411),-119411.0,,,,-119411.0
Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,Các khoản thu giảm trừ chi phí,2.758,-,-,-,2.758,2758.0,,,,2758.0
Thu bồi thường nhượng tái bảo hiểm,Thu bồi thường nhượng tái bảo hiểm,Thu bồi thường nhượng tái bảo hiểm,1.723.267,-,-,-,1.723.267,1723267.0,,,,1723267.0
Tăng dự phòng nghiệp vụ bảo hiểm gốc,Tăng dự phòng nghiệp vụ bảo hiểm gốc,Tăng dự phòng nghiệp vụ bảo hiểm gốc,(20.411.278),-,-,-,(20.411.278),-20411278.0,,,,-20411278.0
Giảm dự phòng bồi thường bảo hiểm gốc và nhận táibảo hiểm,Giảm dự phòng bồi thường bảo hiểm gốc và nhận táibảo hiểm,Giảm dự phòng bồi thường bảo hiểm gốc và nhận táibảo hiểm,171.200,-,-,-,171.200,171200.0,,,,171200.0
Tăng dự phòng bồi thường nhượng tái bảo hiểm,Tăng dự phòng bồi thường nhượng tái bảo hiểm,Tăng dự phòng bồi thường nhượng tái bảo hiểm,(71.423),-,-,-,(71.423),-71423.0,,,,-71423.0
Trích dự phòng dao động lớn,Trích dự phòng dao động lớn,Trích dự phòng dao động lớn,(38.428),-,-,-,(38.428),-38428.0,,,,-38428.0
Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,Chi khác hoạt động kinh doanh bảo hiểm,(4.826.881),-,-,101.408,(4.725.473),-4826881.0,,,101408.0,-4725473.0
Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,Tổng chi phí trực tiếp hoạt động kinh doanh bảo hiểm,(36.318.040),-,-,101.408,(36.216.632),-36318040.0,,,101408.0,-36216632.0
Thu nhập thuần từ các hoạt động khác,Thu nhập thuần từ các hoạt động khác,Thu nhập thuần từ các hoạt động khác,-,525.811,21.316,(473.700),73.427,,525811.0,21316.0,-473700.0,73427.0
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,(2.266.316),-,-,301,(2.266.015),-2266316.0,,,301.0,-2266015.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,(3.606.563),(669.838),(19.560),299.549,(3.996.412),-3606563.0,-669838.0,-19560.0,299549.0,-3996412.0
Lợi nhuận hoạt động tài chính,Lợi nhuận hoạt động tài chính,Lợi nhuận hoạt động tài chính,6.663.198,2.019.945,6.275,(837.528),7.851.890,6663198.0,2019945.0,6275.0,-837528.0,7851890.0
Lợi nhuận khác,Lợi nhuận khác,Lợi nhuận khác,52.406,(279),2.479,(25.962),28.644,52406.0,-279.0,2479.0,-25962.0,28644.0
"Phần lợi nhuận trong công ty liên doanh, liên kết","Phần lợi nhuận trong công ty liên doanh, liên kết","Phần lợi nhuận trong công ty liên doanh, liên kết",-,-,-,92.994,92.994,,,,92994.0,92994.0
Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,Tổng lợi nhuận kế toán trước thuế,1.357.981,1.875.639,10.510,(846.096),2.398.034,1357981.0,1875639.0,10510.0,-846096.0,2398034.0
