row_label_raw,row_label_full,col_0,Cho năm tài chínhkết thúc ngày31/12/2022VND,Cho năm tài chínhkết thúc ngày31/12/2021VND,numeric__Cho năm tài chínhkết thúc ngày31/12/2022VND,numeric__Cho năm tài chínhkết thúc ngày31/12/2021VND
Thu nhập từ các hoạt động khác,Thu nhập từ các hoạt động khác,Thu nhập từ các hoạt động khác,Thu nhập từ các hoạt động khác,Thu nhập từ các hoạt động khác,,
Hoạt động môi giới chứng khoán và bảo lãnhphát hành,Thu nhập từ các hoạt động khác > Hoạt động môi giới chứng khoán và bảo lãnhphát hành,Hoạt động môi giới chứng khoán và bảo lãnhphát hành,343.507.436.000,495.658.607.854,343507436000.0,495658607854.0
Dịch vụ tư vấn đầu tư,Thu nhập từ các hoạt động khác > Dịch vụ tư vấn đầu tư,Dịch vụ tư vấn đầu tư,8.974.610.453,12.696.040.438,8974610453.0,12696040438.0
Dịch vụ lưu ký chứng khoán,Thu nhập từ các hoạt động khác > Dịch vụ lưu ký chứng khoán,Dịch vụ lưu ký chứng khoán,9.287.176.257,9.002.018.858,9287176257.0,9002018858.0
Quản lý danh mục đầu tư,Thu nhập từ các hoạt động khác > Quản lý danh mục đầu tư,Quản lý danh mục đầu tư,5.261.458.065,5.671.469.523,5261458065.0,5671469523.0
Cho thuê và quản lý bất động sản,Thu nhập từ các hoạt động khác > Cho thuê và quản lý bất động sản,Cho thuê và quản lý bất động sản,51.629.604.183,53.236.216.032,51629604183.0,53236216032.0
Hoạt động xây dựng và kinh doanh thương mại,Thu nhập từ các hoạt động khác > Hoạt động xây dựng và kinh doanh thương mại,Hoạt động xây dựng và kinh doanh thương mại,117.335.155.259,108.592.733.507,117335155259.0,108592733507.0
Các dịch vụ khác,Thu nhập từ các hoạt động khác > Các dịch vụ khác,Các dịch vụ khác,71.106.523.957,65.441.589.585,71106523957.0,65441589585.0
,,,607.101.964.174,750.298.675.797,607101964174.0,750298675797.0
Chi phí từ các hoạt động khác,Chi phí từ các hoạt động khác,Chi phí từ các hoạt động khác,Chi phí từ các hoạt động khác,Chi phí từ các hoạt động khác,,
Chi phí hoạt động môi giới chứng khoán vàbảo lãnh phát hành,Chi phí từ các hoạt động khác > Chi phí hoạt động môi giới chứng khoán vàbảo lãnh phát hành,Chi phí hoạt động môi giới chứng khoán vàbảo lãnh phát hành,(260.183.083.984),(370.390.484.719),-260183083984.0,-370390484719.0
Dịch vụ tư vấn đầu tư,Chi phí từ các hoạt động khác > Dịch vụ tư vấn đầu tư,Dịch vụ tư vấn đầu tư,(14.795.922.712),(17.810.044.411),-14795922712.0,-17810044411.0
Dịch vụ lưu ký chứng khoán,Chi phí từ các hoạt động khác > Dịch vụ lưu ký chứng khoán,Dịch vụ lưu ký chứng khoán,(18.629.557.244),(22.241.457.522),-18629557244.0,-22241457522.0
Quản lý danh mục đầu tư,Chi phí từ các hoạt động khác > Quản lý danh mục đầu tư,Quản lý danh mục đầu tư,(1.249.050.860),(3.481.954.950),-1249050860.0,-3481954950.0
Quản lý bất động sản,Chi phí từ các hoạt động khác > Quản lý bất động sản,Quản lý bất động sản,(71.801.430.000),(48.149.445.325),-71801430000.0,-48149445325.0
Hoạt động xây dựng và kinh doanh thương mại,Chi phí từ các hoạt động khác > Hoạt động xây dựng và kinh doanh thương mại,Hoạt động xây dựng và kinh doanh thương mại,(160.233.135.668),(144.287.364.815),-160233135668.0,-144287364815.0
Các dịch vụ khác,Chi phí từ các hoạt động khác > Các dịch vụ khác,Các dịch vụ khác,(61.280.926.458),(70.511.399.280),-61280926458.0,-70511399280.0
,,,(588.173.106.926),(676.872.151.022),-588173106926.0,-676872151022.0
TỔNG CỘNG,Chi phí từ các hoạt động khác > TỔNG CỘNG,TỔNG CỘNG,18.928.857.248,73.426.524.775,18928857248.0,73426524775.0
